query_id,refined,exact_evals,total_us,t_search,t_gap,t_refine,t_final_selection,gap
0,1,16,190.58199999999999,0,0,0,0,nan
1,0,0,173.95699999999999,0,0,0,0,nan
2,0,0,170.489,0,0,0,0,nan
3,0,0,160.97999999999999,0,0,0,0,nan
4,0,0,146.17500000000001,0,0,0,0,nan
5,0,0,161.36699999999999,0,0,0,0,nan
6,0,0,156.749,0,0,0,0,nan
7,0,0,148.22399999999999,0,0,0,0,nan
8,0,0,214.12299999999999,0,0,0,0,nan
9,1,16,206.41399999999999,0,0,0,0,nan
10,0,0,201.69399999999999,0,0,0,0,nan
11,1,16,229.63900000000001,0,0,0,0,nan
12,1,16,153.84800000000001,0,0,0,0,nan
13,0,0,150.55000000000001,0,0,0,0,nan
14,0,0,150.911,0,0,0,0,nan
15,0,0,146.898,0,0,0,0,nan
16,0,0,200.43899999999999,0,0,0,0,nan
17,0,0,160.00399999999999,0,0,0,0,nan
18,1,16,230.07300000000001,0,0,0,0,nan
19,0,0,161.386,0,0,0,0,nan
20,0,0,136.70699999999999,0,0,0,0,nan
21,0,0,169.46799999999999,0,0,0,0,nan
22,1,16,205.41,0,0,0,0,nan
23,0,0,170.624,0,0,0,0,nan
24,0,0,175.44300000000001,0,0,0,0,nan
25,0,0,165.453,0,0,0,0,nan
26,1,16,163.96000000000001,0,0,0,0,nan
27,0,0,176.46199999999999,0,0,0,0,nan
28,0,0,157.636,0,0,0,0,nan
29,1,16,177.279,0,0,0,0,nan
30,1,16,218.286,0,0,0,0,nan
31,1,16,212.31399999999999,0,0,0,0,nan
32,0,0,169.82900000000001,0,0,0,0,nan
33,0,0,162.804,0,0,0,0,nan
34,0,0,177.21299999999999,0,0,0,0,nan
35,0,0,130.79300000000001,0,0,0,0,nan
36,1,16,195.739,0,0,0,0,nan
37,0,0,142.27699999999999,0,0,0,0,nan
38,0,0,168.30000000000001,0,0,0,0,nan
39,0,0,158.98400000000001,0,0,0,0,nan
40,1,16,212.631,0,0,0,0,nan
41,0,0,141.28399999999999,0,0,0,0,nan
42,0,0,137.179,0,0,0,0,nan
43,1,16,217.87799999999999,0,0,0,0,nan
44,0,0,174.233,0,0,0,0,nan
45,1,16,179.13200000000001,0,0,0,0,nan
46,0,0,167.78800000000001,0,0,0,0,nan
47,0,0,123.762,0,0,0,0,nan
48,0,0,179.18700000000001,0,0,0,0,nan
49,0,0,124.318,0,0,0,0,nan
50,0,0,144.00200000000001,0,0,0,0,nan
51,0,0,142.27799999999999,0,0,0,0,nan
52,1,16,200.88200000000001,0,0,0,0,nan
53,0,0,158.149,0,0,0,0,nan
54,1,16,176.815,0,0,0,0,nan
55,0,0,162.61799999999999,0,0,0,0,nan
56,1,16,170.81999999999999,0,0,0,0,nan
57,0,0,147.59299999999999,0,0,0,0,nan
58,1,16,215.06,0,0,0,0,nan
59,0,0,163.78399999999999,0,0,0,0,nan
60,0,0,128.12,0,0,0,0,nan
61,0,0,168.40000000000001,0,0,0,0,nan
62,0,0,181.86199999999999,0,0,0,0,nan
63,0,0,171.066,0,0,0,0,nan
64,0,0,200.91200000000001,0,0,0,0,nan
65,0,0,156.64599999999999,0,0,0,0,nan
66,1,16,223.733,0,0,0,0,nan
67,0,0,169.095,0,0,0,0,nan
68,1,16,205.02199999999999,0,0,0,0,nan
69,0,0,174.673,0,0,0,0,nan
70,0,0,174.864,0,0,0,0,nan
71,0,0,162.84700000000001,0,0,0,0,nan
72,0,0,167.92599999999999,0,0,0,0,nan
73,1,16,181.964,0,0,0,0,nan
74,1,16,176.721,0,0,0,0,nan
75,1,16,147.892,0,0,0,0,nan
76,0,0,168.958,0,0,0,0,nan
77,0,0,134.47800000000001,0,0,0,0,nan
78,1,16,219.494,0,0,0,0,nan
79,0,0,165.649,0,0,0,0,nan
80,0,0,185.18700000000001,0,0,0,0,nan
81,0,0,185.98699999999999,0,0,0,0,nan
82,0,0,144.94399999999999,0,0,0,0,nan
83,1,16,111.273,0,0,0,0,nan
84,0,0,120.64700000000001,0,0,0,0,nan
85,0,0,174.89599999999999,0,0,0,0,nan
86,1,16,199.94999999999999,0,0,0,0,nan
87,1,16,152.70599999999999,0,0,0,0,nan
88,0,0,173.126,0,0,0,0,nan
89,0,0,171.78899999999999,0,0,0,0,nan
90,0,0,139.29400000000001,0,0,0,0,nan
91,0,0,160.34200000000001,0,0,0,0,nan
92,0,0,129.09399999999999,0,0,0,0,nan
93,1,16,183.84700000000001,0,0,0,0,nan
94,0,0,150.21199999999999,0,0,0,0,nan
95,0,0,164.256,0,0,0,0,nan
96,0,0,167.87700000000001,0,0,0,0,nan
97,0,0,180.98099999999999,0,0,0,0,nan
98,0,0,163.92400000000001,0,0,0,0,nan
99,0,0,186.24000000000001,0,0,0,0,nan
100,0,0,172.554,0,0,0,0,nan
101,0,0,165.458,0,0,0,0,nan
102,1,16,202.34100000000001,0,0,0,0,nan
103,1,16,190.09299999999999,0,0,0,0,nan
104,0,0,148.08500000000001,0,0,0,0,nan
105,0,0,171.85900000000001,0,0,0,0,nan
106,1,16,179.203,0,0,0,0,nan
107,1,16,205.15000000000001,0,0,0,0,nan
108,0,0,164.10599999999999,0,0,0,0,nan
109,0,0,122.89400000000001,0,0,0,0,nan
110,0,0,158.70500000000001,0,0,0,0,nan
111,1,16,174.88999999999999,0,0,0,0,nan
112,1,16,208.91499999999999,0,0,0,0,nan
113,1,16,147.32400000000001,0,0,0,0,nan
114,0,0,167.38499999999999,0,0,0,0,nan
115,0,0,180.54300000000001,0,0,0,0,nan
116,0,0,180.55199999999999,0,0,0,0,nan
117,0,0,141.64099999999999,0,0,0,0,nan
118,0,0,128.624,0,0,0,0,nan
119,0,0,131.036,0,0,0,0,nan
120,0,0,170.423,0,0,0,0,nan
121,0,0,184.45599999999999,0,0,0,0,nan
122,0,0,156.22499999999999,0,0,0,0,nan
123,1,16,190.99199999999999,0,0,0,0,nan
124,0,0,158.12,0,0,0,0,nan
125,0,0,149.767,0,0,0,0,nan
126,0,0,157.48699999999999,0,0,0,0,nan
127,0,0,162.40799999999999,0,0,0,0,nan
128,1,16,202.26300000000001,0,0,0,0,nan
129,1,16,223.80799999999999,0,0,0,0,nan
130,0,0,160.29499999999999,0,0,0,0,nan
131,0,0,169.69499999999999,0,0,0,0,nan
132,1,16,186.84200000000001,0,0,0,0,nan
133,0,0,178.92400000000001,0,0,0,0,nan
134,1,16,217.553,0,0,0,0,nan
135,0,0,174.50999999999999,0,0,0,0,nan
136,0,0,168.375,0,0,0,0,nan
137,0,0,120.12,0,0,0,0,nan
138,0,0,161.08500000000001,0,0,0,0,nan
139,0,0,178.26300000000001,0,0,0,0,nan
140,1,16,184.69300000000001,0,0,0,0,nan
141,0,0,145.523,0,0,0,0,nan
142,1,16,204.524,0,0,0,0,nan
143,0,0,160.71100000000001,0,0,0,0,nan
144,0,0,162.34700000000001,0,0,0,0,nan
145,1,16,158.18199999999999,0,0,0,0,nan
146,1,16,224.232,0,0,0,0,nan
147,0,0,163.53700000000001,0,0,0,0,nan
148,1,16,201.66900000000001,0,0,0,0,nan
149,0,0,165.95400000000001,0,0,0,0,nan
150,1,16,191.952,0,0,0,0,nan
151,0,0,183.791,0,0,0,0,nan
152,0,0,145.61000000000001,0,0,0,0,nan
153,1,16,199.77699999999999,0,0,0,0,nan
154,0,0,166.37899999999999,0,0,0,0,nan
155,0,0,180.59100000000001,0,0,0,0,nan
156,1,16,203.303,0,0,0,0,nan
157,1,16,143.767,0,0,0,0,nan
158,0,0,154.077,0,0,0,0,nan
159,0,0,150.13900000000001,0,0,0,0,nan
160,0,0,151.19399999999999,0,0,0,0,nan
161,0,0,166.71799999999999,0,0,0,0,nan
162,0,0,205.09,0,0,0,0,nan
163,0,0,186.678,0,0,0,0,nan
164,0,0,184.70599999999999,0,0,0,0,nan
165,1,16,191.83099999999999,0,0,0,0,nan
166,1,16,220.523,0,0,0,0,nan
167,0,0,163.928,0,0,0,0,nan
168,0,0,186.21299999999999,0,0,0,0,nan
169,0,0,173.72800000000001,0,0,0,0,nan
170,0,0,172.08500000000001,0,0,0,0,nan
171,0,0,158.053,0,0,0,0,nan
172,0,0,171.57400000000001,0,0,0,0,nan
173,1,16,187.41499999999999,0,0,0,0,nan
174,0,0,179.547,0,0,0,0,nan
175,0,0,167.827,0,0,0,0,nan
176,1,16,216.81399999999999,0,0,0,0,nan
177,1,16,215.67500000000001,0,0,0,0,nan
178,0,0,165.114,0,0,0,0,nan
179,0,0,138.94900000000001,0,0,0,0,nan
180,0,0,151.017,0,0,0,0,nan
181,1,16,171.601,0,0,0,0,nan
182,0,0,160.00399999999999,0,0,0,0,nan
183,0,0,157.49299999999999,0,0,0,0,nan
184,0,0,132.83600000000001,0,0,0,0,nan
185,0,0,147.86099999999999,0,0,0,0,nan
186,1,16,189.57900000000001,0,0,0,0,nan
187,0,0,174.91499999999999,0,0,0,0,nan
188,0,0,162.983,0,0,0,0,nan
189,0,0,137.767,0,0,0,0,nan
190,0,0,170.53,0,0,0,0,nan
191,0,0,133.42699999999999,0,0,0,0,nan
192,0,0,157.999,0,0,0,0,nan
193,0,0,129.64699999999999,0,0,0,0,nan
194,0,0,175.84399999999999,0,0,0,0,nan
195,1,16,225.685,0,0,0,0,nan
196,1,16,191.71199999999999,0,0,0,0,nan
197,1,16,205.01499999999999,0,0,0,0,nan
198,1,16,211.846,0,0,0,0,nan
199,0,0,180.91300000000001,0,0,0,0,nan
200,0,0,169.93000000000001,0,0,0,0,nan
201,0,0,127.254,0,0,0,0,nan
202,0,0,160.34,0,0,0,0,nan
203,1,16,211.07300000000001,0,0,0,0,nan
204,1,16,223.119,0,0,0,0,nan
205,1,16,178.68899999999999,0,0,0,0,nan
206,0,0,155.63900000000001,0,0,0,0,nan
207,0,0,145.459,0,0,0,0,nan
208,0,0,153.154,0,0,0,0,nan
209,1,16,223.79499999999999,0,0,0,0,nan
210,0,0,137.446,0,0,0,0,nan
211,0,0,177.58000000000001,0,0,0,0,nan
212,1,16,186.77799999999999,0,0,0,0,nan
213,1,16,237.06399999999999,0,0,0,0,nan
214,0,0,177.21000000000001,0,0,0,0,nan
215,0,0,154.93899999999999,0,0,0,0,nan
216,1,16,149,0,0,0,0,nan
217,0,0,173.233,0,0,0,0,nan
218,0,0,163.21700000000001,0,0,0,0,nan
219,0,0,193.46700000000001,0,0,0,0,nan
220,0,0,177.21199999999999,0,0,0,0,nan
221,0,0,161.84299999999999,0,0,0,0,nan
222,0,0,176.79599999999999,0,0,0,0,nan
223,0,0,180.30600000000001,0,0,0,0,nan
224,0,0,171.423,0,0,0,0,nan
225,1,16,211.28399999999999,0,0,0,0,nan
226,0,0,152.107,0,0,0,0,nan
227,0,0,173.965,0,0,0,0,nan
228,0,0,148.286,0,0,0,0,nan
229,0,0,166.60400000000001,0,0,0,0,nan
230,0,0,169.01499999999999,0,0,0,0,nan
231,1,16,193.77500000000001,0,0,0,0,nan
232,0,0,185.84700000000001,0,0,0,0,nan
233,0,0,174.68600000000001,0,0,0,0,nan
234,0,0,154.41399999999999,0,0,0,0,nan
235,0,0,160.054,0,0,0,0,nan
236,0,0,169.131,0,0,0,0,nan
237,1,16,201.63800000000001,0,0,0,0,nan
238,0,0,167.47200000000001,0,0,0,0,nan
239,0,0,181.38200000000001,0,0,0,0,nan
240,0,0,140.41,0,0,0,0,nan
241,0,0,117.02,0,0,0,0,nan
242,0,0,127.982,0,0,0,0,nan
243,0,0,152.61799999999999,0,0,0,0,nan
244,1,16,206.018,0,0,0,0,nan
245,1,16,223.27099999999999,0,0,0,0,nan
246,0,0,159.87299999999999,0,0,0,0,nan
247,0,0,146.94399999999999,0,0,0,0,nan
248,0,0,167.34399999999999,0,0,0,0,nan
249,1,16,189.066,0,0,0,0,nan
250,0,0,162.28299999999999,0,0,0,0,nan
251,1,16,185.36000000000001,0,0,0,0,nan
252,1,16,239.161,0,0,0,0,nan
253,0,0,177.95599999999999,0,0,0,0,nan
254,0,0,152.548,0,0,0,0,nan
255,1,16,194.24799999999999,0,0,0,0,nan
256,0,0,162.43100000000001,0,0,0,0,nan
257,0,0,168.05099999999999,0,0,0,0,nan
258,0,0,169.04400000000001,0,0,0,0,nan
259,0,0,182.80099999999999,0,0,0,0,nan
260,0,0,165.02500000000001,0,0,0,0,nan
261,0,0,115.249,0,0,0,0,nan
262,0,0,184.88800000000001,0,0,0,0,nan
263,0,0,162.88,0,0,0,0,nan
264,1,16,158.453,0,0,0,0,nan
265,0,0,178.02799999999999,0,0,0,0,nan
266,0,0,175.32499999999999,0,0,0,0,nan
267,0,0,174.261,0,0,0,0,nan
268,0,0,163.922,0,0,0,0,nan
269,0,0,166.36000000000001,0,0,0,0,nan
270,0,0,162.602,0,0,0,0,nan
271,0,0,165.40899999999999,0,0,0,0,nan
