query_id,refined,exact_evals,total_us,t_search,t_gap,t_refine,t_final_selection,gap
0,1,16,192.214,186.49799999999999,3.1259999999999999,2.1949999999999998,0.39500000000000002,nan
1,0,0,184.65899999999999,184.376,0.025000000000000001,0.014,0.24399999999999999,nan
2,0,0,171.667,171.46100000000001,0.014,0.014999999999999999,0.17699999999999999,nan
3,0,0,160.87700000000001,160.61600000000001,0.014,0.083000000000000004,0.16400000000000001,nan
4,0,0,147.15100000000001,146.93100000000001,0.014999999999999999,0.012999999999999999,0.192,nan
5,0,0,153.67699999999999,153.45599999999999,0.014,0.014,0.193,nan
6,0,0,158.73099999999999,158.48500000000001,0.014,0.012999999999999999,0.219,nan
7,0,0,151.011,150.673,0.024,0.014999999999999999,0.29899999999999999,nan
8,0,0,170.68600000000001,170.42099999999999,0.014,0.014,0.23699999999999999,nan
9,1,16,184.52099999999999,179.14500000000001,2.891,2.0640000000000001,0.42099999999999999,nan
10,0,0,184.881,184.62100000000001,0.014,0.014,0.23200000000000001,nan
11,1,16,221.27799999999999,214.614,4.3070000000000004,1.958,0.39900000000000002,nan
12,1,16,146.61099999999999,141.61799999999999,2.7400000000000002,1.887,0.36599999999999999,nan
13,0,0,146.232,145.97800000000001,0.029000000000000001,0.021999999999999999,0.20300000000000001,nan
14,0,0,144.13399999999999,143.892,0.014,0.014,0.214,nan
15,0,0,169.161,168.87299999999999,0.014,0.021999999999999999,0.252,nan
16,0,0,179.46799999999999,179.184,0.014,0.014,0.25600000000000001,nan
17,0,0,155.53800000000001,155.298,0.014,0.014,0.21199999999999999,nan
18,1,16,219.82599999999999,213.18000000000001,4.0949999999999998,2.1619999999999999,0.38900000000000001,nan
19,0,0,166.51599999999999,166.245,0.024,0.014,0.23300000000000001,nan
20,0,0,117.495,117.26000000000001,0.014,0.017999999999999999,0.20300000000000001,nan
21,0,0,164.358,164.09399999999999,0.014,0.023,0.22700000000000001,nan
