query_id,refined,exact_evals,total_us,t_search,t_gap,t_refine,t_final_selection,gap
0,1,16,189.62200000000001,184.108,3.0920000000000001,1.952,0.46999999999999997,nan
1,0,0,175.49799999999999,175.26599999999999,0.014999999999999999,0.016,0.20100000000000001,nan
2,0,0,171.25399999999999,170.988,0.014,0.014999999999999999,0.23699999999999999,nan
3,0,0,160.04400000000001,159.86799999999999,0.014,0.014999999999999999,0.14699999999999999,nan
4,0,0,165.999,165.666,0.019,0.023,0.29099999999999998,nan
5,0,0,159.22999999999999,159.00299999999999,0.014,0.014999999999999999,0.19800000000000001,nan
6,0,0,163.911,163.679,0.014999999999999999,0.014,0.20300000000000001,nan
7,0,0,155.072,154.83500000000001,0.014999999999999999,0.016,0.20599999999999999,nan
8,0,0,173.43000000000001,173.15199999999999,0.014999999999999999,0.016,0.247,nan
9,1,16,188.97200000000001,183.06299999999999,3.1139999999999999,2.3540000000000001,0.441,nan
10,0,0,190.696,190.40799999999999,0.014999999999999999,0.016,0.25700000000000001,nan
11,1,16,237.119,229.797,4.1669999999999998,2.6829999999999998,0.47199999999999998,nan
12,1,16,146.36199999999999,141.405,2.7530000000000001,1.8520000000000001,0.35199999999999998,nan
13,0,0,145.69,145.499,0.017999999999999999,0.014999999999999999,0.158,nan
14,0,0,143.41300000000001,143.17500000000001,0.014,0.014,0.20999999999999999,nan
15,0,0,138.65700000000001,138.40299999999999,0.014,0.014999999999999999,0.22500000000000001,nan
16,0,0,184.11600000000001,183.79900000000001,0.014,0.014999999999999999,0.28799999999999998,nan
17,0,0,155.58099999999999,155.34999999999999,0.014999999999999999,0.014,0.20200000000000001,nan
18,1,16,217.892,210.95599999999999,4.1820000000000004,2.359,0.39500000000000002,nan
19,0,0,162.483,162.23400000000001,0.014,0.014,0.221,nan
20,0,0,116.79900000000001,116.502,0.019,0.014,0.26400000000000001,nan
21,0,0,165.84999999999999,165.58699999999999,0.014,0.014999999999999999,0.23400000000000001,nan
22,1,16,196.34700000000001,190.88900000000001,3.121,1.9219999999999999,0.41499999999999998,nan
23,0,0,169.56700000000001,169.358,0.014,0.014999999999999999,0.17999999999999999,nan
24,0,0,170.13800000000001,169.93100000000001,0.016,0.014999999999999999,0.17599999999999999,nan
25,0,0,158.08600000000001,157.83199999999999,0.014,0.014999999999999999,0.22500000000000001,nan
26,1,16,182.20599999999999,177.38200000000001,2.298,2.0859999999999999,0.44,nan
27,0,0,192.31299999999999,191.999,0.014999999999999999,0.016,0.28299999999999997,nan
28,0,0,159.64500000000001,159.358,0.016,0.016,0.255,nan
29,1,16,182.71199999999999,177.297,2.7440000000000002,2.214,0.45700000000000002,nan
30,1,16,235.18299999999999,229.95699999999999,2.9169999999999998,1.867,0.442,nan
31,1,16,216.375,210.08000000000001,3.536,2.3460000000000001,0.41299999999999998,nan
32,0,0,179.512,179.27600000000001,0.02,0.016,0.20000000000000001,nan
33,0,0,168.898,168.67599999999999,0.014999999999999999,0.016,0.191,nan
34,0,0,204.06,203.79900000000001,0.019,0.016,0.22600000000000001,nan
35,0,0,143.99100000000001,143.76400000000001,0.012999999999999999,0.02,0.19400000000000001,nan
36,1,16,194.87200000000001,188.62799999999999,2.9750000000000001,2.8250000000000002,0.44400000000000001,nan
37,0,0,143.07900000000001,142.87700000000001,0.014,0.02,0.16800000000000001,nan
38,0,0,169.80199999999999,169.61000000000001,0.014,0.014999999999999999,0.16300000000000001,nan
39,0,0,165.22,164.96899999999999,0.014,0.025000000000000001,0.21199999999999999,nan
40,1,16,212.208,205.47800000000001,4.4020000000000001,1.9490000000000001,0.379,nan
41,0,0,139.53200000000001,139.297,0.017000000000000001,0.017000000000000001,0.20100000000000001,nan
42,0,0,139.435,139.20500000000001,0.014999999999999999,0.014,0.20100000000000001,nan
43,1,16,213.43100000000001,207.23699999999999,3.7970000000000002,1.958,0.439,nan
44,0,0,176.42599999999999,176.16900000000001,0.014,0.014999999999999999,0.22800000000000001,nan
45,1,16,176.34800000000001,171.52600000000001,2.448,1.968,0.40600000000000003,nan
46,0,0,167.68799999999999,167.46000000000001,0.014,0.02,0.19400000000000001,nan
47,0,0,126.291,126.09699999999999,0.017000000000000001,0.014999999999999999,0.16200000000000001,nan
48,0,0,179.79900000000001,179.583,0.017000000000000001,0.014,0.185,nan
49,0,0,123.46599999999999,123.255,0.014,0.014999999999999999,0.182,nan
