pq_m,pq_nbits,ef_search,mean_exact_recall,mean_pq_recall,mean_delta
16,8,64,0.95318999999997178,0.54267999999999939,0.4105099999999724
32,8,64,0.95318999999997178,0.70025000000000148,0.2529399999999703
64,8,64,0.95318999999997178,0.85244999999995219,0.10074000000001959
