query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,193.70500000000001,0,0,0,0,0,967,1,16,nan
1,202.56700000000001,0,0,0,0,0,1274,1,16,nan
2,197.59399999999999,0,0,0,0,0,1223,1,16,nan
3,189.333,0,0,0,0,0,1146,1,16,nan
4,162.89599999999999,0,0,0,0,0,837,1,16,nan
5,161.15700000000001,0,0,0,0,0,959,1,16,nan
6,170.661,0,0,0,0,0,1010,1,16,nan
7,157.274,0,0,0,0,0,921,1,16,nan
8,195.41999999999999,0,0,0,0,0,1194,1,16,nan
9,162.53200000000001,0,0,0,0,0,931,1,16,nan
10,200.30500000000001,0,0,0,0,0,1350,1,16,nan
11,197.39599999999999,0,0,0,0,0,1283,1,16,nan
12,175.542,0,0,0,0,0,593,1,16,nan
13,154.845,0,0,0,0,0,787,1,16,nan
14,151.11000000000001,0,0,0,0,0,811,1,16,nan
15,145.90000000000001,0,0,0,0,0,783,1,16,nan
16,188.57599999999999,0,0,0,0,0,1241,1,16,nan
17,163.89699999999999,0,0,0,0,0,991,1,16,nan
18,187.71199999999999,0,0,0,0,0,1321,1,16,nan
19,171.18000000000001,0,0,0,0,0,1105,1,16,nan
20,121.733,0,0,0,0,0,484,1,16,nan
21,174.03100000000001,0,0,0,0,0,1164,1,16,nan
22,169.79400000000001,0,0,0,0,0,1064,1,16,nan
23,171.38,0,0,0,0,0,1094,1,16,nan
24,204.511,0,0,0,0,0,1178,1,16,nan
25,171.506,0,0,0,0,0,1126,1,16,nan
26,148.386,0,0,0,0,0,694,1,16,nan
27,204.46600000000001,0,0,0,0,0,1103,1,16,nan
28,191.38900000000001,0,0,0,0,0,897,1,16,nan
29,185.57300000000001,0,0,0,0,0,846,1,16,nan
30,218.233,0,0,0,0,0,1250,1,16,nan
31,210.91499999999999,0,0,0,0,0,1174,1,16,nan
32,191.30699999999999,0,0,0,0,0,1171,1,16,nan
33,174.119,0,0,0,0,0,1053,1,16,nan
34,207.834,0,0,0,0,0,1306,1,16,nan
35,154.26400000000001,0,0,0,0,0,804,1,16,nan
36,167.86500000000001,0,0,0,0,0,1065,1,16,nan
37,151.09899999999999,0,0,0,0,0,826,1,16,nan
38,174.54499999999999,0,0,0,0,0,1090,1,16,nan
39,164.11699999999999,0,0,0,0,0,951,1,16,nan
40,186.57499999999999,0,0,0,0,0,1249,1,16,nan
41,148.06399999999999,0,0,0,0,0,742,1,16,nan
42,145.94499999999999,0,0,0,0,0,858,1,16,nan
43,186.82900000000001,0,0,0,0,0,1233,1,16,nan
44,181.72200000000001,0,0,0,0,0,1141,1,16,nan
45,156.73400000000001,0,0,0,0,0,819,1,16,nan
46,198.92500000000001,0,0,0,0,0,1200,1,16,nan
47,132.31999999999999,0,0,0,0,0,535,1,16,nan
48,190.72,0,0,0,0,0,1326,1,16,nan
49,137.101,0,0,0,0,0,599,1,16,nan
50,158.428,0,0,0,0,0,847,1,16,nan
51,153.07499999999999,0,0,0,0,0,792,1,16,nan
52,207.018,0,0,0,0,0,1120,1,16,nan
53,184.67500000000001,0,0,0,0,0,1089,1,16,nan
54,161.32300000000001,0,0,0,0,0,897,1,16,nan
55,176.79300000000001,0,0,0,0,0,1036,1,16,nan
56,155.244,0,0,0,0,0,850,1,16,nan
57,158.81100000000001,0,0,0,0,0,815,1,16,nan
58,195.011,0,0,0,0,0,1217,1,16,nan
59,178.148,0,0,0,0,0,1115,1,16,nan
60,140.84299999999999,0,0,0,0,0,645,1,16,nan
61,184.99600000000001,0,0,0,0,0,1093,1,16,nan
62,200.24000000000001,0,0,0,0,0,1317,1,16,nan
63,187.393,0,0,0,0,0,1138,1,16,nan
64,236.08000000000001,0,0,0,0,0,1283,1,16,nan
65,182.02500000000001,0,0,0,0,0,793,1,16,nan
66,202.50800000000001,0,0,0,0,0,1329,1,16,nan
67,193.095,0,0,0,0,0,1106,1,16,nan
68,179.63,0,0,0,0,0,1085,1,16,nan
69,197.49100000000001,0,0,0,0,0,1133,1,16,nan
70,196.15899999999999,0,0,0,0,0,1064,1,16,nan
71,188.50700000000001,0,0,0,0,0,953,1,16,nan
72,199.614,0,0,0,0,0,1124,1,16,nan
73,185.221,0,0,0,0,0,939,1,16,nan
74,162.14099999999999,0,0,0,0,0,690,1,16,nan
75,134.42599999999999,0,0,0,0,0,575,1,16,nan
76,177.816,0,0,0,0,0,1063,1,16,nan
77,141.11000000000001,0,0,0,0,0,645,1,16,nan
78,189.13999999999999,0,0,0,0,0,1230,1,16,nan
79,172.952,0,0,0,0,0,1117,1,16,nan
80,221.30199999999999,0,0,0,0,0,1262,1,16,nan
81,203.16200000000001,0,0,0,0,0,1201,1,16,nan
82,177.239,0,0,0,0,0,889,1,16,nan
83,128.88399999999999,0,0,0,0,0,248,1,16,nan
84,138.40899999999999,0,0,0,0,0,557,1,16,nan
85,198.34700000000001,0,0,0,0,0,1198,1,16,nan
86,176.553,0,0,0,0,0,1044,1,16,nan
87,137.25800000000001,0,0,0,0,0,554,1,16,nan
88,187.87700000000001,0,0,0,0,0,1134,1,16,nan
89,185.965,0,0,0,0,0,1235,1,16,nan
90,153.34299999999999,0,0,0,0,0,707,1,16,nan
91,177.33199999999999,0,0,0,0,0,1045,1,16,nan
92,141.25299999999999,0,0,0,0,0,568,1,16,nan
93,137.38,0,0,0,0,0,653,1,16,nan
94,164.70599999999999,0,0,0,0,0,927,1,16,nan
95,178.44300000000001,0,0,0,0,0,1135,1,16,nan
96,183.55000000000001,0,0,0,0,0,1136,1,16,nan
97,260.18599999999998,0,0,0,0,0,1296,1,16,nan
98,190.37700000000001,0,0,0,0,0,1076,1,16,nan
99,221.47200000000001,0,0,0,0,0,1330,1,16,nan
100,201.476,0,0,0,0,0,1245,1,16,nan
101,180.55500000000001,0,0,0,0,0,1158,1,16,nan
102,181.13800000000001,0,0,0,0,0,1147,1,16,nan
103,182.357,0,0,0,0,0,973,1,16,nan
104,153.071,0,0,0,0,0,920,1,16,nan
105,180.09100000000001,0,0,0,0,0,1178,1,16,nan
106,156.12200000000001,0,0,0,0,0,891,1,16,nan
107,176.52799999999999,0,0,0,0,0,1082,1,16,nan
108,174.465,0,0,0,0,0,1115,1,16,nan
109,131.53899999999999,0,0,0,0,0,524,1,16,nan
110,164.833,0,0,0,0,0,999,1,16,nan
111,154.053,0,0,0,0,0,824,1,16,nan
112,178.982,0,0,0,0,0,1204,1,16,nan
113,133.374,0,0,0,0,0,679,1,16,nan
114,179.03100000000001,0,0,0,0,0,1129,1,16,nan
115,190.077,0,0,0,0,0,1193,1,16,nan
116,189.88300000000001,0,0,0,0,0,1292,1,16,nan
117,150.06299999999999,0,0,0,0,0,823,1,16,nan
118,136.16499999999999,0,0,0,0,0,601,1,16,nan
119,158.702,0,0,0,0,0,605,1,16,nan
120,191.43199999999999,0,0,0,0,0,1197,1,16,nan
121,198.053,0,0,0,0,0,1295,1,16,nan
122,167.571,0,0,0,0,0,945,1,16,nan
123,173.488,0,0,0,0,0,1004,1,16,nan
124,172.61699999999999,0,0,0,0,0,1091,1,16,nan
125,174.78,0,0,0,0,0,929,1,16,nan
126,168.529,0,0,0,0,0,1056,1,16,nan
127,172.191,0,0,0,0,0,1080,1,16,nan
128,178.316,0,0,0,0,0,888,1,16,nan
129,186.179,0,0,0,0,0,1244,1,16,nan
130,169.15299999999999,0,0,0,0,0,1112,1,16,nan
131,181.34899999999999,0,0,0,0,0,1221,1,16,nan
132,184.131,0,0,0,0,0,933,1,16,nan
133,194.99600000000001,0,0,0,0,0,1231,1,16,nan
134,189.613,0,0,0,0,0,1178,1,16,nan
135,191.74000000000001,0,0,0,0,0,1276,1,16,nan
136,184.04300000000001,0,0,0,0,0,1174,1,16,nan
137,134.58799999999999,0,0,0,0,0,507,1,16,nan
138,186.16,0,0,0,0,0,1053,1,16,nan
139,187.65600000000001,0,0,0,0,0,1281,1,16,nan
140,157.72999999999999,0,0,0,0,0,959,1,16,nan
141,151.708,0,0,0,0,0,815,1,16,nan
142,178.70699999999999,0,0,0,0,0,1169,1,16,nan
143,188.30199999999999,0,0,0,0,0,1060,1,16,nan
144,175.142,0,0,0,0,0,1007,1,16,nan
145,145.41999999999999,0,0,0,0,0,660,1,16,nan
146,191.23699999999999,0,0,0,0,0,1205,1,16,nan
147,175.42599999999999,0,0,0,0,0,1127,1,16,nan
148,181.191,0,0,0,0,0,1136,1,16,nan
149,218.13900000000001,0,0,0,0,0,1145,1,16,nan
150,182.63,0,0,0,0,0,1020,1,16,nan
151,206.80500000000001,0,0,0,0,0,1333,1,16,nan
152,174.35300000000001,0,0,0,0,0,860,1,16,nan
153,179.221,0,0,0,0,0,1063,1,16,nan
154,177.191,0,0,0,0,0,1110,1,16,nan
155,191.279,0,0,0,0,0,1274,1,16,nan
156,174.58099999999999,0,0,0,0,0,1097,1,16,nan
157,131.25399999999999,0,0,0,0,0,571,1,16,nan
158,162.07599999999999,0,0,0,0,0,907,1,16,nan
159,158.20400000000001,0,0,0,0,0,895,1,16,nan
160,163.755,0,0,0,0,0,1000,1,16,nan
161,197.881,0,0,0,0,0,1130,1,16,nan
162,205.14500000000001,0,0,0,0,0,1336,1,16,nan
163,195.547,0,0,0,0,0,1189,1,16,nan
164,192.10499999999999,0,0,0,0,0,1267,1,16,nan
165,171.80799999999999,0,0,0,0,0,933,1,16,nan
166,187.291,0,0,0,0,0,1252,1,16,nan
167,170.88399999999999,0,0,0,0,0,1026,1,16,nan
168,194.93199999999999,0,0,0,0,0,1134,1,16,nan
169,187.03399999999999,0,0,0,0,0,1201,1,16,nan
170,188.834,0,0,0,0,0,1213,1,16,nan
171,165.11000000000001,0,0,0,0,0,963,1,16,nan
172,179.89500000000001,0,0,0,0,0,1275,1,16,nan
173,161.726,0,0,0,0,0,929,1,16,nan
174,188.679,0,0,0,0,0,1274,1,16,nan
175,176.886,0,0,0,0,0,1161,1,16,nan
176,188.31200000000001,0,0,0,0,0,1273,1,16,nan
177,187.74000000000001,0,0,0,0,0,1043,1,16,nan
178,188.19999999999999,0,0,0,0,0,1038,1,16,nan
179,162.08799999999999,0,0,0,0,0,778,1,16,nan
180,182.446,0,0,0,0,0,1001,1,16,nan
181,180.953,0,0,0,0,0,857,1,16,nan
182,170.578,0,0,0,0,0,1057,1,16,nan
183,163.77099999999999,0,0,0,0,0,959,1,16,nan
184,141.74000000000001,0,0,0,0,0,713,1,16,nan
185,158.52000000000001,0,0,0,0,0,1003,1,16,nan
186,162.86199999999999,0,0,0,0,0,1053,1,16,nan
187,185.86099999999999,0,0,0,0,0,1255,1,16,nan
188,176.21299999999999,0,0,0,0,0,1114,1,16,nan
189,147.50200000000001,0,0,0,0,0,834,1,16,nan
190,178.95599999999999,0,0,0,0,0,1138,1,16,nan
191,141.91,0,0,0,0,0,685,1,16,nan
192,165.21199999999999,0,0,0,0,0,995,1,16,nan
193,133.48400000000001,0,0,0,0,0,593,1,16,nan
194,195.33799999999999,0,0,0,0,0,1299,1,16,nan
195,192.68100000000001,0,0,0,0,0,1296,1,16,nan
196,164.65299999999999,0,0,0,0,0,1085,1,16,nan
197,176.816,0,0,0,0,0,1156,1,16,nan
198,207.81100000000001,0,0,0,0,0,1207,1,16,nan
199,212.46799999999999,0,0,0,0,0,1310,1,16,nan
200,195.65700000000001,0,0,0,0,0,1147,1,16,nan
201,154.25800000000001,0,0,0,0,0,695,1,16,nan
202,185.19300000000001,0,0,0,0,0,1153,1,16,nan
203,165.86699999999999,0,0,0,0,0,923,1,16,nan
204,169.25800000000001,0,0,0,0,0,1091,1,16,nan
205,155.73599999999999,0,0,0,0,0,796,1,16,nan
206,156.23099999999999,0,0,0,0,0,901,1,16,nan
207,145.72499999999999,0,0,0,0,0,756,1,16,nan
208,152.36799999999999,0,0,0,0,0,861,1,16,nan
209,177.499,0,0,0,0,0,1233,1,16,nan
210,158.71000000000001,0,0,0,0,0,626,1,16,nan
211,189.471,0,0,0,0,0,1053,1,16,nan
212,165.73500000000001,0,0,0,0,0,839,1,16,nan
213,222.625,0,0,0,0,0,1392,1,16,nan
214,205.75200000000001,0,0,0,0,0,1148,1,16,nan
215,178.017,0,0,0,0,0,872,1,16,nan
216,139.518,0,0,0,0,0,641,1,16,nan
217,199.65000000000001,0,0,0,0,0,1149,1,16,nan
218,176.28299999999999,0,0,0,0,0,1135,1,16,nan
219,236.298,0,0,0,0,0,1397,1,16,nan
220,211.47,0,0,0,0,0,1186,1,16,nan
221,198.93799999999999,0,0,0,0,0,1179,1,16,nan
222,204.499,0,0,0,0,0,1123,1,16,nan
223,191.99299999999999,0,0,0,0,0,1087,1,16,nan
224,176.52500000000001,0,0,0,0,0,1075,1,16,nan
225,173.90899999999999,0,0,0,0,0,1085,1,16,nan
226,147.024,0,0,0,0,0,706,1,16,nan
227,171.928,0,0,0,0,0,1015,1,16,nan
228,153.68199999999999,0,0,0,0,0,855,1,16,nan
229,193.01499999999999,0,0,0,0,0,1103,1,16,nan
230,180.84700000000001,0,0,0,0,0,1031,1,16,nan
231,165.31800000000001,0,0,0,0,0,957,1,16,nan
232,196.99799999999999,0,0,0,0,0,1232,1,16,nan
233,185.46199999999999,0,0,0,0,0,1099,1,16,nan
234,163.464,0,0,0,0,0,855,1,16,nan
235,180.226,0,0,0,0,0,1029,1,16,nan
236,172.864,0,0,0,0,0,1132,1,16,nan
237,166.536,0,0,0,0,0,1007,1,16,nan
238,161.50999999999999,0,0,0,0,0,960,1,16,nan
239,189.79900000000001,0,0,0,0,0,1220,1,16,nan
240,147.27600000000001,0,0,0,0,0,755,1,16,nan
241,118.758,0,0,0,0,0,468,1,16,nan
242,133.01300000000001,0,0,0,0,0,571,1,16,nan
243,157.58500000000001,0,0,0,0,0,958,1,16,nan
244,171.41900000000001,0,0,0,0,0,1087,1,16,nan
245,188.10900000000001,0,0,0,0,0,1182,1,16,nan
246,165.53800000000001,0,0,0,0,0,985,1,16,nan
247,146.81800000000001,0,0,0,0,0,751,1,16,nan
248,171.15000000000001,0,0,0,0,0,1066,1,16,nan
249,160.30099999999999,0,0,0,0,0,919,1,16,nan
250,165.779,0,0,0,0,0,971,1,16,nan
251,162.626,0,0,0,0,0,903,1,16,nan
252,199.863,0,0,0,0,0,1412,1,16,nan
253,186.90299999999999,0,0,0,0,0,1205,1,16,nan
254,156.035,0,0,0,0,0,937,1,16,nan
255,161.50399999999999,0,0,0,0,0,978,1,16,nan
256,169.369,0,0,0,0,0,1082,1,16,nan
257,174.48500000000001,0,0,0,0,0,1004,1,16,nan
258,201.07599999999999,0,0,0,0,0,1148,1,16,nan
259,206.977,0,0,0,0,0,1188,1,16,nan
260,184.47900000000001,0,0,0,0,0,1090,1,16,nan
261,137.90000000000001,0,0,0,0,0,435,1,16,nan
262,161.39599999999999,0,0,0,0,0,860,1,16,nan
263,166.607,0,0,0,0,0,994,1,16,nan
264,137.417,0,0,0,0,0,606,1,16,nan
265,180.00800000000001,0,0,0,0,0,1210,1,16,nan
266,209.94,0,0,0,0,0,1176,1,16,nan
267,176.40199999999999,0,0,0,0,0,1194,1,16,nan
268,175.99799999999999,0,0,0,0,0,1130,1,16,nan
269,173.09100000000001,0,0,0,0,0,1066,1,16,nan
270,166.762,0,0,0,0,0,1042,1,16,nan
271,169.203,0,0,0,0,0,1074,1,16,nan
272,177.75,0,0,0,0,0,1088,1,16,nan
273,150.86000000000001,0,0,0,0,0,814,1,16,nan
274,154.84800000000001,0,0,0,0,0,803,1,16,nan
275,183.74299999999999,0,0,0,0,0,1056,1,16,nan
276,155.042,0,0,0,0,0,866,1,16,nan
277,153.18899999999999,0,0,0,0,0,810,1,16,nan
278,136.864,0,0,0,0,0,614,1,16,nan
279,146.93199999999999,0,0,0,0,0,715,1,16,nan
280,191.60499999999999,0,0,0,0,0,928,1,16,nan
281,222.952,0,0,0,0,0,1352,1,16,nan
282,205.15600000000001,0,0,0,0,0,1059,1,16,nan
283,181.99799999999999,0,0,0,0,0,935,1,16,nan
284,183.267,0,0,0,0,0,1149,1,16,nan
285,174.596,0,0,0,0,0,1079,1,16,nan
286,153.53399999999999,0,0,0,0,0,768,1,16,nan
287,171.09299999999999,0,0,0,0,0,1031,1,16,nan
288,186.41499999999999,0,0,0,0,0,1291,1,16,nan
289,173.595,0,0,0,0,0,1030,1,16,nan
290,135.46299999999999,0,0,0,0,0,637,1,16,nan
291,166.559,0,0,0,0,0,1036,1,16,nan
292,188.02099999999999,0,0,0,0,0,1242,1,16,nan
293,183.11199999999999,0,0,0,0,0,1262,1,16,nan
294,170.458,0,0,0,0,0,1082,1,16,nan
295,188.958,0,0,0,0,0,1008,1,16,nan
296,175.15799999999999,0,0,0,0,0,1074,1,16,nan
297,217.03999999999999,0,0,0,0,0,1245,1,16,nan
298,186.86000000000001,0,0,0,0,0,1124,1,16,nan
299,134.244,0,0,0,0,0,559,1,16,nan
300,189.94,0,0,0,0,0,1140,1,16,nan
301,155.916,0,0,0,0,0,800,1,16,nan
