query_id,total_us,t_search_including_retention,t_candidate_retention_intrusive,t_candidate_finalize,t_exact16,t_final_topk,candidates,refined,exact_evals,gap
0,165.751,0,0,0,0,0,967,0,0,1209.1328125
1,186.06299999999999,0,0,0,0,0,1274,1,16,485.10546875
2,177.99000000000001,0,0,0,0,0,1223,0,0,1625.546875
3,169.72200000000001,0,0,0,0,0,1146,0,0,2034.41015625
4,155.839,0,0,0,0,0,837,0,0,5292.5546875
5,159.36199999999999,0,0,0,0,0,959,0,0,1351.4921875
6,164.15799999999999,0,0,0,0,0,1010,0,0,1794.96484375
7,155.13999999999999,0,0,0,0,0,921,0,0,1555.91015625
8,175.14500000000001,0,0,0,0,0,1194,0,0,1221.1171875
9,155.03700000000001,0,0,0,0,0,931,0,0,965.47265625
10,193.012,0,0,0,0,0,1350,0,0,3679.03515625
11,188.089,0,0,0,0,0,1283,0,0,840.97265625
12,130.66399999999999,0,0,0,0,0,593,0,0,763.99609375
13,152.60900000000001,0,0,0,0,0,787,0,0,1363.015625
14,150.91800000000001,0,0,0,0,0,811,0,0,868.56640625
15,145.416,0,0,0,0,0,783,0,0,2187.341796875
16,191.55799999999999,0,0,0,0,0,1241,1,16,598.39453125
17,159.267,0,0,0,0,0,991,0,0,2266.25
18,184.48699999999999,0,0,0,0,0,1321,1,16,595.91015625
19,168.97499999999999,0,0,0,0,0,1105,1,16,692.08203125
20,138.60300000000001,0,0,0,0,0,484,0,0,1815.267578125
21,189.18000000000001,0,0,0,0,0,1164,1,16,188.484375
22,206.11699999999999,0,0,0,0,0,1064,0,0,894.34765625
23,200.71600000000001,0,0,0,0,0,1094,0,0,2170.40625
24,184.84200000000001,0,0,0,0,0,1178,0,0,1534.640625
25,173.09700000000001,0,0,0,0,0,1126,1,16,704.8515625
26,146.40799999999999,0,0,0,0,0,694,0,0,2453.4921875
27,182.82900000000001,0,0,0,0,0,1103,0,0,9651.3359375
28,171.97800000000001,0,0,0,0,0,897,0,0,1908.46484375
29,152.32900000000001,0,0,0,0,0,846,0,0,2813.8203125
30,185.054,0,0,0,0,0,1250,0,0,1319.4453125
31,180.578,0,0,0,0,0,1174,0,0,1626.7890625
32,178.72300000000001,0,0,0,0,0,1171,0,0,1872.8203125
33,164.65299999999999,0,0,0,0,0,1053,0,0,1912.7890625
34,185.90100000000001,0,0,0,0,0,1306,0,0,1010.84375
35,135.65600000000001,0,0,0,0,0,804,0,0,2759.919921875
36,167.91499999999999,0,0,0,0,0,1065,1,16,308.59375
37,150.70500000000001,0,0,0,0,0,826,0,0,1645.34765625
38,176.51499999999999,0,0,0,0,0,1090,0,0,3153.421875
39,166.73500000000001,0,0,0,0,0,951,1,16,594.48046875
40,210.452,0,0,0,0,0,1249,0,0,1772.14453125
41,148.059,0,0,0,0,0,742,0,0,887.87109375
42,142.767,0,0,0,0,0,858,0,0,1318.46875
43,182.41,0,0,0,0,0,1233,0,0,1665.0546875
44,180.23699999999999,0,0,0,0,0,1141,1,16,498.9609375
45,155.85300000000001,0,0,0,0,0,819,0,0,1152.583984375
46,176.68299999999999,0,0,0,0,0,1200,0,0,747.71484375
47,128.18799999999999,0,0,0,0,0,535,1,16,586.5498046875
48,186.00200000000001,0,0,0,0,0,1326,0,0,1168.625
49,131.92500000000001,0,0,0,0,0,599,1,16,552.99609375
50,151.202,0,0,0,0,0,847,0,0,929.40234375
51,146.84700000000001,0,0,0,0,0,792,0,0,3538.984375
52,171.28999999999999,0,0,0,0,0,1120,0,0,1227.8984375
53,165.738,0,0,0,0,0,1089,0,0,991.181640625
54,154.536,0,0,0,0,0,897,0,0,2362.80859375
55,169.43899999999999,0,0,0,0,0,1036,0,0,836.921875
56,149.583,0,0,0,0,0,850,0,0,852.46875
57,151.423,0,0,0,0,0,815,0,0,8312.2734375
58,186.364,0,0,0,0,0,1217,0,0,858.0078125
59,171.52500000000001,0,0,0,0,0,1115,1,16,288.46484375
60,134.93000000000001,0,0,0,0,0,645,0,0,2670.732421875
61,178.17599999999999,0,0,0,0,0,1093,0,0,1202.0390625
62,190.93899999999999,0,0,0,0,0,1317,0,0,1201.9296875
63,175.04900000000001,0,0,0,0,0,1138,0,0,1045.03125
64,193.33799999999999,0,0,0,0,0,1283,0,0,2081.5625
65,160.541,0,0,0,0,0,793,0,0,1282.41015625
66,184.547,0,0,0,0,0,1329,1,16,125.28125
67,168.93000000000001,0,0,0,0,0,1106,0,0,1523.62890625
68,168.26499999999999,0,0,0,0,0,1085,0,0,1609.140625
69,179.90299999999999,0,0,0,0,0,1133,1,16,407.4453125
70,165.821,0,0,0,0,0,1064,0,0,1314.953125
71,163.529,0,0,0,0,0,953,0,0,795.8046875
72,171.70099999999999,0,0,0,0,0,1124,0,0,890.44921875
73,156.36199999999999,0,0,0,0,0,939,0,0,849.0078125
74,141.22499999999999,0,0,0,0,0,690,0,0,2668.44921875
75,129.99100000000001,0,0,0,0,0,575,0,0,1859.900390625
76,172.89599999999999,0,0,0,0,0,1063,0,0,3353.79296875
77,135.05799999999999,0,0,0,0,0,645,0,0,1295.228515625
78,179.381,0,0,0,0,0,1230,0,0,2173.2734375
79,165.804,0,0,0,0,0,1117,0,0,1228.18359375
80,185.05600000000001,0,0,0,0,0,1262,0,0,1517.328125
81,174.37100000000001,0,0,0,0,0,1201,0,0,1408.6796875
82,154.89500000000001,0,0,0,0,0,889,0,0,1035.689453125
83,101.875,0,0,0,0,0,248,0,0,1099.89453125
84,125.747,0,0,0,0,0,557,0,0,1221.3232421875
85,184.81999999999999,0,0,0,0,0,1198,0,0,1201.6796875
86,166.13,0,0,0,0,0,1044,0,0,780.5703125
87,133.49600000000001,0,0,0,0,0,554,1,16,289.35400390625
88,178.65700000000001,0,0,0,0,0,1134,0,0,2134.71875
89,184.48400000000001,0,0,0,0,0,1235,1,16,355.04296875
90,147.804,0,0,0,0,0,707,0,0,1660.7578125
91,166.76400000000001,0,0,0,0,0,1045,0,0,861.17578125
92,135.23400000000001,0,0,0,0,0,568,1,16,309.0625
93,132.94,0,0,0,0,0,653,0,0,1406.423828125
94,155.72200000000001,0,0,0,0,0,927,0,0,1983.9453125
95,173.56700000000001,0,0,0,0,0,1135,0,0,3886.26953125
96,175.75399999999999,0,0,0,0,0,1136,0,0,1647.8671875
97,190.62299999999999,0,0,0,0,0,1296,0,0,885.95703125
98,164.55099999999999,0,0,0,0,0,1076,0,0,1043.1328125
99,187.98599999999999,0,0,0,0,0,1330,0,0,1620.25390625
100,178.87299999999999,0,0,0,0,0,1245,0,0,741.75390625
101,177.57900000000001,0,0,0,0,0,1158,0,0,1398.2578125
102,173.66300000000001,0,0,0,0,0,1147,1,16,376.0625
103,165.952,0,0,0,0,0,973,0,0,4445.0546875
104,149.06299999999999,0,0,0,0,0,920,0,0,1602.37890625
105,176.43600000000001,0,0,0,0,0,1178,0,0,1669.66796875
106,152.85599999999999,0,0,0,0,0,891,0,0,3472.45703125
107,179.21199999999999,0,0,0,0,0,1082,0,0,4245.6953125
108,172.83500000000001,0,0,0,0,0,1115,1,16,590.7734375
109,128.73699999999999,0,0,0,0,0,524,0,0,1022.453125
110,164.071,0,0,0,0,0,999,1,16,359.619140625
111,152.22200000000001,0,0,0,0,0,824,0,0,1720.86328125
112,177.85499999999999,0,0,0,0,0,1204,0,0,1318.57421875
113,137.928,0,0,0,0,0,679,1,16,504.7978515625
114,171.749,0,0,0,0,0,1129,0,0,934.89453125
115,189.88499999999999,0,0,0,0,0,1193,0,0,754.6015625
116,186.77600000000001,0,0,0,0,0,1292,0,0,1532.08203125
117,148.291,0,0,0,0,0,823,0,0,2447.62109375
118,135.041,0,0,0,0,0,601,1,16,529.5078125
119,143.12700000000001,0,0,0,0,0,605,0,0,1982.7265625
120,177.733,0,0,0,0,0,1197,0,0,737.29296875
121,190.96899999999999,0,0,0,0,0,1295,0,0,1399.96875
122,162.059,0,0,0,0,0,945,1,16,609.4921875
123,164.80199999999999,0,0,0,0,0,1004,0,0,1726.94921875
124,163.61199999999999,0,0,0,0,0,1091,0,0,988.40625
125,190.14500000000001,0,0,0,0,0,929,1,16,467.025390625
126,180.458,0,0,0,0,0,1056,0,0,776.275390625
127,177.15299999999999,0,0,0,0,0,1080,0,0,2539.76953125
128,201.48699999999999,0,0,0,0,0,888,0,0,1421.1875
129,197.55099999999999,0,0,0,0,0,1244,1,16,464.6640625
130,177.47300000000001,0,0,0,0,0,1112,0,0,921.90625
131,185.333,0,0,0,0,0,1221,0,0,990.28125
132,171.13800000000001,0,0,0,0,0,933,1,16,530.25390625
133,196.601,0,0,0,0,0,1231,0,0,1595.66015625
134,190.53299999999999,0,0,0,0,0,1178,0,0,1880.70703125
135,213.88900000000001,0,0,0,0,0,1276,0,0,713.109375
136,175.34700000000001,0,0,0,0,0,1174,0,0,1187.5390625
137,128.98699999999999,0,0,0,0,0,507,1,16,321.71875
138,166.518,0,0,0,0,0,1053,0,0,3684.91796875
139,184.83699999999999,0,0,0,0,0,1281,0,0,1426.5
140,156.49100000000001,0,0,0,0,0,959,0,0,1525.06640625
