ef_search,subset,feature,outcome,queries,spearman
64,all,candidate_mae,ranking_recall_loss,10000,-0.06996608207491181
64,all,candidate_mae,ranking_disagreement,10000,-0.03484716668392647
64,all,relative_boundary_margin,ranking_recall_loss,10000,-0.19697421350804947
64,all,relative_boundary_margin,ranking_disagreement,10000,-0.3150859671162309
64,all,boundary_local_mae,ranking_recall_loss,10000,0.0726326647196424
64,all,boundary_local_mae,ranking_disagreement,10000,0.15542728596051517
64,all,error_scale_over_boundary_margin,ranking_recall_loss,9848,0.28505352014088575
64,all,error_scale_over_boundary_margin,ranking_disagreement,9848,0.36844592525048775
64,all,cross_boundary_inversion_count,ranking_recall_loss,10000,0.6997651215709065
64,all,cross_boundary_inversion_count,ranking_disagreement,10000,0.8719033447120239
64,all,cross_boundary_inversion_fraction,ranking_recall_loss,10000,0.7165985743052605
64,all,cross_boundary_inversion_fraction,ranking_disagreement,10000,0.8565950732551575
64,all,maximum_violation,ranking_recall_loss,10000,0.5514111496537698
64,all,maximum_violation,ranking_disagreement,10000,0.7023681794410093
64,all,topk_agreement,ranking_recall_loss,10000,-0.8186100579662806
64,all,topk_agreement,ranking_disagreement,10000,-1.0
64,all,random_inversion_rate,ranking_recall_loss,10000,0.06167970430849854
64,all,random_inversion_rate,ranking_disagreement,10000,0.07586906590720063
64,all,candidate_count,ranking_recall_loss,10000,-0.104938347430728
64,all,candidate_count,ranking_disagreement,10000,0.05193183756372572
64,no_exact_boundary_ties,candidate_mae,ranking_recall_loss,9848,-0.07014639074259506
64,no_exact_boundary_ties,candidate_mae,ranking_disagreement,9848,-0.03574842499661341
64,no_exact_boundary_ties,relative_boundary_margin,ranking_recall_loss,9848,-0.20780403610614448
64,no_exact_boundary_ties,relative_boundary_margin,ranking_disagreement,9848,-0.3168859646485573
64,no_exact_boundary_ties,boundary_local_mae,ranking_recall_loss,9848,0.07294091129218087
64,no_exact_boundary_ties,boundary_local_mae,ranking_disagreement,9848,0.1543780723113324
64,no_exact_boundary_ties,error_scale_over_boundary_margin,ranking_recall_loss,9848,0.28505352014088575
64,no_exact_boundary_ties,error_scale_over_boundary_margin,ranking_disagreement,9848,0.36844592525048775
64,no_exact_boundary_ties,cross_boundary_inversion_count,ranking_recall_loss,9848,0.702078035380349
64,no_exact_boundary_ties,cross_boundary_inversion_count,ranking_disagreement,9848,0.8726529590939647
64,no_exact_boundary_ties,cross_boundary_inversion_fraction,ranking_recall_loss,9848,0.7184473568308258
64,no_exact_boundary_ties,cross_boundary_inversion_fraction,ranking_disagreement,9848,0.8574360187212551
64,no_exact_boundary_ties,maximum_violation,ranking_recall_loss,9848,0.55505793693726
64,no_exact_boundary_ties,maximum_violation,ranking_disagreement,9848,0.7039572210592057
64,no_exact_boundary_ties,topk_agreement,ranking_recall_loss,9848,-0.821261511932176
64,no_exact_boundary_ties,topk_agreement,ranking_disagreement,9848,-1.0
64,no_exact_boundary_ties,random_inversion_rate,ranking_recall_loss,9848,0.06050121171525231
64,no_exact_boundary_ties,random_inversion_rate,ranking_disagreement,9848,0.07710310080396837
64,no_exact_boundary_ties,candidate_count,ranking_recall_loss,9848,-0.10422531175953507
64,no_exact_boundary_ties,candidate_count,ranking_disagreement,9848,0.04995447562093485
