sample,query_id,base_id,other_id,exact,pq,absolute_relative_error,reconstruction_l2,order_inversion,adc_reference_error
0,3622,773629,499065,1.8408137559890747,1.8379919528961182,0.0015329107409343123,0.083932347595691681,0,7.152557373046875e-07
1,7561,826745,578939,1.9647848606109619,1.9420216083526611,0.011585621163249016,0.091188803315162659,0,4.76837158203125e-07
2,8055,222565,515793,1.8860132694244385,1.8811753988265991,0.0025651308242231607,0.088967718183994293,0,1.0728836059570312e-06
3,2530,855885,936484,1.9864834547042847,1.9659316539764404,0.010345820337533951,0.089633747935295105,0,7.152557373046875e-07
4,3284,341098,670198,1.8650392293930054,1.8561022281646729,0.0047918567433953285,0.086973734200000763,0,2.6226043701171875e-06
5,7492,915631,390264,1.6862077713012695,1.6716371774673462,0.0086410427466034889,0.088825933635234833,0,1.1920928955078125e-07
6,7842,539482,333401,1.7151596546173096,1.7064881324768066,0.0050558103248476982,0.087775066494941711,0,0
7,6765,148918,129048,1.8939222097396851,1.8747583627700806,0.010118602775037289,0.085652604699134827,0,0
8,9739,109450,499006,1.6587955951690674,1.6528925895690918,0.003558609401807189,0.083070077002048492,0,1.3113021850585938e-06
9,1645,171033,697608,1.924965500831604,1.9037023782730103,0.011045975610613823,0.091450721025466919,0,4.76837158203125e-07
10,3498,698638,984339,1.5651295185089111,1.5560646057128906,0.0057917973026633263,0.084504090249538422,0,8.3446502685546875e-07
11,1909,846001,508549,1.9200130701065063,1.9116261005401611,0.0043681836687028408,0.088192939758300781,0,1.1920928955078125e-07
12,2378,594739,58557,1.7692329883575439,1.7441257238388062,0.014191044494509697,0.08853805810213089,0,5.9604644775390625e-07
13,7493,847103,25390,1.5635738372802734,1.5544949769973755,0.0058064800687134266,0.0839647576212883,0,8.3446502685546875e-07
14,4983,80386,469806,1.8700566291809082,1.8478085994720459,0.011896981857717037,0.086146309971809387,0,4.76837158203125e-07
15,5611,745816,182297,1.8219239711761475,1.8079144954681396,0.007689385674893856,0.090319804847240448,0,1.1920928955078125e-07
16,5436,980506,401706,2.0532491207122803,2.0276374816894531,0.012473712675273418,0.091714575886726379,0,0
17,9340,788456,525603,1.898017406463623,1.8799715042114258,0.0095077641308307648,0.090208962559700012,0,7.152557373046875e-07
18,5984,463711,939328,1.7369234561920166,1.7175800800323486,0.011136573739349842,0.090365871787071228,0,1.0728836059570312e-06
19,2532,626000,188029,1.7901122570037842,1.7715638875961304,0.010361568070948124,0.086680382490158081,0,4.76837158203125e-07
20,5624,376074,456019,1.9147151708602905,1.8862076997756958,0.014888622798025608,0.087791509926319122,0,7.152557373046875e-07
21,8593,23948,536252,1.9407477378845215,1.9275321960449219,0.0068095102906227112,0.087119907140731812,0,2.384185791015625e-07
22,6090,534737,355758,1.7359044551849365,1.72676682472229,0.0052639017812907696,0.080815248191356659,0,2.384185791015625e-07
23,1543,63914,592433,2.009366512298584,1.9946327209472656,0.0073325554840266705,0.087004370987415314,0,4.76837158203125e-07
24,5872,379343,87845,2.020068883895874,2.0174014568328857,0.0013204633723944426,0.087641298770904541,0,2.384185791015625e-07
25,1656,565249,434528,1.9355119466781616,1.9291595220565796,0.0032820384949445724,0.08870118111371994,0,1.3113021850585938e-06
