category,count,fraction,signed_loss_sum,fraction_total_signed_loss,mean_oracle_recall
Robust,647,0.0647,0.0,0.0,0.8097372488408039
Occasionally harmful,1812,0.1812,316.0999999999961,0.0631581050570433,0.9080573951434879
Usually harmful,3841,0.3841,1759.3000000000018,0.35151551479550075,0.9659984379067953
Persistently harmful,3700,0.37,2929.49999999998,0.5853263801474514,0.986972972972973
