worker,sequence,query_id,pass,policy,latency_us,exact_evals
0,0,4300,0,0,175.26900000000001,0
0,1,10623,0,1,207.05000000000001,16
0,2,10623,0,1,142.131,16
0,3,2446,0,0,174.101,0
0,4,9015,0,0,173.21799999999999,0
0,5,10452,0,1,202.69499999999999,16
0,6,10452,0,1,144.02799999999999,16
0,7,5644,0,0,199.50200000000001,0
0,8,7182,0,0,195.92699999999999,0
0,9,1661,0,1,206.33000000000001,16
0,10,1661,0,1,155.84,16
0,11,7093,0,0,181.67400000000001,0
0,12,299,0,0,121.408,0
0,13,13465,0,1,179.54499999999999,16
0,14,13465,0,1,127.40600000000001,16
0,15,13060,0,0,168.374,0
0,16,2150,0,0,154.14699999999999,0
0,17,3176,0,1,180.16499999999999,16
0,18,3176,0,1,122.76300000000001,16
0,19,8762,0,0,199.22900000000001,0
0,20,5832,0,0,176.10900000000001,0
0,21,2227,0,1,180.97,16
0,22,2227,0,1,127.982,16
0,23,6708,0,0,164.327,0
0,24,10719,0,0,173.667,0
0,25,5334,0,1,184.476,16
0,26,5334,0,1,132.845,16
0,27,6706,0,0,173.58699999999999,0
0,28,11838,0,0,191.31700000000001,0
0,29,12296,0,1,180.18899999999999,16
0,30,12296,0,1,134.83000000000001,16
0,31,6011,0,0,181.923,0
0,32,12322,0,0,149.67699999999999,0
0,33,11938,0,1,191.34,16
0,34,11938,0,1,136.447,16
0,35,2339,0,0,197.911,0
0,36,13556,0,0,141.864,0
0,37,771,0,1,189.471,16
0,38,771,0,1,143.59700000000001,16
0,39,4519,0,0,178.24600000000001,0
0,40,7155,0,0,166.53100000000001,0
0,41,13170,0,1,185.59399999999999,16
0,42,13170,0,1,125.95999999999999,16
0,43,10022,0,0,161.50399999999999,0
0,44,8253,0,0,120.05200000000001,0
0,45,257,0,1,175.495,16
0,46,257,0,1,118.277,16
0,47,6848,0,0,205.59999999999999,0
0,48,5758,0,0,184.94300000000001,0
0,49,2372,0,1,205.51499999999999,16
0,50,2372,0,1,149.071,16
0,51,8817,0,0,185.25299999999999,0
0,52,6006,0,0,138.96299999999999,0
0,53,11113,0,1,167.20699999999999,16
0,54,11113,0,1,128.22499999999999,16
0,55,6362,0,0,167.697,0
0,56,4407,0,0,153.48400000000001,0
0,57,7781,0,1,171.834,16
0,58,7781,0,1,121.399,16
0,59,11139,0,0,200.74600000000001,0
0,60,5631,0,0,167.09,0
0,61,6006,0,1,145.268,16
0,62,6006,0,1,118.837,16
0,63,5440,0,0,194.928,0
0,64,11848,0,0,168.66300000000001,0
0,65,1540,0,1,179.70400000000001,16
0,66,1540,0,1,129.435,16
0,67,7769,0,0,155.565,0
0,68,10623,0,0,177.477,0
0,69,9461,0,1,194.12299999999999,16
0,70,9461,0,1,133.977,16
0,71,12681,0,0,173.49799999999999,0
0,72,1371,0,0,164.34899999999999,0
