scope,category,queries,fraction,signed_loss_sum,fraction_total_signed_loss,positive_loss_sum
all,rotation-robust,674,0.0674,113.69999999999996,0.007216161154585761,113.69999999999803
all,occasionally vulnerable,1234,0.1234,784.2000000000004,0.049770567963290754,784.2000000000975
all,usually vulnerable,3112,0.3112,4000.1000000000017,0.25387305395302134,4000.0999999980145
all,rotation-persistent,4980,0.498,10858.300000000005,0.6891402169290998,10858.300000008625
oracle1,rotation-robust,136,0.01905829596412556,28.999999999999996,0.002257160647571605,29.000000000000128
oracle1,occasionally vulnerable,488,0.06838565022421525,326.99999999999994,0.025451432129514305,327.0000000000032
oracle1,usually vulnerable,2095,0.2935818385650224,2758.2,0.21467932752179317,2758.199999999019
oracle1,rotation-persistent,4417,0.6189742152466368,9733.800000000021,0.7576120797011221,9733.800000005858
