group,metric,pairs,mean,median,p90,p95,p99,min,max,std
within,harmful_jaccard,15,0.681519479072206,0.6853553565197161,0.6899841953202877,0.6905726271437543,0.6913664160628404,0.6613931523022432,0.691564863292612,0.009065484444280986
within,loss_spearman,15,0.40861588433493196,0.41176673875367426,0.4219861805550528,0.42292126082865666,0.42420604202428797,0.3870915071963157,0.4245272373231958,0.012879068905746806
within,inversion_spearman,15,0.4400781562469289,0.4410606925278676,0.45158082607744837,0.4547269787299638,0.4564314564420166,0.4185342280713937,0.4568575758700298,0.010397005673916597
within,pair_jaccard,15,0.14787941886516165,0.14487495856506205,0.16233234598384955,0.1628502428736215,0.16319136120112981,0.14079545245497527,0.1632766407830069,0.007838230099520397
within,independent_marginal_jaccard,15,0.5659112704117122,0.5701656038798537,0.574565551704756,0.5754828907867944,0.5770722526562307,0.5408259448223425,0.5774695931235898,0.012270745607816436
between,harmful_jaccard,90,0.6674041109689502,0.6690267553735161,0.6779995398614977,0.6811342955576148,0.6866662955161744,0.6463231036479444,0.6889581889581889,0.009265086648011619
between,loss_spearman,90,0.36400630162461645,0.3635142574572776,0.38039232089069736,0.3826962410679771,0.3870480369567926,0.33686275857368975,0.3876559508563504,0.012126011516495887
between,inversion_spearman,90,0.37972481823067383,0.37990926350420684,0.3954110893251747,0.3990920547252455,0.40468117933042824,0.3541104123945812,0.4064518540448873,0.012443887317729906
between,pair_jaccard,90,0.1170551911094097,0.11702328891382568,0.11882066073719268,0.11968775826531396,0.12017522799224037,0.11369937944432917,0.1202005099008952,0.0014766461217197513
between,independent_marginal_jaccard,90,0.5657665055630442,0.5685282216120724,0.5752913136264339,0.5762806242663461,0.5786119290033148,0.5511558735434794,0.580339607009379,0.007945259819473156
identity_to_random,harmful_jaccard,36,0.6577129664599526,0.6583851359891995,0.6622558195563601,0.6626197800218775,0.6641666475410898,0.6463231036479444,0.664614312267658,0.004012422362617735
identity_to_random,loss_spearman,36,0.3551149411116753,0.35682450217514916,0.36536631675557696,0.3662053535586628,0.3684614267604103,0.33686275857368975,0.3695639203320771,0.008445741657167999
identity_to_random,inversion_spearman,36,0.3676781056719641,0.368558334710355,0.3766665688481738,0.37788615328217334,0.3785313874273314,0.3541104123945812,0.37885441763886135,0.006711214385248863
identity_to_random,pair_jaccard,36,0.11687586512538996,0.11657578111426098,0.11870642547153082,0.1193949938685514,0.12011303680926934,0.11369937944432917,0.1202005099008952,0.001538597164577396
identity_to_random,independent_marginal_jaccard,36,0.5568932721768494,0.5567101773892486,0.5607618774281455,0.5618239712867884,0.5632617552001277,0.5511558735434794,0.5635703947295958,0.0029445044258689843
random_to_random,harmful_jaccard,54,0.6738648739749488,0.6736606452492993,0.6802996737527581,0.6824139946947727,0.6875933535376635,0.664712643678161,0.6889581889581889,0.0052148958396078995
random_to_random,loss_spearman,54,0.3699338752999106,0.36858359513081695,0.38193246245217866,0.38392756991077687,0.3872939347139171,0.3497328370567303,0.3876559508563504,0.010503033695068845
random_to_random,inversion_spearman,54,0.3877559599364803,0.3862216421482947,0.39877654910932225,0.40079514726221216,0.40539740730481616,0.37391701550332596,0.4064518540448873,0.00812388576231943
random_to_random,pair_jaccard,54,0.11717474176542285,0.11707367788908299,0.11890776627886504,0.11961242460027385,0.12007453061389343,0.11406750431140675,0.12017210326195718,0.0014359189003879005
random_to_random,independent_marginal_jaccard,54,0.5716819944871739,0.571307827390245,0.5761460517623228,0.5766985080249596,0.5793107650507116,0.5651893395261836,0.580339607009379,0.003338756704996796
between_matched_init,harmful_jaccard,30,0.6675970681131713,0.6690794146333743,0.678014097756102,0.6800606920394674,0.6826208137795889,0.6492140545538604,0.6833736605599724,0.00991254150875885
between_matched_init,loss_spearman,30,0.3632038136028426,0.3643001576989522,0.3790085736692084,0.38287687652614255,0.38642037863890133,0.33686275857368975,0.3869729015310045,0.013385774676500288
between_matched_init,inversion_spearman,30,0.3788269172163177,0.37629723248692726,0.39400404857782,0.4005330796278663,0.40371639772808254,0.35597878269655064,0.4044623318938097,0.012328431490472322
between_matched_init,pair_jaccard,30,0.11684669778437944,0.11675163335664737,0.11892058751041897,0.11997116621117719,0.12011871445452607,0.11369937944432917,0.12017210326195718,0.0016692713727623756
between_matched_init,independent_marginal_jaccard,30,0.5657626488416074,0.5689929378408701,0.5750971385079718,0.5752727317598014,0.5754446010089003,0.5529630375612564,0.5754685900344338,0.007891325254442572
between_unmatched_init,harmful_jaccard,60,0.6673076323968398,0.6690267553735161,0.6779995398614977,0.6814496641869502,0.6874388438674153,0.6463231036479444,0.6889581889581889,0.009009177586733341
between_unmatched_init,loss_spearman,60,0.3644075456355034,0.3631771677791731,0.38065878755028865,0.3824097456420835,0.3850940113671197,0.33965869218944583,0.3876559508563504,0.011543142698706129
between_unmatched_init,inversion_spearman,60,0.3801737687378519,0.38103544795531896,0.3954110893251747,0.39858422623394485,0.40276652464819884,0.3541104123945812,0.4064518540448873,0.0125803740495925
between_unmatched_init,pair_jaccard,60,0.11715943777192482,0.11709451470420643,0.11881509435625637,0.11922333595353247,0.119997991876243,0.11419039349207075,0.1202005099008952,0.0013734738147246025
between_unmatched_init,independent_marginal_jaccard,60,0.5657684339237625,0.5681305372105778,0.5760330014419224,0.5764348970250961,0.5791942923761454,0.5511558735434794,0.580339607009379,0.008038465351354811
