scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
all,boundary_gap_r2,R4-I3,-0.3652740769473972,-0.5774696496792288
all,boundary_gap_r5,R0-I1,-0.3138884479381819,-0.5412311761706506
all,boundary_gap_r5,R0-I2,-0.3157767634240487,-0.5412311761706506
all,boundary_gap_r5,R0-I3,-0.3220040230176755,-0.5412311761706506
all,boundary_gap_r5,R1-I1,-0.352210827457673,-0.5412311761706506
all,boundary_gap_r5,R1-I2,-0.34232644520377875,-0.5412311761706506
all,boundary_gap_r5,R1-I3,-0.36001841243819116,-0.5412311761706506
all,boundary_gap_r5,R2-I1,-0.3479509957255258,-0.5412311761706506
all,boundary_gap_r5,R2-I2,-0.3606653321694412,-0.5412311761706506
all,boundary_gap_r5,R2-I3,-0.34908206837731975,-0.5412311761706506
all,boundary_gap_r5,R3-I1,-0.3479221872311003,-0.5412311761706506
all,boundary_gap_r5,R3-I2,-0.35264340299139524,-0.5412311761706506
all,boundary_gap_r5,R3-I3,-0.36292548092580196,-0.5412311761706506
all,boundary_gap_r5,R4-I1,-0.3526028442030664,-0.5412311761706506
all,boundary_gap_r5,R4-I2,-0.3341896124568447,-0.5412311761706506
all,boundary_gap_r5,R4-I3,-0.3410921916702664,-0.5412311761706506
all,local_distance_concentration,R0-I1,-0.04753721365449927,-0.11408098077677774
all,local_distance_concentration,R0-I2,-0.052331207506883526,-0.11408098077677774
all,local_distance_concentration,R0-I3,-0.05572767270125799,-0.11408098077677774
all,local_distance_concentration,R1-I1,-0.06961182583634364,-0.11408098077677774
all,local_distance_concentration,R1-I2,-0.0706817250582292,-0.11408098077677774
all,local_distance_concentration,R1-I3,-0.07051364886020409,-0.11408098077677774
all,local_distance_concentration,R2-I1,-0.07969717100468003,-0.11408098077677774
all,local_distance_concentration,R2-I2,-0.07422487391004925,-0.11408098077677774
all,local_distance_concentration,R2-I3,-0.07481025063829089,-0.11408098077677774
all,local_distance_concentration,R3-I1,-0.06663071544568433,-0.11408098077677774
all,local_distance_concentration,R3-I2,-0.07386598005142693,-0.11408098077677774
all,local_distance_concentration,R3-I3,-0.07219778998292344,-0.11408098077677774
all,local_distance_concentration,R4-I1,-0.07326935477452715,-0.11408098077677774
all,local_distance_concentration,R4-I2,-0.06785162784718915,-0.11408098077677774
all,local_distance_concentration,R4-I3,-0.06732717767204648,-0.11408098077677774
all,candidate_count,R0-I1,-0.09742579465507097,-0.1618877236676203
all,candidate_count,R0-I2,-0.09211017811887312,-0.1618877236676203
all,candidate_count,R0-I3,-0.1131409746955127,-0.1618877236676203
all,candidate_count,R1-I1,-0.11496756258039108,-0.1618877236676203
all,candidate_count,R1-I2,-0.11022512384363181,-0.1618877236676203
