phase,mode,recall_at_10,mean_us,median_us,p90_us,p95_us,p99_us,service_qps,rep_mean_std_us,rep_mean_min_us,rep_mean_max_us,stream_qps_mean,refined_queries,refined_fraction,exact_evaluations,exact_evaluations_per_query
primary,NATIVE,0.8503087285994949,162.8318142616575,164.732,184.347,190.8707,205.50137,6141.3060127984645,0.2752743621616142,162.48023905416784,163.17435117878193,6139.303128094767,0,0.0,0,0.0
primary,FULL,0.8503087285994949,184.7320800088208,187.1135,211.4877,218.78994999999995,235.28484999999998,5413.24495427243,0.784608208709039,183.94270088408646,185.96557556834128,5411.952956113899,0,0.0,0,0.0
primary,BOUNDED,0.8503087285994949,169.1088191231306,171.157,191.9434,198.53685,213.11711,5913.352155051627,0.7634334626458381,168.43089124333426,170.61800428010105,5911.809182984589,0,0.0,0,0.0
primary,FULL_ALL16,0.9399733370754981,186.70785293292172,189.197,212.87,220.047,236.49237,5355.961114068773,0.46295966646634557,186.1363780522032,187.43873891383663,5354.6360730449605,14252,1.0,228032,16.0
primary,BOUNDED_ALL16,0.9399733370754981,172.35866723467385,174.083,196.06949999999998,203.59664999999993,219.40832999999995,5801.855027333533,0.4293146281761907,171.56527645242775,172.9908795256806,5799.832825548282,14252,1.0,228032,16.0
diagnostic,NATIVE,0.8503087285994949,162.82886660518824,164.7305,184.578,190.99154999999996,205.22080999999994,6141.417187559892,0.5146225103226383,162.28515976705023,163.6812690850407,6139.445642146152,0,0.0,0,0.0
diagnostic,BOUNDED_ALL16,0.9399733370754981,172.55550169399785,174.277,196.26039999999998,203.698,219.2758799999999,5795.236837903638,0.9324591323583099,171.3090435026663,173.76599270277853,5793.792198697099,14252,1.0,228032,16.0
diagnostic,GAP_BOUNDED,0.8805009823182712,169.90762082514738,171.8435,192.83149999999998,199.643,214.80613999999989,5885.551190367759,0.9457467960912708,169.152359738984,171.7898498456357,5884.085814601859,3556,0.24950884086444008,56896,3.9921414538310414
