stage,cell,workers,load1_before,load1_after,host_busy_fraction,host_iowait_fraction,worker_busy_min,worker_busy_max,available_memory_min_kib,swapfree_change_kib
benchmark_concurrent,ef64_T1_p0_r0,1,2.31,2.17,0.043253333333333366,0.0004533333333333333,0.9993597951344431,0.9993597951344431,23052256,0
benchmark_concurrent,ef64_T1_p0_r1,1,2.72,2.4,0.04328808646981397,0.0006780382094473324,0.9993620414673047,0.9993620414673047,23036324,0
benchmark_concurrent,ef64_T1_p0_r2,1,3.63,2.99,0.042754077373411414,0.0002667128969021297,0.99936,0.99936,23042972,0
benchmark_concurrent,ef64_T1_p0_r3,1,3.28,2.77,0.042786096185384204,0.00031999573339022144,0.9990406140070355,0.9990406140070355,23032300,0
benchmark_concurrent,ef64_T1_p0_r4,1,3.52,2.92,0.04287185247589631,0.0002674476136986668,0.9990375360923965,0.9990375360923965,23012284,0
benchmark_concurrent,ef64_T1_p1_r0,1,2.51,2.31,0.04333588175331293,0.0003058103975535168,0.999388379204893,0.999388379204893,23082440,0
benchmark_concurrent,ef64_T1_p1_r1,1,2.4,2.22,0.04265584316128046,0.0002935620564660234,0.9993876301285977,0.9993876301285977,23038092,0
benchmark_concurrent,ef64_T1_p1_r2,1,3.4,2.84,0.042871755529983346,0.00015343306482546988,0.9996930632289748,0.9996930632289748,23053920,0
benchmark_concurrent,ef64_T1_p1_r3,1,3.21,2.68,0.04275258836129958,0.0004590197378487275,0.9996940024479805,0.9996940024479805,23030404,0
benchmark_concurrent,ef64_T1_p1_r4,1,2.92,2.51,0.04299369169940248,0.0003070977978528746,0.9993861264579497,0.9993861264579497,23029456,0
benchmark_concurrent,ef64_T8_p0_r0,8,1.99,2.55,0.3326611055092126,0.0006416720139334495,0.9846153846153847,0.9955947136563876,23116420,0
benchmark_concurrent,ef64_T8_p0_r1,8,2.22,2.76,0.3317744154057771,9.170105456212746e-05,0.986784140969163,0.9956043956043956,23051724,0
benchmark_concurrent,ef64_T8_p0_r2,8,3.16,3.63,0.3317140238313474,9.165902841429881e-05,0.9846153846153847,0.9956043956043956,23053444,0
benchmark_concurrent,ef64_T8_p0_r3,8,2.71,3.21,0.3319593294861226,0.000641201795365027,0.9868421052631579,0.9956140350877193,23039088,0
benchmark_concurrent,ef64_T8_p0_r4,8,3.18,3.65,0.3321418751718449,0.00027495188342040145,0.9846153846153847,0.9956043956043956,23014728,0
benchmark_concurrent,ef64_T8_p1_r0,8,2.17,2.72,0.3328963467925188,0.0017479461632581717,0.9852941176470589,0.9958071278825996,23038780,0
benchmark_concurrent,ef64_T8_p1_r1,8,2.76,3.26,0.3338002276109604,0.00035017070822025736,0.9873949579831933,0.9978947368421053,23053448,0
benchmark_concurrent,ef64_T8_p1_r2,8,2.91,3.4,0.3317883690424136,0.0006121556624398776,0.9790794979079498,0.9958071278825996,23104204,0
