policy,component_off_mean_us,component_on_mean_us,on_minus_off_us,relative_on_minus_off,paired_rep_difference_std_us
NATIVE,161.6498327352552,161.9128735114871,0.263040776231918,0.0016272257866343232,0.42760799687905987
GAP,182.42710108856903,182.2336459744998,-0.19345511406922355,-0.0010604516155485744,0.48645106746752187
RANDOM,171.107251834329,171.32521622027986,0.21796438595086443,0.001273846570581938,0.5318880401595732
ALL16,184.65068463574033,184.34259106491322,-0.3080935708271113,-0.0016685211399832811,0.5657322996624127
