dataset,dimension,workload,metric,pq,dsub,compression,ef,exact_recall,pq_recall,candidate_oracle,discovery_loss,ranking_loss,candidate_oracle_recovery,all16_recall,L16_recovery,native_qps,all16_qps,throughput_penalty,p99_overhead
SIFT1M Phase4B/C/D stream,128,image descriptors,squared L2,64x8,2,8,64,,0.8503087285994949,0.9503648610721304,,0.10005613247263545,,0.9399733370754983,0.8961430575035068,6118.503324288362,5687.775369128796,0.07039760090506497,0.08832876958315228
DBPedia OpenAI3 Phase5A,1536,held-out entity-to-entity embeddings,normalized FP32 squared L2 / cosine equivalent,768x8,2,8,64,0.9420200000000001,0.91685,0.9408700000000001,0.00115,0.024019999999999993,0.9543106873261819,0.9408400000000001,0.998751040799337,740.0847125500958,726.9152622616228,0.017794517391252707,0.019159531084046
