metric,mean,median,p90,p95,p99,min,max,std
within_subset_variance,0.0027245925925925923,0.0022222222222222227,0.005185185185185186,0.006666666666666665,0.00888888888888889,0.0,0.02,0.002005750027546254
between_subset_variance,0.0010177777777777778,0.0007407407407407407,0.002222222222222223,0.0032098765432098768,0.005185185185185186,0.0,0.014074074074074067,0.0011891865474478347
total_model_variability,0.0037423703703703707,0.0032098765432098768,0.006913580246913579,0.008888888888888889,0.012098765432098764,0.0,0.023209876543209877,0.002504209686085148
within_subset_sample_variance,0.00408688888888889,0.003333333333333334,0.007777777777777779,0.01,0.013333333333333336,0.0,0.03,0.0030086250413193815
subset_means_sample_variance,0.0015266666666666668,0.0011111111111111111,0.0033333333333333344,0.004814814814814815,0.007777777777777779,0.0,0.0211111111111111,0.0017837798211717522
signed_subset_variance_contrast,0.00016437037037037039,-1.6263032587282567e-19,0.0022222222222222227,0.003703703703703704,0.007037037037037037,-0.00888888888888889,0.01925925925925925,0.0018873864185647027
initialization_sd,0.04835873354276019,0.047140452079103175,0.07200822998230956,0.0816496580927726,0.09428090415820635,0.0,0.1414213562373095,0.01964851366240785
observed_subset_mean_sd,0.02715360569757928,0.02721655269759087,0.047140452079103175,0.056655772373253165,0.07200822998230956,0.0,0.11863420280034788,0.016747761765399674
total_model_sd,0.05732341683198513,0.056655772373253165,0.08314794192830981,0.09428090415820634,0.10999438818457405,0.0,0.15234788000891208,0.02136450086631049
