ef,metric,mean,std,min,max,median,p90,p95,p99,positive,zero,negative
32,total_loss,0.018829999999999996,0.08573894224109406,-1.0,1.0,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2132,0.7543,0.0325
32,discovery_loss,-0.0001600000000000001,0.07676303574224795,-1.0,1.0,0.0,0.0,0.0,0.19999999999999996,0.036,0.9272,0.0368
32,ranking_loss,0.018989999999999996,0.040552982065878256,0.0,0.20000000000000007,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1846,0.8154,0.0
64,total_loss,0.025169999999999994,0.06517588426395883,-1.0,1.0,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2475,0.7392,0.0133
64,discovery_loss,0.00115,0.04864066294171103,-1.0,1.0,0.0,0.0,0.0,0.09999999999999998,0.0204,0.9635,0.0161
64,ranking_loss,0.024019999999999993,0.044846858575293844,0.0,0.20000000000000007,0.0,0.09999999999999998,0.09999999999999998,0.10000000000000009,0.2309,0.7691,0.0
128,total_loss,0.028029999999999996,0.05349397405807547,-0.6,0.8,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2742,0.7187,0.0071
128,discovery_loss,0.00014000000000000004,0.02541741537805231,-0.6,0.8,0.0,0.0,0.0,0.09999999999999998,0.0103,0.9807,0.009
128,ranking_loss,0.02788999999999999,0.04755390664712773,0.0,0.20000000000000007,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2664,0.7336,0.0
