replicate_id,database_seed,query_seed,graph_seed,pq_seed,graph_fingerprint,mean_recall_exact_native,mean_recall_pq_native,mean_recall_pq_oracle,mean_delta_total,mean_delta_discovery,mean_delta_ranking,rerank_recovery,mean_candidate_coverage_exact,mean_candidate_coverage_pq,mean_evaluated_set_jaccard,max_absolute_delta_exact_control,criterion_abs_discovery_pass,criterion_recovery_pass,criterion_replicate_pass
0,1009,101009,201009,301009,e093920cc0c6640069263187e5cefc603542351293ff62172e563c028709bdfd,0.9668,0.8238000000000001,0.9626,0.143,0.004199999999999999,0.13879999999999998,0.9706293706293707,0.9668,0.9626,0.8514674791983561,0,True,True,True
1,2003,102003,202003,302003,69be7adc46565164d56deef344efcea9959d1b9f1c7069c1cdec275a76884600,0.9662000000000001,0.8218000000000001,0.9633999999999999,0.14439999999999997,0.0027999999999999995,0.1416,0.9806094182825476,0.9662000000000001,0.9633999999999999,0.8500398781151121,0,True,True,True
2,3001,103001,203001,303001,4eefad3095ef2b6bc86f7004f21a6837fe5d789e4f14b5f5193a3c558b04e323,0.9594,0.823,0.9572,0.13639999999999997,0.0022,0.13419999999999999,0.9838709677419356,0.9594,0.9572,0.8495860442175486,0,True,True,True
3,4001,104001,204001,304001,8db93e4e9e3f25c01176ecbf92eded4f2f34a5ed3025d6ef8b34d5dbd1ad2f7c,0.9673999999999999,0.8326,0.9686,0.13479999999999998,-0.0011999999999999995,0.136,1.008902077151336,0.9673999999999999,0.9686,0.8519237865017344,0,True,True,True
4,5003,105003,205003,305003,b20b8c87ffa1bf882b1214bb7a10760899d457b0d0475ca3b3df1645f147bf66,0.9622,0.8288000000000001,0.9628,0.1334,-0.0006000000000000003,0.134,1.0044977511244373,0.9622,0.9628,0.8488807590076028,0,True,True,True
5,6007,106007,206007,306007,96741ea7212d4679ebe4e0d68f0522ea393959f28d7f69f6fc38eb1910e31a58,0.9676,0.8328000000000001,0.9668,0.13479999999999998,0.0008,0.134,0.9940652818991096,0.9676,0.9668,0.8492460248727444,0,True,True,True
6,7001,107001,207001,307001,864477d1820bb58eeb6155b861363dc6ebf72d790a28d0d1553a1916305b2dfa,0.9558,0.8202,0.958,0.1356,-0.0022,0.13779999999999998,1.0162241887905603,0.9558,0.958,0.8520279695896776,0,True,True,True
7,8009,108009,208009,308009,a1b0c9a98a1add5c08c58a3b5f06d0a34d7faeac514d9eb2ac9023cc6ad9f6a9,0.9642000000000001,0.8256,0.9652000000000001,0.1386,-0.0010000000000000002,0.1396,1.0072150072150072,0.9642000000000001,0.9652000000000001,0.8516289656636044,0,True,True,True
