scope,L,fraction,policy,metric,recall,random_mean,random_p975,advantage,exceeds_random_p975,candidate_recoverable_gap
shard0,32,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87292,0.8576183999999999,0.858541,0.015301600000000137,True,0.10328
shard0,32,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88396,0.8731927999999999,0.8743639999999999,0.010767200000000088,True,0.10328
shard0,32,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90304,0.8731927999999999,0.8743639999999999,0.029847200000000074,True,0.10328
shard0,32,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90296,0.8731927999999999,0.8743639999999999,0.029767200000000105,True,0.10328
shard0,32,0.5,GAP,"tie-aware recall, unchanged primary selections",0.91256,0.8989059999999999,0.900707,0.013654000000000166,True,0.10328
shard0,32,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.92944,0.8989059999999999,0.900707,0.030534000000000172,True,0.10328
shard0,32,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.92944,0.8989059999999999,0.900707,0.030534000000000172,True,0.10328
shard0,64,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86336,0.8576312,0.85856,0.005728799999999978,True,0.10328
shard0,64,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87304,0.8576312,0.85856,0.0154088,True,0.10328
shard0,64,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87304,0.8576312,0.85856,0.0154088,True,0.10328
shard0,64,0.25,GAP,"tie-aware recall, unchanged primary selections",0.884,0.8732243999999999,0.8744230000000001,0.010775600000000107,True,0.10328
shard0,64,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90308,0.8732243999999999,0.8744230000000001,0.029855600000000093,True,0.10328
shard0,64,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90308,0.8732243999999999,0.8744230000000001,0.029855600000000093,True,0.10328
shard0,64,0.5,GAP,"tie-aware recall, unchanged primary selections",0.91264,0.8989632000000002,0.900747,0.013676799999999822,True,0.10328
shard0,64,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.92956,0.8989632000000002,0.900747,0.03059679999999987,True,0.10328
shard0,64,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.92956,0.8989632000000002,0.900747,0.03059679999999987,True,0.10328
shard1,16,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86572,0.861194,0.862061,0.00452600000000003,True,0.10207999999999999
shard1,16,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87552,0.861194,0.862061,0.01432599999999995,True,0.10207999999999999
shard1,16,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87404,0.861194,0.862061,0.012846000000000024,True,0.10207999999999999
shard1,16,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88292,0.8748308000000001,0.876021,0.008089199999999908,True,0.10207999999999999
shard1,16,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90084,0.8748308000000001,0.876021,0.026009199999999844,True,0.10207999999999999
