stratum,descriptor,bin,queries,descriptor_mean,harmful_frequency_mean
all,oracle_recall,1,674,0.7999999999999999,0.3884272997032641
all,oracle_recall,2,8876,0.980396575033799,0.7534925642181163
oracle1,d1,0,714,7201.217086834734,0.7470588235294118
oracle1,d1,1,713,14859.0603085554,0.7467040673211782
oracle1,d1,2,713,21055.138849929874,0.7812061711079944
oracle1,d1,3,714,26410.558823529413,0.7759103641456583
oracle1,d1,4,714,31311.18767507003,0.7932773109243697
oracle1,d1,5,714,35850.73949579832,0.8322128851540617
oracle1,d1,6,713,40443.381486676015,0.7997194950911641
oracle1,d1,7,713,45533.92847124825,0.8047685834502103
oracle1,d1,8,714,51394.13585434174,0.7988795518207282
oracle1,d1,9,714,62996.31932773109,0.8266106442577031
oracle1,dk,0,714,15915.932773109243,0.8078431372549019
oracle1,dk,1,713,27816.34221598878,0.7918653576437588
oracle1,dk,2,714,34484.815126050424,0.7764705882352941
oracle1,dk,3,713,39892.35624123422,0.7893408134642356
oracle1,dk,4,714,44724.296918767504,0.7910364145658263
oracle1,dk,5,713,49521.13884992988,0.788499298737728
oracle1,dk,6,714,54149.182072829135,0.7882352941176471
oracle1,dk,7,713,58850.0,0.785694249649369
oracle1,dk,8,714,65176.39355742297,0.7997198879551821
oracle1,dk,9,714,77237.81792717087,0.7876750700280113
oracle1,dk_plus_1,0,714,16179.638655462184,0.8154061624649861
oracle1,dk_plus_1,1,713,28205.535764375876,0.7969144460028051
oracle1,dk_plus_1,2,714,34943.88515406162,0.7801120448179272
oracle1,dk_plus_1,3,713,40351.58765778401,0.7893408134642356
oracle1,dk_plus_1,4,714,45230.13585434174,0.7865546218487395
oracle1,dk_plus_1,5,713,50033.85133239831,0.7974754558204769
oracle1,dk_plus_1,6,713,54689.54838709677,0.7899018232819075
oracle1,dk_plus_1,7,714,59417.60364145658,0.772829131652661
oracle1,dk_plus_1,8,714,65834.61904761905,0.7946778711484596
oracle1,dk_plus_1,9,714,77956.36694677871,0.7831932773109245
oracle1,d20,0,714,17912.050420168067,0.8204481792717087
oracle1,d20,1,713,30581.133239831695,0.8053295932678822
oracle1,d20,2,714,37650.448179271705,0.7859943977591037
oracle1,d20,3,713,43291.98036465638,0.7924263674614306
oracle1,d20,4,714,48348.62324929972,0.7890756302521008
oracle1,d20,5,714,53359.74649859944,0.7960784313725492
oracle1,d20,6,713,58151.35764375877,0.7932678821879382
oracle1,d20,7,713,63137.09396914446,0.7565217391304346
oracle1,d20,8,714,69688.00420168067,0.8016806722689077
oracle1,d20,9,714,82516.08403361344,0.765546218487395
oracle1,boundary_margin,0,709,22.090267983074753,0.9004231311706631
oracle1,boundary_margin,1,710,71.84084507042253,0.8949295774647887
oracle1,boundary_margin,2,713,130.58625525946704,0.8676016830294531
oracle1,boundary_margin,3,714,200.5560224089636,0.8708683473389355
oracle1,boundary_margin,4,722,282.9058171745152,0.8529085872576176
oracle1,boundary_margin,5,706,379.8583569405099,0.8212464589235127
oracle1,boundary_margin,6,715,500.83216783216784,0.7851748251748253
oracle1,boundary_margin,7,719,675.3421418636996,0.7680111265646731
oracle1,boundary_margin,8,714,959.187675070028,0.6887955182072829
oracle1,boundary_margin,9,714,1851.6134453781513,0.45770308123249304
oracle1,relative_boundary_margin,0,714,0.0005520573831034551,0.9030812324929971
oracle1,relative_boundary_margin,1,713,0.0017844618110237447,0.8816269284712482
oracle1,relative_boundary_margin,2,714,0.003153385600025454,0.8795518207282913
oracle1,relative_boundary_margin,3,713,0.004751690033926441,0.8650771388499298
oracle1,relative_boundary_margin,4,714,0.00664727244656016,0.849579831932773
oracle1,relative_boundary_margin,5,714,0.008847080674809254,0.8204481792717087
oracle1,relative_boundary_margin,6,713,0.011578542896355525,0.791304347826087
oracle1,relative_boundary_margin,7,713,0.015454061296813313,0.7758765778401122
oracle1,relative_boundary_margin,8,714,0.0216283522100756,0.6865546218487395
oracle1,relative_boundary_margin,9,714,0.04346876016661628,0.4535014005602241
oracle1,boundary_gap_r1,0,709,22.090267983074753,0.9004231311706631
oracle1,boundary_gap_r1,1,710,71.84084507042253,0.8949295774647887
oracle1,boundary_gap_r1,2,713,130.58625525946704,0.8676016830294531
oracle1,boundary_gap_r1,3,714,200.5560224089636,0.8708683473389355
oracle1,boundary_gap_r1,4,722,282.9058171745152,0.8529085872576176
oracle1,boundary_gap_r1,5,706,379.8583569405099,0.8212464589235127
oracle1,boundary_gap_r1,6,715,500.83216783216784,0.7851748251748253
oracle1,boundary_gap_r1,7,719,675.3421418636996,0.7680111265646731
oracle1,boundary_gap_r1,8,714,959.187675070028,0.6887955182072829
oracle1,boundary_gap_r1,9,714,1851.6134453781513,0.45770308123249304
oracle1,boundary_gap_r2,0,714,287.890756302521,0.9431372549019609
oracle1,boundary_gap_r2,1,713,532.3338008415147,0.909116409537167
oracle1,boundary_gap_r2,2,712,724.0814606741573,0.9073033707865169
oracle1,boundary_gap_r2,3,713,913.7601683029453,0.8678821879382889
oracle1,boundary_gap_r2,4,715,1112.8895104895105,0.8439160839160839
oracle1,boundary_gap_r2,5,715,1333.8419580419582,0.813986013986014
oracle1,boundary_gap_r2,6,713,1595.9733520336606,0.7747545582047687
oracle1,boundary_gap_r2,7,713,1933.391304347826,0.7251051893408135
oracle1,boundary_gap_r2,8,713,2445.65778401122,0.6479663394109397
oracle1,boundary_gap_r2,9,715,4030.0013986013987,0.47384615384615386
oracle1,boundary_gap_r5,0,714,1517.3809523809523,0.9338935574229693
oracle1,boundary_gap_r5,1,713,2398.0028050490882,0.9004207573632539
oracle1,boundary_gap_r5,2,714,2933.607843137255,0.8691876750700279
oracle1,boundary_gap_r5,3,712,3410.5941011235955,0.8533707865168539
oracle1,boundary_gap_r5,4,715,3910.993006993007,0.8134265734265734
oracle1,boundary_gap_r5,5,713,4431.542776998597,0.8053295932678821
oracle1,boundary_gap_r5,6,714,5041.375350140056,0.7697478991596637
oracle1,boundary_gap_r5,7,713,5811.262272089762,0.7208976157082749
oracle1,boundary_gap_r5,8,714,6951.6596638655465,0.6787114845938376
oracle1,boundary_gap_r5,9,714,10756.281512605043,0.561624649859944
oracle1,local_distance_concentration,0,714,0.17415372972316293,0.8980392156862745
oracle1,local_distance_concentration,1,713,0.23249673957889125,0.8530154277699861
oracle1,local_distance_concentration,2,714,0.275093510600203,0.8280112044817927
oracle1,local_distance_concentration,3,713,0.3206459961303918,0.8078541374474053
oracle1,local_distance_concentration,4,714,0.3705724715693567,0.8022408963585433
oracle1,local_distance_concentration,5,714,0.43161837960193383,0.7890756302521007
oracle1,local_distance_concentration,6,713,0.5188151899160848,0.7677419354838709
oracle1,local_distance_concentration,7,713,0.6972444818954177,0.77054698457223
oracle1,local_distance_concentration,8,714,1.1891630546985006,0.7196078431372548
oracle1,local_distance_concentration,9,714,4.465484545137179,0.6703081232492998
oracle1,candidate_count,0,713,529.6115007012622,0.7764375876577839
oracle1,candidate_count,1,713,723.0280504908836,0.7798036465638148
oracle1,candidate_count,2,711,842.7834036568214,0.7780590717299579
oracle1,candidate_count,3,714,928.9397759103641,0.7868347338935574
oracle1,candidate_count,4,706,996.114730878187,0.7878186968838526
oracle1,candidate_count,5,716,1054.06843575419,0.790782122905028
oracle1,candidate_count,6,708,1105.5579096045199,0.7903954802259887
oracle1,candidate_count,7,719,1155.4158553546592,0.8002781641168287
oracle1,candidate_count,8,715,1209.758041958042,0.7972027972027972
oracle1,candidate_count,9,721,1310.5617198335644,0.8183079056865464
oracle1,oracle_recall,0,7136,1.0,0.7906390134529148
