model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R0-I1,oracle1,g9_12_pq,0,1427,10.68798828125,619.734375,399.7397419021275,0.1672740014015417,0.9236159775753329
R0-I1,oracle1,g9_12_pq,1,1427,620.0625,996.11328125,808.6775800548572,0.1324456902592852,0.8829712683952348
R0-I1,oracle1,g9_12_pq,2,1428,996.6953125,1441.19921875,1205.6312072924873,0.113515406162465,0.8284313725490197
R0-I1,oracle1,g9_12_pq,3,1426,1441.5390625,2124.1875,1756.5534596061973,0.09291725105189341,0.7391304347826086
R0-I1,oracle1,g9_12_pq,4,1428,2125.73046875,14939.49609375,3201.5167838131347,0.06428571428571428,0.5560224089635855
R0-I1,oracle1,relative_g10_11_pq,0,1427,0.0,0.002157237135437407,0.000977138144625513,0.14211632796075685,0.8948843728100911
R0-I1,oracle1,relative_g10_11_pq,1,1427,0.0021577489794514983,0.00517565156871304,0.0035897266398778657,0.1358093903293623,0.8661527680448493
R0-I1,oracle1,relative_g10_11_pq,2,1428,0.0051788690079445044,0.009583363768000567,0.0072659283829122545,0.11897759103641455,0.8319327731092437
R0-I1,oracle1,relative_g10_11_pq,3,1426,0.009590878852153595,0.017460927773547363,0.01317009885918279,0.10189340813464236,0.761570827489481
R0-I1,oracle1,relative_g10_11_pq,4,1428,0.017478662175566175,0.21691528677169816,0.03243377221126491,0.07163865546218487,0.5756302521008403
R0-I1,oracle1,relative_g9_12_pq,0,1427,0.0008755790424431568,0.01487166359705406,0.010030604930531675,0.16580238262088298,0.9376313945339874
R0-I1,oracle1,relative_g9_12_pq,1,1427,0.014874176072328726,0.023268524389827003,0.0189954378714078,0.13370707778556412,0.8815697266993693
R0-I1,oracle1,relative_g9_12_pq,2,1428,0.02327132509054577,0.03265511244207699,0.027747115316335197,0.11197478991596638,0.819327731092437
R0-I1,oracle1,relative_g9_12_pq,3,1426,0.032660359243137975,0.04700248520608664,0.03911877023493343,0.09312762973352035,0.7356241234221599
R0-I1,oracle1,relative_g9_12_pq,4,1428,0.047003159786906216,0.4464445346285362,0.07423405800960488,0.06582633053221289,0.5560224089635855
R0-I1,oracle1,count_1pct,0,1259,1.0,1.0,1.0,0.07180301826846704,0.5917394757744241
R0-I1,oracle1,count_1pct,1,1935,2.0,2.0,2.0,0.09679586563307496,0.7395348837209302
R0-I1,oracle1,count_1pct,2,1735,3.0,3.0,3.0,0.1162536023054755,0.8253602305475505
R0-I1,oracle1,count_1pct,3,2207,4.0,10.0,4.763932940643407,0.15165382872677846,0.9066606252831898
R0-I1,oracle1,count_2pct,0,1021,1.0,2.0,1.7365328109696376,0.06297747306562194,0.5416258570029383
R0-I1,oracle1,count_2pct,1,1149,3.0,3.0,3.0,0.08476936466492603,0.6814621409921671
