model,observed_replacement_pairs,observed_pair_mean_exact_margin,observed_pair_mean_error_difference,same_pair_shuffled_mean_error_difference,same_pair_null_inversion_fraction,shuffled_selected_pair_count_mean,shuffled_selected_pair_mean_error_difference,shuffled_selected_pair_mean_exact_margin
R0-I1,21787,1410.3775187038143,2802.2711429624837,5.041419771750983,0.28865378436682426,34413.62,3911.461483891461,1965.5066470775234
R1-I1,24063,1465.6070730997797,2908.3468575297866,1.5350889643648638,0.28486971699289365,36935.16,4015.5863735222288,2019.604372094232
R2-I1,23556,1461.3565970453387,2910.871372056424,-3.2914007284378504,0.28557819663779926,37007.08,4022.8248417470786,2025.267898466996
R3-I1,23580,1463.0420695504665,2877.151354245355,-3.9640002613277936,0.28438592027141646,36704.92,4002.737061424333,2012.564771153295
R4-I1,23565,1462.57772119669,2892.337015303416,1.0434455257151098,0.2863373647358371,36862.96,4023.7725131237,2021.1877852456776
