ef,total_loss_increase_384_minus_768,discovery_loss_increase_384_minus_768,ranking_loss_increase_384_minus_768
32,0.04437999999999999,-0.00052,0.044899999999999995
64,0.05184999999999998,-0.0007200000000000002,0.05257
128,0.05700999999999999,0.0005099999999999998,0.0565
