relation,metric,pairs,mean,median,p90,p95,p99,min,max,std
within,harmful_jaccard,9,0.669597584022442,0.6683565196887526,0.677131995061484,0.6772910213176117,0.6774182423225138,0.6613931523022432,0.6774500475737393,0.005192816284113916
within,loss_spearman,9,0.41410613599539126,0.4128246561257608,0.42310611121048136,0.4260863864205997,0.4284706065886944,0.4036581006170208,0.42906666163071805,0.008539683510963422
within,inversion_spearman,9,0.44862348784446393,0.44763601522495283,0.4552998339326372,0.45827177045804046,0.4606493196783631,0.4413377921193602,0.46124370698344375,0.005833553798491534
within,inversion_pair_jaccard,9,0.15969168856306457,0.15870669553630912,0.16302881579468662,0.16315272828884675,0.16325185828417488,0.15434522087689573,0.1632766407830069,0.003153096083018618
between,harmful_jaccard,27,0.6607005801814874,0.6605989430416911,0.6664474370660333,0.6677672170731919,0.6690986807891649,0.6528857479387514,0.6694955209806694,0.004137117191627361
between,loss_spearman,27,0.3927024197723159,0.39312971022155235,0.40150508496585396,0.4027527036690582,0.4139243033665196,0.38048203275800246,0.41768682988302525,0.008530942328283045
between,inversion_spearman,27,0.417654964794642,0.4167374212359595,0.43121541894786736,0.43251122306365264,0.43314178606194936,0.40763507669495314,0.4333257647323671,0.007321867321880228
between,inversion_pair_jaccard,27,0.1433797478015072,0.14263564299503018,0.14675422134505492,0.14734361197703177,0.1489467674121623,0.14031731742995388,0.1494770331247011,0.002320678084843629
