workers,throughput_penalty,mean_latency_overhead,p95_latency_overhead,p99_latency_overhead,p99_ratio,throughput_target_pass
1,0.07039760090506497,0.07584430636207418,0.08500004830515495,0.08832876958315228,1.0883287695831523,True
2,0.07605443741999418,0.08137619650431982,0.09504452442088063,0.10031617238927537,1.1003161723892754,True
4,0.08049770431152581,0.08504675502474646,0.09966179907885309,0.10534192797704356,1.1053419279770436,True
8,0.07712659817854828,0.07984368037914646,0.09439436815438063,0.10862712157838139,1.1086271215783814,True
