metric,valid_count,undefined_count,mean,std,min,max,median,p95
absolute_relative_error,10000,0,0.008617276840217415,0.004370034203216691,3.2055806968855904e-06,0.027666401118040085,0.008478545118123293,0.016074400208890435
reconstruction_l2,10000,0,0.08872676330506801,0.003928773129705622,0.0773204118013382,0.11003351956605911,0.0882900170981884,0.09582435861229895
order_inversion,10000,0,0.0254,0.15734457642884664,0.0,1.0,0.0,0.0
adc_reference_error,10000,0,6.449341773986816e-07,4.841507013067203e-07,0.0,2.9802322387695312e-06,5.960464477539062e-07,1.5497207641601562e-06
