stage,ef,workers,throughput_penalty,mean_latency_overhead,p95_latency_overhead,p99_latency_overhead,additional_vector_payload_bytes_per_query
concurrent,64,1,0.021027719858404792,0.021877996302707148,0.028338265948978814,0.029460689079499724,98304
concurrent,64,8,0.020195146542561382,0.01942784585324131,0.020699390005950224,0.02365608892301352,98304
single,32,1,0.03205620347842064,0.03316672092414841,0.041724484927874395,0.03529142231682769,98304
single,64,1,0.017794517391252707,0.018131667453602285,0.01991152628082271,0.019159531084046,98304
single,128,1,0.007059216733258933,0.007111248390965441,0.00560865056396076,0.005194548345656136,98304
