model,scope,queries,metric,observed,null_mean,null_std,null_median,null_p05,null_p95,observed_minus_null,null_over_observed
R0-I1,all,10000,recall,0.8536400000000002,0.8161197999999797,0.0007151351805990843,0.8162649999999794,0.8149579999999795,0.8171319999999817,0.03752020000002043,0.9560468113021644
R0-I1,all,10000,loss,0.09951,0.13703020000000116,0.0007151351805989776,0.13688500000000142,0.1360180000000016,0.13819200000000104,-0.037520200000001155,1.3770495427595333
R0-I1,all,10000,inversions,5.5562,9.65486,0.08249570922670064,9.662500000000001,9.543935,9.777605,-4.09866,1.737673229905331
R0-I1,all,10000,harmful_fraction,0.7001,0.81844,0.0027752550903163,0.8183,0.81388,0.82322,-0.11834,1.1690329952863876
R0-I1,oracle1,7136,recall,0.885916479820628,0.8447076793721936,0.0008727856249283186,0.8446959080717444,0.8431754484304879,0.8460538116591891,0.041208800448434446,0.9534845536942963
R0-I1,oracle1,7136,loss,0.1140835201793722,0.15529232062781037,0.0008727856249278988,0.15530409192825867,0.15394618834081517,0.1568245515695138,-0.041208800448438165,1.361216066822325
R0-I1,oracle1,7136,inversions,5.039237668161435,9.199674887892376,0.08744656148046226,9.200462443946188,9.055542320627803,9.331257006726458,-4.160437219730942,1.8256084538375974
R0-I1,oracle1,7136,harmful_fraction,0.7860145739910314,0.8914125560538116,0.0028630478109384428,0.8918161434977578,0.8869744955156951,0.8959711322869955,-0.10539798206278028,1.1340916384382242
R1-I1,all,10000,recall,0.84552,0.8102575999999815,0.0006816084219078768,0.8102199999999794,0.8092204999999808,0.8111384999999808,0.03526240000001857,0.958295013719346
R1-I1,all,10000,loss,0.10763000000000002,0.14289239999999992,0.000681608421908217,0.1429299999999999,0.14201149999999987,0.1439294999999996,-0.0352623999999999,1.3276261265446427
R1-I1,all,10000,inversions,6.2528,10.262332,0.0851325076164283,10.25435,10.13474,10.40049,-4.009532000000001,1.6412378454452408
R1-I1,all,10000,harmful_fraction,0.7337,0.8359719999999998,0.0031490873313403268,0.8358,0.82969,0.841555,-0.10227199999999981,1.1393921221207575
R1-I1,oracle1,7136,recall,0.877298206278027,0.8400372757847504,0.0008058545355418206,0.840099495515692,0.8386322869955136,0.8411554091928217,0.03726093049327661,0.9575276340169923
R1-I1,oracle1,7136,loss,0.1227017937219731,0.1599627242152532,0.0008058545355420668,0.1599005044843111,0.15884459080718172,0.16136771300449088,-0.03726093049328011,1.303670625856609
R1-I1,oracle1,7136,inversions,5.737107623318385,9.543349215246636,0.08261108287150261,9.54070908071749,9.414328755605382,9.68728979820628,-3.8062415919282504,1.6634425989252564
R1-I1,oracle1,7136,harmful_fraction,0.8132006726457399,0.900479260089686,0.002847052421041314,0.9005745515695067,0.8958590246636772,0.9049887892376681,-0.08727858744394612,1.107327244528692
R2-I1,all,10000,recall,0.8477800000000001,0.8101919999999816,0.0007656369897014929,0.8101899999999819,0.8090484999999825,0.8111054999999804,0.037588000000018496,0.9556630257849695
R2-I1,all,10000,loss,0.10537,0.14295799999999995,0.0007656369897019748,0.1429599999999997,0.14204450000000013,0.14410150000000033,-0.03758799999999994,1.3567239252159053
R2-I1,all,10000,inversions,6.1024,10.288268,0.07824846465208236,10.2778,10.17695,10.421705,-4.185868,1.6859379916098585
R2-I1,all,10000,harmful_fraction,0.7246,0.835792,0.0035913637907556894,0.83595,0.8298,0.8414,-0.11119199999999996,1.1534529395528568
R2-I1,oracle1,7136,recall,0.880633408071749,0.8400885650224188,0.0009082286761053823,0.8401905829596392,0.8387191704035847,0.8413558015695014,0.04054484304933015,0.9539594538684287
R2-I1,oracle1,7136,loss,0.11936659192825114,0.15991143497758503,0.0009082286761057875,0.1598094170403657,0.15864419843049943,0.16128082959641873,-0.040544843049333895,1.3396665884010879
R2-I1,oracle1,7136,inversions,5.4964966367713,9.57017096412556,0.08709890928672764,9.559276905829595,9.451730661434977,9.719485706278027,-4.073674327354261,1.741140147362517
R2-I1,oracle1,7136,harmful_fraction,0.8022701793721974,0.8999271300448431,0.0035748338060690083,0.8999439461883408,0.8936729260089686,0.9050658632286995,-0.09765695067264579,1.1217257641921399
R3-I1,all,10000,recall,0.8472600000000002,0.8109655999999815,0.0007296746828945868,0.8108999999999784,0.809551999999985,0.8119429999999827,0.03629440000001871,0.9571626183225708
R3-I1,all,10000,loss,0.10589000000000001,0.14218440000000013,0.0007296746828943152,0.14224999999999977,0.1412070000000001,0.14359800000000028,-0.036294400000000115,1.342755689866844
R3-I1,all,10000,inversions,6.0736,10.196206,0.07183127171308017,10.21235,10.076765,10.29528,-4.122606,1.6787746970495259
