policy,workers,speedup,parallel_efficiency
NATIVE,1,1.0,1.0
BOUNDED_ALL16,1,1.0,1.0
NATIVE,2,1.943763038916072,0.971881519458036
BOUNDED_ALL16,2,1.9319348102608798,0.9659674051304399
NATIVE,4,3.7715528821251416,0.9428882205312854
BOUNDED_ALL16,4,3.7305750682237506,0.9326437670559377
NATIVE,8,7.381789218040499,0.9227236522550624
BOUNDED_ALL16,8,7.3283555784866605,0.9160444473108326
