ef_search,query_count,mean_recall_exact_native,mean_recall_pq_native,mean_recall_exact_L0_oracle,mean_recall_pq_L0_oracle,rerank_recovery,mean_exact_L0_candidate_coverage,mean_pq_L0_candidate_coverage,mean_exact_L0_distance_evaluations,mean_pq_L0_distance_evaluations,mean_evaluated_L0_jaccard,max_abs_delta_exact_control,exact_oracle_coverage_tie_mismatch_count,pq_oracle_coverage_tie_mismatch_count,mean_delta_total,median_delta_total,p90_delta_total,p95_delta_total,p99_delta_total,mean_delta_discovery,median_delta_discovery,p90_delta_discovery,p95_delta_discovery,p99_delta_discovery,mean_delta_ranking,median_delta_ranking,p90_delta_ranking,p95_delta_ranking,p99_delta_ranking,fraction_delta_discovery_positive,fraction_delta_discovery_ge_0p1,fraction_delta_discovery_ge_0p2,fraction_delta_discovery_zero,fraction_delta_discovery_negative,positive_loss_query_fraction_for_50pct,positive_loss_query_fraction_for_80pct,positive_loss_query_fraction_for_90pct
32,10000,0.8862899999999999,0.80964,0.8862899999999999,0.88402,0.9703848662752788,0.8865799999999999,0.8843,590.8594,590.9656,0.7822316680859304,0,29,28,0.07665,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30100000000002186,0.0022700000000000003,0.0,0.09999999999999998,0.10000000000000009,0.30000000000000004,0.07438,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.1182,0.1182,0.0364,0.7761,0.1057,0.2817258883248731,0.7021996615905245,0.8510998307952623
64,10000,0.95319,0.85245,0.95319,0.952,0.9881874131427435,0.95365,0.95249,1035.3047,1034.3205,0.8246442464047113,0,46,49,0.10073999999999998,0.09999999999999998,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.0011899999999999999,0.0,0.0,0.09999999999999998,0.19999999999999996,0.09954999999999999,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.0639,0.0639,0.0125,0.8808,0.0553,0.37715179968701096,0.7511737089201878,0.8763693270735524
128,10000,0.9837899999999999,0.86867,0.9837899999999999,0.98287,0.9920083391243926,0.98434,0.98351,1852.9794,1852.0015,0.8512831858040952,0,55,64,0.11511999999999999,0.09999999999999998,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.0009199999999999999,0.0,0.0,0.0,0.09999999999999998,0.11419999999999998,0.09999999999999998,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.0295,0.0295,0.0035,0.9494,0.0211,0.4406779661016949,0.7762711864406779,0.888135593220339
