policy,workers,replicate,worker,cpu,tid,queries,cpu_seconds,end_offset_us,start_lag_us,visited_TLS_address,omp_max_threads
BOUNDED_ALL16,8,2,3,5,69,7128,1.3395080630000002,1342373.15,7.356,140153080346040,1
BOUNDED_ALL16,8,2,4,6,70,7124,1.340983707,1343852.734,5.478,140153046775224,1
BOUNDED_ALL16,8,2,5,7,71,7124,1.325295839,1328803.557,7.128,140152970147256,1
BOUNDED_ALL16,8,2,6,8,72,7124,1.345554751,1348437.2,5.222,140152961754552,1
BOUNDED_ALL16,8,2,7,9,73,7124,1.3437601449999999,1346824.029,7.271,140152953361848,1
BOUNDED_ALL16,8,3,0,2,99,7128,1.341728452,1344479.935,7.836,140153063560632,1
BOUNDED_ALL16,8,3,1,3,100,7128,1.343440403,1346134.179,7.054,140153055167928,1
BOUNDED_ALL16,8,3,2,4,101,7128,1.357656867,1360648.486,5.787,140153071953336,1
BOUNDED_ALL16,8,3,3,5,102,7128,1.3429792299999999,1345767.258,7.93,140153080346040,1
BOUNDED_ALL16,8,3,4,6,103,7124,1.339028599,1341799.75,7.558,140153046775224,1
BOUNDED_ALL16,8,3,5,7,104,7124,1.3370020560000002,1340316.481,7.196,140152970147256,1
BOUNDED_ALL16,8,3,6,8,105,7124,1.3422893329999999,1345007.662,5.819,140152961754552,1
BOUNDED_ALL16,8,3,7,9,106,7124,1.339044793,1341976.239,7.611,140152953361848,1
BOUNDED_ALL16,8,4,0,2,134,7128,1.3490375769999998,1351762.236,7.232,140153071953336,1
BOUNDED_ALL16,8,4,1,3,135,7128,1.3577508010000001,1360463.379,7.071,140153080346040,1
BOUNDED_ALL16,8,4,2,4,136,7128,1.368751642,1371745.842,5.738,140153063560632,1
BOUNDED_ALL16,8,4,3,5,137,7128,1.348711467,1351493.901,7.95,140153055167928,1
BOUNDED_ALL16,8,4,4,6,138,7124,1.3457905250000002,1348592.875,8.219,140153046775224,1
BOUNDED_ALL16,8,4,5,7,139,7124,1.336797661,1340211.716,7.64,140152970147256,1
BOUNDED_ALL16,8,4,6,8,140,7124,1.356703746,1359395.918,0.949,140152961754552,1
BOUNDED_ALL16,8,4,7,9,141,7124,1.335207391,1338125.331,7.904,140152953361848,1
NATIVE,1,0,0,2,17,57008,9.280456767999999,9298323.214,6.304,140153080346040,1
NATIVE,1,1,0,2,36,57008,9.311069086,9329768.672,6.437,140153055167928,1
NATIVE,1,2,0,2,74,57008,9.333097101,9351642.146,6.307,140152953361848,1
NATIVE,1,3,0,2,98,57008,9.285588038,9302924.742,6.561,140153063560632,1
NATIVE,1,4,0,2,130,57008,9.286683286999999,9304119.985,7.203,140153080346040,1
NATIVE,2,0,0,2,18,28504,4.782253921,4790390.599,0.994,140153080346040,1
NATIVE,2,0,1,3,19,28504,4.763760427,4772086.887,6.446,140153071953336,1
NATIVE,2,1,0,2,37,28504,4.789316233,4797729.398,5.28,140153055167928,1
NATIVE,2,1,1,3,38,28504,4.7801995139999995,4788717.732,6.166,140153063560632,1
NATIVE,2,2,0,2,78,28504,4.781965451,4790072.951,5.898,140152961754552,1
NATIVE,2,2,1,3,79,28504,4.778109504,4786438.397,7.035,140152953361848,1
NATIVE,2,3,0,2,96,28504,4.774517045,4782797.999,5.168,140153055167928,1
NATIVE,2,3,1,3,97,28504,4.769231992,4777564.883,5.703,140153063560632,1
NATIVE,2,4,0,2,142,28504,4.797871183,4806274.562,5.627,140152953361848,1
NATIVE,2,4,1,3,143,28504,4.777377372,4785904.493,6.2,140152961754552,1
NATIVE,4,0,0,2,13,14252,2.449201878,2453387.603,6.058,140153063560632,1
NATIVE,4,0,1,3,14,14252,2.436729239,2440888.714,6.041,140153055167928,1
NATIVE,4,0,2,4,15,14252,2.4689227760000003,2473621.023,5.044,140153071953336,1
NATIVE,4,0,3,5,16,14252,2.4411018650000003,2445836.431,6.367,140153080346040,1
NATIVE,4,1,0,2,39,14252,2.441046711,2445487.571,5.689,140153063560632,1
NATIVE,4,1,1,3,40,14252,2.428880328,2433270.505,5.754,140153055167928,1
NATIVE,4,1,2,4,41,14252,2.458124415,2462862.682,5.73,140153071953336,1
NATIVE,4,1,3,5,42,14252,2.432130035,2436828.043,6.605,140153080346040,1
NATIVE,4,2,0,2,92,14252,2.4451759379999998,2449590.003,1.414,140153080346040,1
NATIVE,4,2,1,3,93,14252,2.4291874570000003,2433554.256,4.134,140153071953336,1
NATIVE,4,2,2,4,94,14252,2.461838116,2466850.475,5.84,140153063560632,1
NATIVE,4,2,3,5,95,14252,2.4302468370000003,2434664.521,7.143,140153055167928,1
NATIVE,4,3,0,2,107,14252,2.449963405,2454287.976,13.969,140152953361848,1
NATIVE,4,3,1,3,108,14252,2.436830056,2441050.77,13.837,140152961754552,1
NATIVE,4,3,2,4,109,14252,2.471824423,2476924.886,11.264,140152970147256,1
NATIVE,4,3,3,5,110,14252,2.440726616,2445070.874,14.91,140153046775224,1
NATIVE,4,4,0,2,144,14252,2.448563256,2452973.3,5.764,140152961754552,1
NATIVE,4,4,1,3,145,14252,2.435797657,2440152.836,0.928,140152953361848,1
NATIVE,4,4,2,4,146,14252,2.466708981,2471880.244,3.662,140152970147256,1
NATIVE,4,4,3,5,147,14252,2.4383191140000005,2443051.403,6.618,140153046775224,1
NATIVE,8,0,0,2,20,7128,1.248313679,1250782.104,6.323,140153071953336,1
NATIVE,8,0,1,3,21,7128,1.243636366,1246065.429,8.762,140153080346040,1
NATIVE,8,0,2,4,22,7128,1.260560803,1263266.347,6.811,140153055167928,1
NATIVE,8,0,3,5,23,7128,1.2470347480000001,1249556.043,7.942,140153063560632,1
NATIVE,8,0,4,6,24,7124,1.247343771,1250068.923,6.392,140153046775224,1
NATIVE,8,0,5,7,25,7124,1.237597455,1240595.263,8.228,140152970147256,1
NATIVE,8,0,6,8,26,7124,1.245799603,1248224.117,8.983,140152961754552,1
NATIVE,8,0,7,9,27,7124,1.242733999,1245188.181,8.413,140152953361848,1
NATIVE,8,1,0,2,43,7128,1.249616587,1252220.979,6.391,140153080346040,1
NATIVE,8,1,1,3,44,7128,1.2440915860000001,1246660.214,6.04,140153071953336,1
NATIVE,8,1,2,4,45,7128,1.2582676670000001,1261133.186,6.571,140153055167928,1
NATIVE,8,1,3,5,46,7128,1.248708706,1251316.3,6.976,140153063560632,1
NATIVE,8,1,4,6,47,7124,1.246919908,1249503.499,6.725,140153046775224,1
NATIVE,8,1,5,7,48,7124,1.2368479929999998,1240092.284,6.065,140152970147256,1
NATIVE,8,1,6,8,49,7124,1.247138651,1249711.924,5.154,140152961754552,1
NATIVE,8,1,7,9,50,7124,1.242872476,1245560.63,6.588,140152953361848,1
NATIVE,8,2,0,2,80,7128,1.247303258,1249823.519,7.309,140152953361848,1
NATIVE,8,2,1,3,81,7128,1.244877281,1247408.837,6.915,140152961754552,1
NATIVE,8,2,2,4,82,7128,1.260241178,1263083.034,5.695,140152970147256,1
NATIVE,8,2,3,5,83,7128,1.247902431,1250433.724,7.891,140153046775224,1
NATIVE,8,2,4,6,84,7124,1.2483382920000001,1250902.822,7.616,140153080346040,1
NATIVE,8,2,5,7,85,7124,1.240072031,1243276.722,7.142,140153071953336,1
NATIVE,8,2,6,8,86,7124,1.245656393,1248169.618,6.87,140153063560632,1
NATIVE,8,2,7,9,87,7124,1.245556525,1248149.135,7.159,140153055167928,1
NATIVE,8,3,0,2,118,7128,1.249455305,1251916.981,8.527,140152953361848,1
NATIVE,8,3,1,3,119,7128,1.24719969,1249619.735,7.493,140152961754552,1
NATIVE,8,3,2,4,120,7128,1.259095606,1261986.269,5.97,140153046775224,1
NATIVE,8,3,3,5,121,7128,1.247383396,1249874.094,8.206,140152970147256,1
NATIVE,8,3,4,6,122,7124,1.247697439,1250217.39,7.953,140153080346040,1
NATIVE,8,3,5,7,123,7124,1.2412478789999999,1244275.947,7.572,140153071953336,1
NATIVE,8,3,6,8,124,7124,1.2452646980000002,1247700.562,7.464,140153063560632,1
NATIVE,8,3,7,9,125,7124,1.242453826,1244919.75,7.719,140153055167928,1
NATIVE,8,4,0,2,148,7128,1.248222221,1250778.224,5.829,140153046775224,1
NATIVE,8,4,1,3,149,7128,1.2425201360000002,1245053.11,5.593,140152970147256,1
NATIVE,8,4,2,4,150,7128,1.258825416,1261545.422,6.43,140152953361848,1
NATIVE,8,4,3,5,151,7128,1.246944326,1249512.387,6.323,140152961754552,1
NATIVE,8,4,4,6,152,7124,1.247240216,1249803.6,5.709,140153080346040,1
NATIVE,8,4,5,7,153,7124,1.241077715,1244334.003,6.601,140153071953336,1
NATIVE,8,4,6,8,154,7124,1.2422064700000002,1244760.482,4.924,140153063560632,1
NATIVE,8,4,7,9,155,7124,1.241490474,1244149.58,6.988,140153055167928,1
