scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,dk_plus_1,harmful_rotation_frequency,0,1000,18663.426,0.8807999999999999
all,dk_plus_1,harmful_rotation_frequency,1,1000,31622.377,0.8302
all,dk_plus_1,harmful_rotation_frequency,2,1000,38749.061,0.8194000000000001
all,dk_plus_1,harmful_rotation_frequency,3,1000,44313.178,0.8004000000000001
all,dk_plus_1,harmful_rotation_frequency,4,1000,49454.723,0.7996
all,dk_plus_1,harmful_rotation_frequency,5,1000,54164.113,0.766
all,dk_plus_1,harmful_rotation_frequency,6,1000,58715.017,0.7343999999999999
all,dk_plus_1,harmful_rotation_frequency,7,1000,63847.908,0.7075999999999999
all,dk_plus_1,harmful_rotation_frequency,8,999,70285.67367367368,0.6912912912912913
all,dk_plus_1,harmful_rotation_frequency,9,1001,82702.17282717282,0.5994005994005994
all,dk_plus_1,within_rotation_initialization_variance,0,1000,18663.426,0.003326666666666667
all,dk_plus_1,within_rotation_initialization_variance,1,1000,31622.377,0.003027555555555556
all,dk_plus_1,within_rotation_initialization_variance,2,1000,38749.061,0.0029644444444444445
all,dk_plus_1,within_rotation_initialization_variance,3,1000,44313.178,0.0029404444444444447
all,dk_plus_1,within_rotation_initialization_variance,4,1000,49454.723,0.0029519999999999998
all,dk_plus_1,within_rotation_initialization_variance,5,1000,54164.113,0.0029217777777777783
all,dk_plus_1,within_rotation_initialization_variance,6,1000,58715.017,0.002738666666666667
all,dk_plus_1,within_rotation_initialization_variance,7,1000,63847.908,0.002748
all,dk_plus_1,within_rotation_initialization_variance,8,999,70285.67367367368,0.0026684462240017803
all,dk_plus_1,within_rotation_initialization_variance,9,1001,82702.17282717282,0.002382062382062382
all,dk_plus_1,between_rotation_variance,0,1000,18663.426,0.0016924444444444443
all,dk_plus_1,between_rotation_variance,1,1000,31622.377,0.001439911111111111
all,dk_plus_1,between_rotation_variance,2,1000,38749.061,0.0014047111111111113
all,dk_plus_1,between_rotation_variance,3,1000,44313.178,0.0014923555555555557
all,dk_plus_1,between_rotation_variance,4,1000,49454.723,0.0015017777777777779
all,dk_plus_1,between_rotation_variance,5,1000,54164.113,0.0014980444444444446
all,dk_plus_1,between_rotation_variance,6,1000,58715.017,0.0013518222222222223
all,dk_plus_1,between_rotation_variance,7,1000,63847.908,0.0013477333333333336
all,dk_plus_1,between_rotation_variance,8,999,70285.67367367368,0.0013805805805805807
all,dk_plus_1,between_rotation_variance,9,1001,82702.17282717282,0.0012206460206460206
all,d20,overall_mean_loss,0,1000,20494.517,0.1363933333333333
all,d20,overall_mean_loss,1,1000,34074.952,0.11756000000000001
all,d20,overall_mean_loss,2,1000,41462.541,0.11228666666666667
all,d20,overall_mean_loss,3,1000,47206.387,0.10852666666666667
