diagnostic,members,model_count,fixed_candidate_recall,member_mean_fixed_candidate_recall,ranking_recall_loss,member_mean_ranking_recall_loss,cross_boundary_inversion_count,member_mean_cross_boundary_inversion_count,fraction_member_loss_recovered
rotation_I1,"R0-I1,R1-I1,R2-I1,R3-I1,R4-I1",5,0.9057400000000001,0.848168,0.04741,0.10498199999999999,1.5996,6.01094,0.5483987731230116
init_R0,"R0-I1,R0-I2,R0-I3",3,0.8858800000000001,0.8529033333333335,0.06727000000000001,0.10024666666666666,2.8399,5.568533333333334,0.32895524373212726
init_R1,"R1-I1,R1-I2,R1-I3",3,0.8850000000000002,0.8462833333333335,0.06815,0.10686666666666667,2.8878,6.194500000000001,0.3622894572676232
init_R2,"R2-I1,R2-I2,R2-I3",3,0.8851800000000001,0.8471466666666668,0.06797,0.10600333333333334,2.9063,6.160266666666668,0.35879374862425706
init_R3,"R3-I1,R3-I2,R3-I3",3,0.8844200000000001,0.8469400000000001,0.06873,0.10621000000000003,2.876,6.1122000000000005,0.3528857922982772
init_R4,"R4-I1,R4-I2,R4-I3",3,0.88492,0.8472666666666667,0.06823,0.10588333333333333,2.8302,6.061933333333333,0.3556115221155359
