scope,category,queries,fraction,signed_loss_sum,positive_loss_sum,fraction_scope_signed_loss,mean_oracle_recall
all,Robust,1103,0.1103,119.79999999999997,119.79999999999767,0.013253825133589211,0.8314596554850409
all,Model-specific,1953,0.1953,919.199999999991,919.2000000001241,0.10169379017358168,0.9261648745519714
all,Usually harmful,4503,0.4503,4303.899999999988,4303.899999998479,0.476153071723326,0.9735287586053742
all,Universally harmful,2441,0.2441,3695.9999999999973,3695.9999999989686,0.40889931296949666,0.992134371159361
all,subset-persistent,5676,0.5676,7013.099999999992,7013.100000001464,0.7758798083837597,0.9827519379844962
all,not-subset-persistent,4324,0.4324,2025.7999999999904,2025.7999999995277,0.2241201916162346,0.9142923219241444
oracle1,Robust,306,0.04288116591928251,39.500000000000114,39.50000000000028,0.005338559264765507,1.0
oracle1,Model-specific,1014,0.14209641255605382,490.100000000001,490.1000000000315,0.06623868090282461,1.0
oracle1,Usually harmful,3547,0.49705717488789236,3427.3000000000015,3427.2999999986373,0.46321124476280445,1.0
oracle1,Universally harmful,2269,0.3179652466367713,3442.0999999999967,3442.099999999114,0.465211515069602,1.0
oracle1,subset-persistent,4851,0.679792600896861,6113.4000000000115,6113.400000000489,0.82624679010677,1.0
oracle1,not-subset-persistent,2285,0.320207399103139,1285.6000000000017,1285.5999999999815,0.17375320989322848,1.0
