policy,replicate,component,mean_us,fraction_of_total
NATIVE,0,t_search,161.27709191692395,0.9984962922980326
NATIVE,0,t_gap,0.014736598372158299,9.123700496326468e-05
NATIVE,0,t_refine,0.016347810833567223,0.0001012123191861297
NATIVE,0,t_final_selection,0.21179441481897276,0.001311258377817911
NATIVE,1,t_search,161.89646561886053,0.9985094193975419
NATIVE,1,t_gap,0.01521119842829077,9.381628470340117e-05
NATIVE,1,t_refine,0.016309079427448782,0.00010058755370452722
NATIVE,1,t_final_selection,0.2101596968846478,0.0012961767640504098
NATIVE,2,t_search,161.13663450743755,0.9985095610319056
NATIVE,2,t_gap,0.014752385630087012,9.141557501619326e-05
NATIVE,2,t_refine,0.01609023294976144,9.97057651643198e-05
NATIVE,2,t_final_selection,0.2096801852371597,0.0012993176279139753
NATIVE,3,t_search,162.05507100757788,0.9985145307358849
NATIVE,3,t_gap,0.015300589390962675,9.427573441984512e-05
NATIVE,3,t_refine,0.01619709514454112,9.979962217152518e-05
NATIVE,3,t_final_selection,0.20958826831321917,0.001291393907523787
NATIVE,4,t_search,161.96709584619705,0.9985007291411967
NATIVE,4,t_gap,0.015771049677238285,9.722594901002671e-05
NATIVE,4,t_refine,0.01627231265787258,0.00010031615352990101
NATIVE,4,t_final_selection,0.21115380297502107,0.0013017287562635859
NATIVE,5,t_search,161.49543664047152,0.9985220510480285
NATIVE,5,t_gap,0.01601157732248106,9.899916283177032e-05
NATIVE,5,t_refine,0.01576943586865002,9.750200857061686e-05
NATIVE,5,t_final_selection,0.2072542801010385,0.00128144778056911
NATIVE,6,t_search,161.8743583356722,0.998522269434537
NATIVE,6,t_gap,0.015764033118158858,9.72404665348187e-05
NATIVE,6,t_refine,0.015672396856581533,9.667520809108826e-05
NATIVE,6,t_final_selection,0.20812426326129665,0.0012838148908372504
GAP,0,t_search,179.1142296519787,0.978596618479569
GAP,0,t_gap,3.0632152680325566,0.016735979652739617
GAP,0,t_refine,0.5710765506595565,0.003120095943545514
GAP,0,t_final_selection,0.28320607634016276,0.0015473059241459788
GAP,1,t_search,178.71756174571993,0.9785540746849634
GAP,1,t_gap,3.062019997193376,0.01676585174815467
GAP,1,t_refine,0.5773088689306765,0.0031610096989106344
GAP,1,t_final_selection,0.27743320235756386,0.001519063867971519
GAP,2,t_search,178.62203164468147,0.9785691033723458
GAP,2,t_gap,3.058137664889138,0.016753806936160603
GAP,2,t_refine,0.5753501262980634,0.0031520179903486495
GAP,2,t_final_selection,0.2783772803817008,0.001525071701145127
GAP,3,t_search,178.39048070446253,0.9786372440213137
GAP,3,t_gap,3.0418175694639347,0.01668719065748517
GAP,3,t_refine,0.5771774487791187,0.00316635363924057
GAP,3,t_final_selection,0.27510602020769015,0.0015092116819605097
GAP,4,t_search,178.4174516559079,0.9785566707741302
GAP,4,t_gap,3.054207690148751,0.016751249843477645
GAP,4,t_refine,0.5761110019646366,0.0031597652519222913
GAP,4,t_final_selection,0.2793824726354196,0.0015323141304698035
GAP,5,t_search,177.38264804939658,0.9785386618469984
GAP,5,t_gap,3.0530247684535508,0.016842136501854094
GAP,5,t_refine,0.5614539012068481,0.0030972835010487096
GAP,5,t_final_selection,0.275882683132192,0.0015219181500986338
GAP,6,t_search,177.66047558237443,0.9785715427428588
GAP,6,t_gap,3.058148610721302,0.016844586248689356
GAP,6,t_refine,0.5565629385349424,0.0030656039370057313
GAP,6,t_final_selection,0.2756426466460848,0.0015182670714461615
RANDOM,0,t_search,170.3926411030031,0.9903121892036154
RANDOM,0,t_gap,0.8100833567218637,0.004708157683568548
RANDOM,0,t_refine,0.5747278978388998,0.003340285349301986
RANDOM,0,t_final_selection,0.2820688324445692,0.0016393677635140895
RANDOM,1,t_search,169.17877034802132,0.990333744522944
RANDOM,1,t_gap,0.7995261717653662,0.004680242951876677
RANDOM,1,t_refine,0.5711443306202638,0.0033433480007134453
RANDOM,1,t_final_selection,0.28061647488071845,0.0016426645244658551
RANDOM,2,t_search,169.36518130788662,0.9903307943897255
RANDOM,2,t_gap,0.8015802694358686,0.00468708868533292
RANDOM,2,t_refine,0.5739635138927869,0.0033561428522362598
RANDOM,2,t_final_selection,0.2780721302273365,0.0016259740727054498
RANDOM,3,t_search,169.262217934325,0.9903331904751296
RANDOM,3,t_gap,0.7994115913555992,0.004677262542294999
RANDOM,3,t_refine,0.5741353494246421,0.003359197931465571
RANDOM,3,t_final_selection,0.27865015436429974,0.0016303490511099027
RANDOM,4,t_search,169.71249992983442,0.9903497164318366
RANDOM,4,t_gap,0.8026307184956497,0.004683715723887654
RANDOM,4,t_refine,0.5736963233230423,0.0033477792817609847
RANDOM,4,t_final_selection,0.2774056974459725,0.0016187885625147114
RANDOM,5,t_search,170.00709872298626,0.990457776990225
RANDOM,5,t_gap,0.8031604687061465,0.004679195976971048
RANDOM,5,t_refine,0.5564527083918047,0.003241881760784487
RANDOM,5,t_final_selection,0.27826143699129946,0.0016211452720194207
RANDOM,6,t_search,169.80855283468986,0.9904693190133087
RANDOM,6,t_gap,0.80248498456357,0.004680781638560134
RANDOM,6,t_refine,0.5548167274768453,0.0032361676550895216
RANDOM,6,t_final_selection,0.27666222284591635,0.0016137316930418058
ALL16,0,t_search,179.42717001122648,0.9695574716065277
