replicate_id,rho,descriptor,spearman_rho,query_count
1,0.75,distance_to_generating_center,,500
1,0.75,distance_to_nearest_center,,500
1,0.75,distance_to_second_center,,500
1,0.75,cluster_center_margin,,500
1,0.75,normalized_cluster_center_margin,,500
1,0.75,exact_nn_distance_squared,,500
1,0.75,exact_10th_distance_squared,,500
1,0.75,nn_margin_squared,,500
1,0.75,normalized_nn_margin_by_10th,,500
1,0.75,query_l2_norm,,500
1,0.9,distance_to_generating_center,,500
1,0.9,distance_to_nearest_center,,500
1,0.9,distance_to_second_center,,500
1,0.9,cluster_center_margin,,500
1,0.9,normalized_cluster_center_margin,,500
1,0.9,exact_nn_distance_squared,,500
1,0.9,exact_10th_distance_squared,,500
1,0.9,nn_margin_squared,,500
1,0.9,normalized_nn_margin_by_10th,,500
1,0.9,query_l2_norm,,500
2,0,distance_to_generating_center,0.04317737563381987,500
2,0,distance_to_nearest_center,0.04317737563381987,500
2,0,distance_to_second_center,0.04317737563381987,500
2,0,cluster_center_margin,,500
2,0,normalized_cluster_center_margin,,500
2,0,exact_nn_distance_squared,0.0041037270367823555,500
2,0,exact_10th_distance_squared,0.03595760396451707,500
2,0,nn_margin_squared,0.09742902723036909,500
2,0,normalized_nn_margin_by_10th,0.0882954783389514,500
2,0,query_l2_norm,0.04317737563381987,500
2,0.1,distance_to_generating_center,0.0609348420804526,500
2,0.1,distance_to_nearest_center,0.06463969573416085,500
2,0.1,distance_to_second_center,0.085348545320298,500
2,0.1,cluster_center_margin,0.03896572304452151,500
2,0.1,normalized_cluster_center_margin,0.03380444613597234,500
2,0.1,exact_nn_distance_squared,0.0565085795118419,500
2,0.1,exact_10th_distance_squared,0.07632643445211572,500
2,0.1,nn_margin_squared,0.05448576348404445,500
2,0.1,normalized_nn_margin_by_10th,0.030572996995919255,500
2,0.1,query_l2_norm,0.08287053676511408,500
2,0.25,distance_to_generating_center,0.04160210729295225,500
2,0.25,distance_to_nearest_center,0.041705490904688655,500
2,0.25,distance_to_second_center,-0.045193854061988004,500
2,0.25,cluster_center_margin,-0.08591699222047973,500
2,0.25,normalized_cluster_center_margin,-0.0862252671433792,500
2,0.25,exact_nn_distance_squared,-0.0325391580552292,500
2,0.25,exact_10th_distance_squared,0.039618017373357815,500
2,0.25,nn_margin_squared,0.05211117648677848,500
2,0.25,normalized_nn_margin_by_10th,0.055569108177719935,500
2,0.25,query_l2_norm,-0.043727724374581,500
2,0.5,distance_to_generating_center,,500
2,0.5,distance_to_nearest_center,,500
2,0.5,distance_to_second_center,,500
2,0.5,cluster_center_margin,,500
2,0.5,normalized_cluster_center_margin,,500
2,0.5,exact_nn_distance_squared,,500
2,0.5,exact_10th_distance_squared,,500
2,0.5,nn_margin_squared,,500
2,0.5,normalized_nn_margin_by_10th,,500
2,0.5,query_l2_norm,,500
2,0.75,distance_to_generating_center,,500
2,0.75,distance_to_nearest_center,,500
2,0.75,distance_to_second_center,,500
2,0.75,cluster_center_margin,,500
2,0.75,normalized_cluster_center_margin,,500
2,0.75,exact_nn_distance_squared,,500
2,0.75,exact_10th_distance_squared,,500
2,0.75,nn_margin_squared,,500
2,0.75,normalized_nn_margin_by_10th,,500
2,0.75,query_l2_norm,,500
2,0.9,distance_to_generating_center,0.03210048279249826,500
2,0.9,distance_to_nearest_center,0.03210048279249826,500
2,0.9,distance_to_second_center,0.03458167953008267,500
2,0.9,cluster_center_margin,0.014421956037209365,500
2,0.9,normalized_cluster_center_margin,-0.011630609707426907,500
2,0.9,exact_nn_distance_squared,-0.03830347463645928,500
2,0.9,exact_10th_distance_squared,0.040784671374043686,500
2,0.9,nn_margin_squared,0.07490112651582928,500
2,0.9,normalized_nn_margin_by_10th,0.07241992977824488,500
2,0.9,query_l2_norm,-0.047918111994598854,500
3,0,distance_to_generating_center,-0.024340001779654123,500
3,0,distance_to_nearest_center,-0.024340001779654123,500
3,0,distance_to_second_center,-0.024340001779654123,500
3,0,cluster_center_margin,,500
3,0,normalized_cluster_center_margin,,500
3,0,exact_nn_distance_squared,-0.018848386062272116,500
3,0,exact_10th_distance_squared,-0.031888278682847604,500
3,0,nn_margin_squared,-0.03192410832159688,500
3,0,normalized_nn_margin_by_10th,-0.02977692490083946,500
3,0,query_l2_norm,-0.024340001779654123,500
3,0.1,distance_to_generating_center,-0.07315041898880416,500
3,0.1,distance_to_nearest_center,-0.06296185318091187,500
3,0.1,distance_to_second_center,-0.04183766367641618,500
3,0.1,cluster_center_margin,0.05354456434768104,500
3,0.1,normalized_cluster_center_margin,0.06268666381680067,500
3,0.1,exact_nn_distance_squared,-0.005827313905377645,500
3,0.1,exact_10th_distance_squared,-0.037762903378122895,500
3,0.1,nn_margin_squared,-0.09514175268318156,500
3,0.1,normalized_nn_margin_by_10th,-0.0848200828154203,500
3,0.1,query_l2_norm,-0.04885504291768061,500
3,0.25,distance_to_generating_center,0.03299440424668509,500
3,0.25,distance_to_nearest_center,0.03299440424668509,500
3,0.25,distance_to_second_center,0.07004518477498319,500
3,0.25,cluster_center_margin,0.022833410048263933,500
3,0.25,normalized_cluster_center_margin,0.01729641743095642,500
3,0.25,exact_nn_distance_squared,0.02391769134902742,500
3,0.25,exact_10th_distance_squared,0.04704967564707775,500
3,0.25,nn_margin_squared,0.06861999406961283,500
3,0.25,normalized_nn_margin_by_10th,0.058678474226445114,500
3,0.25,query_l2_norm,0.07132944397812227,500
3,0.5,distance_to_generating_center,-0.016903152774793772,500
3,0.5,distance_to_nearest_center,-0.016903152774793772,500
3,0.5,distance_to_second_center,0.04977900954778716,500
3,0.5,cluster_center_margin,0.06001394609032284,500
3,0.5,normalized_cluster_center_margin,0.05939364690592674,500
3,0.5,exact_nn_distance_squared,-0.021245247065566485,500
3,0.5,exact_10th_distance_squared,-0.03396138034568657,500
3,0.5,nn_margin_squared,-0.03117003401590411,500
3,0.5,normalized_nn_margin_by_10th,-0.021245247065566485,500
3,0.5,query_l2_norm,0.044506466480420295,500
3,0.75,distance_to_generating_center,,500
3,0.75,distance_to_nearest_center,,500
3,0.75,distance_to_second_center,,500
3,0.75,cluster_center_margin,,500
3,0.75,normalized_cluster_center_margin,,500
3,0.75,exact_nn_distance_squared,,500
3,0.75,exact_10th_distance_squared,,500
3,0.75,nn_margin_squared,,500
3,0.75,normalized_nn_margin_by_10th,,500
3,0.75,query_l2_norm,,500
3,0.9,distance_to_generating_center,,500
3,0.9,distance_to_nearest_center,,500
3,0.9,distance_to_second_center,,500
3,0.9,cluster_center_margin,,500
3,0.9,normalized_cluster_center_margin,,500
3,0.9,exact_nn_distance_squared,,500
3,0.9,exact_10th_distance_squared,,500
3,0.9,nn_margin_squared,,500
3,0.9,normalized_nn_margin_by_10th,,500
3,0.9,query_l2_norm,,500
