scope,descriptor,target,queries,spearman
oracle1,boundary_gap_r5,within_rotation_initialization_variance,7136,-0.410953222964246
oracle1,boundary_gap_r5,between_rotation_variance,7136,-0.26347567454413895
oracle1,local_distance_concentration,overall_mean_loss,7136,-0.33745037359264596
oracle1,local_distance_concentration,harmful_rotation_frequency,7136,-0.23972890430021002
oracle1,local_distance_concentration,within_rotation_initialization_variance,7136,-0.204486186785782
oracle1,local_distance_concentration,between_rotation_variance,7136,-0.14142687763968612
oracle1,candidate_count,overall_mean_loss,7136,0.027844215497858652
oracle1,candidate_count,harmful_rotation_frequency,7136,0.04200463934728331
oracle1,candidate_count,within_rotation_initialization_variance,7136,0.04417916539534553
oracle1,candidate_count,between_rotation_variance,7136,0.006527487123170679
oracle1,oracle_recall,overall_mean_loss,7136,
oracle1,oracle_recall,harmful_rotation_frequency,7136,
oracle1,oracle_recall,within_rotation_initialization_variance,7136,
oracle1,oracle_recall,between_rotation_variance,7136,
