model,scope,condition,metric,queries,mean,std,median,p05,p95
R1-I1,oracle1,N2,inversions,7136,6.833849495515694,0.03829856648063458,6.832469170403588,6.7671314461883405,6.896083239910314
R1-I1,oracle1,N2,agreement,7136,0.8674282511210762,0.0006916656212957005,0.8674187219730942,0.8665281670403587,0.8686533071748879
R1-I1,oracle1,N2,harmful_fraction,7136,0.8360468049327353,0.0035507705934875416,0.836112668161435,0.8297365470852018,0.8416549887892376
R1-I1,oracle1,N3,loss,7136,0.12385874439461882,0.0005344978474091138,0.12392797085201794,0.12295403587443947,0.1247785874439462
R1-I1,oracle1,N3,recall,7136,0.8761412556053811,0.0005344978474091196,0.876072029147982,0.8752214125560538,0.8770459641255606
R1-I1,oracle1,N3,inversions,7136,5.852662556053812,0.02401838918609672,5.853769618834081,5.807917600896861,5.889293721973094
R1-I1,oracle1,N3,agreement,7136,0.8761412556053811,0.0005344978474091196,0.876072029147982,0.8752214125560538,0.8770459641255606
R1-I1,oracle1,N3,harmful_fraction,7136,0.818192264573991,0.0030569708953998693,0.8182455156950673,0.8133197869955157,0.8225896860986547
R1-I1,oracle1,N4,loss,7136,0.12398878923766814,0.00048582713920026306,0.12405409192825112,0.12309346973094171,0.12468119394618835
R1-I1,oracle1,N4,recall,7136,0.8760112107623317,0.000485827139200265,0.8759459080717489,0.8753188060538116,0.8769065302690583
R1-I1,oracle1,N4,inversions,7136,5.865896860986547,0.01817182981360129,5.865190582959642,5.835538116591928,5.895964125560538
R1-I1,oracle1,N4,agreement,7136,0.8760112107623317,0.000485827139200265,0.8759459080717489,0.8753188060538116,0.8769065302690583
R1-I1,oracle1,N4,harmful_fraction,7136,0.8153279147982062,0.002729355187903463,0.8150924887892377,0.8113719170403588,0.8197869955156951
R1-I1,oracle1,N_distance,loss,7136,0.13559669282511208,0.0007639071926522058,0.13555213004484304,0.134375,0.13687219730941702
R1-I1,oracle1,N_distance,recall,7136,0.8644033071748878,0.0007639071926522058,0.864447869955157,0.863127802690583,0.865625
R1-I1,oracle1,N_distance,inversions,7136,6.875507286995518,0.06078301975790955,6.881656390134529,6.776100056053812,6.981509248878924
R1-I1,oracle1,N_distance,agreement,7136,0.8644033071748878,0.0007639071926522058,0.864447869955157,0.863127802690583,0.865625
R1-I1,oracle1,N_distance,harmful_fraction,7136,0.8521272421524665,0.0031382209254705146,0.852017937219731,0.8468329596412556,0.8572029147982063
R2-I1,all,observed,loss,10000,0.10537,0.0,0.10537,0.10537,0.10537
R2-I1,all,observed,recall,10000,0.8477800000000001,0.0,0.8477800000000001,0.8477800000000001,0.8477800000000001
R2-I1,all,observed,inversions,10000,6.102400000000001,8.926528984957934e-16,6.1024,6.1024,6.1024
R2-I1,all,observed,agreement,10000,0.8735599999999999,3.3474483693592255e-16,0.8735600000000002,0.8735600000000002,0.8735600000000002
R2-I1,all,observed,harmful_fraction,10000,0.7245999999999997,3.3474483693592255e-16,0.7246,0.7246,0.7246
