stage,cell,workers,load1_before,load1_after,host_busy_fraction,host_iowait_fraction,worker_busy_min,worker_busy_max,available_memory_min_kib,swapfree_change_kib
benchmark_concurrent,ef64_T1_p0_r0,1,4.92,3.46,0.04304715464830067,0.006048653223489584,0.9992545657845695,0.9992545657845695,22514420,0
benchmark_concurrent,ef64_T1_p0_r1,1,4.2,2.95,0.04275478313895875,0.0029346748990014483,0.9990854216206329,0.9990854216206329,22530248,0
benchmark_concurrent,ef64_T1_p0_r2,1,4.75,3.34,0.04272714780829656,0.0014199123623982778,0.9983513464004397,0.9983513464004397,22522240,0
benchmark_concurrent,ef64_T1_p0_r3,1,3.55,2.62,0.0427791173992621,0.0015252316899567126,0.9996513857416769,0.9996513857416769,22501444,0
benchmark_concurrent,ef64_T1_p0_r4,1,3.25,2.5,0.04275228119634411,0.0011771497979351142,0.999460237495502,0.999460237495502,22479480,256
benchmark_concurrent,ef64_T1_p1_r0,1,7.2,5.09,0.04303637498667723,0.04200861793321863,0.9976251370113263,0.9976251370113263,22569320,0
benchmark_concurrent,ef64_T1_p1_r1,1,2.95,2.42,0.04266223111330891,0.0023751189432593823,0.9983815860456753,0.9983815860456753,22529000,256
benchmark_concurrent,ef64_T1_p1_r2,1,3.81,2.72,0.04259678878842943,0.00174993830345725,0.9956927494615937,0.9956927494615937,22518272,0
benchmark_concurrent,ef64_T1_p1_r3,1,3.0,2.45,0.04271874497970929,0.0015925235211533223,0.9983241159711748,0.9983241159711748,22481892,0
benchmark_concurrent,ef64_T1_p1_r4,1,2.46,2.26,0.04276651142322785,0.0023983277714621,0.9955993663087485,0.9955993663087485,22483728,0
benchmark_concurrent,ef64_T8_p0_r0,8,7.53,7.65,0.32901270056969634,0.04907751006115089,0.9736842105263158,0.9874371859296482,22610780,0
benchmark_concurrent,ef64_T8_p0_r1,8,2.38,3.4,0.33070617906683486,0.0005254308532997058,0.9811320754716981,0.9962168978562421,22525692,0
benchmark_concurrent,ef64_T8_p0_r2,8,4.26,4.99,0.32814133389086353,0.001097637466025507,0.974937343358396,0.9899749373433584,22512828,0
benchmark_concurrent,ef64_T8_p0_r3,8,2.57,3.08,0.3301802511955436,0.00026275684481580743,0.978562421185372,0.9949558638083228,22501600,0
benchmark_concurrent,ef64_T8_p0_r4,8,2.87,3.36,0.32916426814589983,0.0014129467790046574,0.9761306532663316,0.9899623588456713,22478736,0
benchmark_concurrent,ef64_T8_p1_r0,8,3.46,4.4,0.2990741606658561,0.006920415224913495,0.8856502242152466,0.9069506726457399,22542424,0
benchmark_concurrent,ef64_T8_p1_r1,8,3.4,4.26,0.33236859786035455,0.008217478939480077,0.9826517967781908,0.9962779156327544,22516604,0
benchmark_concurrent,ef64_T8_p1_r2,8,3.23,3.77,0.29878501205713226,0.018039324800593583,0.882091212458287,0.8976640711902113,22523396,0
benchmark_concurrent,ef64_T8_p1_r3,8,2.72,3.69,0.330818909842418,0.0002583311805734952,0.9838709677419355,0.9938042131350682,22517236,0
benchmark_concurrent,ef64_T8_p1_r4,8,2.41,2.94,0.3309389695622965,0.002273784300552943,0.9826517967781908,0.9962779156327544,22480612,0
benchmark_single,ef128_T1_p0_r0,1,10.5,4.43,0.04289325440776681,0.0003285621167879344,0.9998728382502543,0.9998728382502543,22627428,0
benchmark_single,ef128_T1_p0_r1,1,2.05,2.01,0.042751921434671214,0.00025085397096498717,0.9998719426302983,0.9998719426302983,22604128,0
benchmark_single,ef128_T1_p0_r2,1,2.0,2.0,0.04280419188821627,0.0004959867736860351,0.999488032765903,0.999488032765903,22643892,0
benchmark_single,ef128_T1_p0_r3,1,2.11,2.03,0.042672914092545366,0.0009734858817803024,0.9992297817715019,0.9992297817715019,22630556,0
benchmark_single,ef128_T1_p0_r4,1,2.58,3.12,0.0410497246189131,0.025884261931880235,0.96043928615999,0.96043928615999,22612512,0
benchmark_single,ef128_T1_p1_r0,1,2.89,2.23,0.042768943134945614,0.00022181966061591925,0.9998732572877059,0.9998732572877059,22603416,256
benchmark_single,ef128_T1_p1_r1,1,2.03,2.06,0.04273910654663793,0.00030641139427750304,0.9998731930002536,0.9998731930002536,22601496,0
benchmark_single,ef128_T1_p1_r2,1,2.09,2.02,0.04265184353042173,0.0006888731095732166,0.999491482329011,0.999491482329011,22674392,0
benchmark_single,ef128_T1_p1_r3,1,2.06,2.01,0.04259122713022445,0.000816919788025229,0.9973262032085561,0.9973262032085561,22662008,0
benchmark_single,ef128_T1_p1_r4,1,2.26,2.07,0.04273719923984587,0.00367729952007215,0.999613601236476,0.999613601236476,22647944,0
benchmark_single,ef32_T1_p0_r0,1,2.18,2.08,0.0426953869238591,0.00022705061254306558,0.9997630893153281,0.9997630893153281,22598432,0
benchmark_single,ef32_T1_p0_r1,1,2.07,2.03,0.04289443869760112,0.0004039209891138368,0.9995272985109903,0.9995272985109903,22606136,0
benchmark_single,ef32_T1_p0_r2,1,2.0,2.0,0.042540402049664916,0.0008967284193929838,0.9992906124379286,0.9992906124379286,22658140,0
benchmark_single,ef32_T1_p0_r3,1,2.02,2.17,0.04290748289919155,0.0009771890515343842,0.9995262908574135,0.9995262908574135,22637860,0
benchmark_single,ef32_T1_p0_r4,1,2.24,2.38,0.04263852346744712,0.009252963608951429,0.9964530621896429,0.9964530621896429,22640592,256
benchmark_single,ef32_T1_p1_r0,1,2.21,2.18,0.042422143385347,0.0004212260486188466,0.984052111410602,0.984052111410602,22599080,0
benchmark_single,ef32_T1_p1_r1,1,2.01,2.0,0.04267862253171806,0.0006391300200324335,0.9997710098465766,0.9997710098465766,22606048,0
benchmark_single,ef32_T1_p1_r2,1,2.0,2.0,0.042742687498810605,0.0008563761965478524,0.9990867579908675,0.9990867579908675,22643380,0
benchmark_single,ef32_T1_p1_r3,1,2.1,2.05,0.042589048530377926,0.00040941853047311643,0.9965722120658135,0.9965722120658135,22640528,0
benchmark_single,ef32_T1_p1_r4,1,2.06,2.27,0.04150586383903476,0.012748697965453932,0.9723471223021583,0.9723471223021583,22630840,0
benchmark_single,ef64_T1_p0_r0,1,2.08,2.03,0.042692290149453416,0.00023565900901585757,0.9998175848230573,0.9998175848230573,22601448,0
benchmark_single,ef64_T1_p0_r1,1,2.03,2.01,0.0428008473611079,0.0009718837080400598,0.9998177842565598,0.9998177842565598,22606212,0
benchmark_single,ef64_T1_p0_r2,1,2.0,2.07,0.0421283877186559,0.001434666626814816,0.9840444603800645,0.9840444603800645,22641012,0
benchmark_single,ef64_T1_p0_r3,1,2.15,2.06,0.042806670972153626,0.0010181210348364548,0.998906306963179,0.998906306963179,22637068,0
benchmark_single,ef64_T1_p0_r4,1,2.35,2.26,0.0426873061230727,0.006326309194541648,0.9970663733039971,0.9970663733039971,22626992,0
benchmark_single,ef64_T1_p1_r0,1,4.23,2.89,0.04282350486579933,0.0002608008822521274,0.9998211731044349,0.9998211731044349,22611712,0
benchmark_single,ef64_T1_p1_r1,1,2.01,2.08,0.04259246803135952,0.00014947347966786994,0.9996413199426112,0.9996413199426112,22602132,0
benchmark_single,ef64_T1_p1_r2,1,2.06,2.09,0.04282562357428665,0.0011218727796267903,0.9996409980254891,0.9996409980254891,22640192,0
benchmark_single,ef64_T1_p1_r3,1,2.05,2.12,0.04281222224711889,0.0016431767087170524,0.9983868076716257,0.9983868076716257,22634544,0
benchmark_single,ef64_T1_p1_r4,1,2.01,2.29,0.04245720518509177,0.009645992090286486,0.9905643581983266,0.9905643581983266,22658740,0
