stage,ef,workers,throughput_penalty,mean_latency_overhead,p95_latency_overhead,p99_latency_overhead
concurrent,64,1,0.042474121085303795,0.044417536814125524,0.059592579361211095,0.05789187419635167
concurrent,64,8,0.045650805830512065,0.04736667491532387,0.068224238668535,0.0648777128316047
single,32,1,0.0532255299083354,0.05629261060941104,0.08672552910624365,0.07761210283024478
single,64,1,0.049265836225901305,0.05197743468950322,0.06872908041016301,0.06534418295611633
single,128,1,0.024974662136777348,0.025683717690425656,0.025310500460366647,0.026522480259602688
