pq_id,code_bytes,distance_pair_count,mean_absolute_distance_error,median_absolute_distance_error,p95_absolute_distance_error,relative_distance_pair_count,mean_absolute_relative_distance_error,median_absolute_relative_distance_error,p95_absolute_relative_distance_error,order_pair_count,strict_order_inversion_rate,pq_distance_tie_rate
pq_m16_nbits8,16,10000,7.512122483444214,6.105968475341797,19.070556640625,10000,0.05755393147155119,0.04942896030843258,0.1373402178287506,10000,0.1317,0.0
pq_m32_nbits8,32,10000,2.13942490272522,1.6944808959960938,5.581207275390625,10000,0.016648207813728597,0.013671320863068104,0.04264984652400017,10000,0.0452,0.0
pq_m8_nbits4,4,10000,37.70574787368774,36.686832427978516,67.24993133544922,10000,0.28653869920780417,0.29217304289340973,0.44212719798088074,10000,0.3265,0.0
pq_m8_nbits8,8,10000,19.818183861923217,18.485641479492188,42.38835144042969,10000,0.14942605808081352,0.14609304070472717,0.2889646291732788,10000,0.2432,0.0
