ef_search,class,queries,mean_candidate_mae,mean_relative_boundary_margin,mean_boundary_local_mae,mean_error_scale_over_boundary_margin,mean_cross_boundary_inversion_count,mean_cross_boundary_inversion_fraction,mean_maximum_violation,mean_topk_agreement,mean_random_inversion_rate,mean_candidate_count,mean_oracle_recall,mean_ranking_recall_loss
64,Stable,1933,1337.402102737874,0.018640520223867522,909.4095431255474,5.650973803163938,0.0,0.0,-841.0279916762319,1.0,0.03372045557423694,1016.4764614588722,0.9664252457320229,0.0
64,Benign,1052,1364.5834385734734,0.006643134006157407,1059.6310920385683,15.329411700624194,5.768060836501901,0.0005026707162081582,1715.4448975537666,0.877091254752852,0.034606701520912546,1173.1273764258556,0.7917300380228137,0.0
64,Harmful,7015,1307.882770256763,0.008800029936255544,1002.0797857036008,13.860966416841679,7.092088382038489,0.0007558894257791838,1680.305013513871,0.8471133285816111,0.03486891928011404,1018.4213827512473,0.9720598717034925,0.14189593727726302
64,Lucky,0,,,,,,,,,,,,
128,Stable,1847,1368.007468089366,0.018734406812452403,905.9901736312455,5.9903803963352225,0.0,0.0,-836.7795599176875,1.0,0.03389364510016243,1810.2902003248512,0.9896047644829454,0.0
128,Benign,389,1404.850215346838,0.006021754189392202,1070.8152220053605,15.869062417133037,5.609254498714653,0.0002632851790561547,1735.841322401189,0.884061696658098,0.035442440552699225,2143.5038560411313,0.8447300771208227,0.0
128,Harmful,7764,1341.8755296228717,0.008456597389647578,1005.854724307478,13.512243832909588,7.208397733127254,0.00042478114657255905,1699.115822762082,0.8479134466769708,0.035049084717928905,1847.3191653786707,0.9881890777949511,0.14706336939721795
128,Lucky,0,,,,,,,,,,,,
