rotation,metric,mean,std,min,max,coefficient_of_variation
0,fixed_candidate_recall,0.8529033333333335,0.0006671081871281383,0.8523400000000001,0.8536400000000002,0.0007821615428807542
0,ranking_recall_loss,0.10024666666666666,0.0006671081871280999,0.09951,0.10081000000000001,0.006654667025950322
0,cross_boundary_inversion_count,5.568533333333334,0.031938900001930864,5.5446,5.6048,0.00573560363026725
0,global_mae,1312.5722172795554,5.52883708284849,1309.0620972611136,1318.9454297960872,0.004212215533791801
0,random_pair_inversion_rate,0.034502994791666665,6.071685229948705e-05,0.0344392578125,0.03456015625,0.001759756005706255
0,topk_agreement,0.8792366666666668,0.0005054041287260828,0.8787200000000001,0.8797300000000001,0.0005748214876458172
0,harmful_prevalence,0.7037,0.00350428309358705,0.7001,0.7071,0.004979796921396973
0,candidate_weighted_mae,1327.7578040571207,6.003349603485193,1323.2955608158882,1334.5831062797292,0.004521419181375738
1,fixed_candidate_recall,0.8462833333333335,0.0006619919435563434,0.84552,0.8467000000000002,0.0007822344095433089
1,ranking_recall_loss,0.10686666666666667,0.0006619919435562219,0.10645,0.10763000000000002,0.006194559671455601
1,cross_boundary_inversion_count,6.194500000000001,0.05285915247144977,6.1497,6.2528,0.008533239562749175
1,global_mae,1378.8307092303796,3.4686141327535402,1376.0579275343173,1382.7201073199951,0.002515620017405627
1,random_pair_inversion_rate,0.036029687500000004,0.00010274866969228867,0.0359560546875,0.0361470703125,0.0028517779870360703
1,topk_agreement,0.8721533333333337,0.000765397500213645,0.8712700000000002,0.8726200000000001,0.0008775951096676174
1,harmful_prevalence,0.7300333333333334,0.003980368492154139,0.7258,0.7337,0.0054523106143383486
1,candidate_weighted_mae,1394.2089821130248,3.5668074802916516,1391.4874479507873,1398.2468846883417,0.002558301894516485
2,fixed_candidate_recall,0.8471466666666668,0.0011405408073950443,0.8458300000000001,0.8478300000000001,0.0013463321668759176
2,ranking_recall_loss,0.10600333333333334,0.0011405408073950362,0.10532000000000001,0.10732,0.010759480589242818
2,cross_boundary_inversion_count,6.160266666666668,0.05038306593820307,6.1024,6.1944,0.008178715088881931
2,global_mae,1377.7251282627028,3.4143746427515254,1375.088565773192,1381.5819834930342,0.002478269846944736
2,random_pair_inversion_rate,0.0359751953125,9.869235517119925e-05,0.035909375,0.036088671875,0.002743344527080509
2,topk_agreement,0.8728166666666669,0.0009473295801005057,0.8717500000000001,0.8735600000000002,0.00108537063541466
2,harmful_prevalence,0.7275666666666667,0.006665083145267811,0.7229,0.7352,0.009160786840062048
2,candidate_weighted_mae,1393.3589889264392,3.488971049853528,1390.8593726582133,1397.3450093824365,0.0025040001016118064
3,fixed_candidate_recall,0.8469400000000001,0.0002884441020371305,0.8467000000000002,0.8472600000000002,0.0003405720618191731
3,ranking_recall_loss,0.10621000000000003,0.00028844410203712084,0.10589000000000001,0.10645000000000002,0.002715790434395262
3,cross_boundary_inversion_count,6.1122000000000005,0.03531897507006686,6.0736,6.1429,0.005778439035055602
3,global_mae,1373.4145745416272,2.287093679675692,1370.9960894535845,1375.5425090409844,0.0016652609649486227
3,random_pair_inversion_rate,0.03590286458333333,8.741850918360489e-05,0.0358240234375,0.035996875,0.002434861680206596
3,topk_agreement,0.8727500000000002,0.0003702701716315114,0.8723400000000001,0.8730600000000002,0.0004242568566387984
3,harmful_prevalence,0.7264333333333334,0.00090737717258771,0.7254,0.7271,0.0012490852648846555
3,candidate_weighted_mae,1388.979531400273,2.3446782901022956,1386.6797322415907,1391.366649293563,0.0016880582017926163
4,fixed_candidate_recall,0.8472666666666667,0.000737925018774443,0.8466400000000002,0.8480800000000001,0.0008709477757193047
4,ranking_recall_loss,0.10588333333333333,0.0007379250187744883,0.10507000000000001,0.10651000000000001,0.006969227314098741
4,cross_boundary_inversion_count,6.061933333333333,0.006925556536000074,6.0564,6.0697,0.001142466628248426
4,global_mae,1375.361998793879,2.6095710591680255,1373.4151226060637,1378.3271989079174,0.0018973703370141707
4,random_pair_inversion_rate,0.03591009114583334,6.773102208997585e-05,0.035858984375,0.0359869140625,0.0018861278244857564
4,topk_agreement,0.8732266666666669,0.000741911944460612,0.8726100000000002,0.8740500000000002,0.0008496212641932738
4,harmful_prevalence,0.7258999999999999,0.0038742741255620963,0.7215,0.7288,0.005337200889326487
4,candidate_weighted_mae,1391.279858647173,2.825943407152905,1389.2511372129284,1394.507626951503,0.0020311825759489854
