group,queries,mean_ranking_loss,harmful_query_fraction,native_recall,oracle_recall
refined,3556,0.1393700787401575,0.8368953880764904,0.8067210348706413,0.9460911136107987
unrefined,10696,0.08698578908002992,0.6556656694091249,0.8647999252056845,0.9517857142857143
