model,fixed_candidate_recall,ranking_recall_loss,cross_boundary_inversion_count,global_mae,random_pair_inversion_rate,topk_agreement,boundary_window_mae,candidate_weighted_mae
0,0.85313,0.10002,5.5846,1315.331578362415,0.034375,0.87982,990.4994181507457,1330.3667081334856
1,0.85331,0.09984000000000001,5.5208,1310.4156808295734,0.0343578125,0.8795500000000002,987.8443476962004,1325.3406729942812
2,0.8526600000000001,0.10049000000000001,5.511,1315.118885672992,0.0344609375,0.8795800000000001,989.2884192621405,1329.9601522997034
3,0.8530400000000001,0.10011,5.5048,1315.448500503584,0.0344513671875,0.8795100000000002,991.6131539045854,1331.2386977393228
4,0.8531200000000001,0.10003000000000001,5.5914,1316.0343279537965,0.034430078125,0.8789800000000003,990.6976669716574,1330.7091128249047
