seed_count,frequency,pairs,fraction_union_pairs
1,0.2,107990,0.6196421808834162
2,0.4,40341,0.23147499971310206
3,0.6,17310,0.09932406844237368
4,0.8,6661,0.038220544188021434
5,1.0,1976,0.011338206773086678
