policy,workers,qps,speedup,parallel_efficiency
0,1,735.4316961371833,1.0,1.0
0,8,5591.485157516632,7.602997242144467,0.9503746552680584
1,1,719.9672444558191,1.0,1.0
1,8,5478.564295370027,7.609463260388952,0.951182907548619
