ef,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,total_loss,discovery_loss,ranking_loss,coverage_exact,coverage_pq,exact_l0_count,pq_l0_count,delta_exact_control,candidate_oracle_recovery,L16_recovery_fraction,discovery_fraction,top16_boundary_tie_queries
32,0.89641,0.8775799999999999,0.8965700000000001,0.89655,0.018829999999999996,-0.0001600000000000001,0.018989999999999996,0.89641,0.8965700000000001,662.2699,659.7929,0.0,1.0084970791290495,0.9989468141126933,-0.008497079129049396,0
64,0.9420200000000001,0.91685,0.9408700000000001,0.9408400000000001,0.025169999999999994,0.00115,0.024019999999999993,0.9420200000000001,0.9408700000000001,1131.3744,1128.742,0.0,0.9543106873261819,0.998751040799337,0.045689312673818046,0
128,0.9660200000000001,0.9379900000000001,0.96588,0.96585,0.028029999999999996,0.00014000000000000004,0.02788999999999999,0.9660200000000001,0.96588,1991.1769,1989.3283,0.0,0.9950053514092042,0.998924345643596,0.004994648590795578,0
