replicate,native_mean_us,full_mean_us,bounded_mean_us,full_all16_mean_us,bounded_all16_mean_us,full_overhead_us,bounded_overhead_us,overhead_reduction,all16_latency_saving,all16_speedup,overhead_gate_pass,all16_gate_pass,meaningful_optimization
0,162.4875344513051,185.02333483019927,168.43089124333426,187.43873891383663,172.45139847039013,22.53580037889418,5.943356792029164,0.7362704367227448,0.07995860690428569,1.0869076190531435,True,False,True
1,163.17435117878193,183.99277476845353,169.008617457199,186.94908953129382,172.50633784731968,20.818423589671596,5.834266278417061,0.7197546560964612,0.07725499878166853,1.083723020639143,True,False,True
2,162.71591629245017,185.96557556834128,169.50213177097953,186.5803131490317,172.9908795256806,23.249659275891105,6.786215478529357,0.7081154868550539,0.07283423097535735,1.078555780863197,True,False,True
3,163.01174670221724,184.0384434465338,168.5306194920011,186.26976101599777,171.56527645242775,21.026696744316553,5.51887278978387,0.7375302047253045,0.0789418770033593,1.085707812604186,True,False,True
4,162.91505550098233,184.7700647628403,169.07191032837497,187.05980381700815,172.49706841145098,21.85500926185796,6.156854827392635,0.7182863318142001,0.0778506932456916,1.0844230892714142,True,False,True
5,162.48023905416784,185.39166580129103,170.61800428010105,186.5208860510805,172.20823652820656,22.911426747123187,8.137765225933208,0.6448163042943187,0.07673483557736427,1.0831124562414856,True,False,True
6,163.037856651698,183.94270088408646,168.5995592899242,186.1363780522032,172.29147340724109,20.904844232388456,5.561702638226194,0.7339514910324328,0.07438043433443853,1.0803574568791183,True,False,True
