pq_m,compression,ef,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,delta_exact_control,candidate_oracle_recovery,L16_recovery,top16_boundary_tie_queries
768,8.0,32,0.89641,0.8775799999999999,0.8965700000000001,0.89655,0.018829999999999996,-0.0001600000000000001,0.018989999999999996,662.2699,659.7929,0.0,1.0084970791290495,0.9989468141126933,0
768,8.0,64,0.9420200000000001,0.91685,0.9408700000000001,0.9408400000000001,0.025169999999999994,0.00115,0.024019999999999993,1131.3744,1128.742,0.0,0.9543106873261819,0.998751040799337,0
768,8.0,128,0.9660200000000001,0.9379900000000001,0.96588,0.96585,0.028029999999999996,0.00014000000000000004,0.02788999999999999,1991.1769,1989.3283,0.0,0.9950053514092042,0.998924345643596,0
384,16.0,32,0.89641,0.8332,0.8970900000000002,0.89341,0.06320999999999999,-0.00068,0.06388999999999999,662.2699,660.634,0.0,1.0107577914886885,0.9424010017217092,0
384,16.0,64,0.9420200000000001,0.8650000000000002,0.9415900000000001,0.93606,0.07701999999999998,0.0004299999999999999,0.07658999999999999,1131.3744,1128.0686,0.0,0.9944170345364842,0.9277973625799686,0
384,16.0,128,0.9660200000000001,0.8809800000000001,0.9653700000000001,0.9586399999999999,0.08503999999999999,0.0006499999999999999,0.08438999999999999,1991.1769,1985.8108,0.0,0.9923565380997178,0.9202512145988843,0
