model,scope,condition,metric,observed,n0_mean,condition_mean,denominator,gap_closure,invalid_draw_denominators,draw_mean,draw_std,draw_median,draw_p05,draw_p95
R2-I1,all,N_distance,loss,0.10537,0.1430091,0.11950699999999999,0.037639099999999995,0.6244065346939756,0,0.6243287512689825,0.01779509083096004,0.6246295238431829,0.5960835756321364,0.6501737125415863
R2-I1,all,N0,inversions,6.1024,10.286604,10.286604,4.184204,0.0,0,0.0,0.0,0.0,0.0,0.0
R2-I1,all,N1,inversions,6.1024,10.286604,10.729421,4.184204,-0.10583064305660043,0,-0.1062706878941259,0.026987487983357084,-0.10836376324577347,-0.14924919491794122,-0.0656233326335542
R2-I1,all,N2,inversions,6.1024,10.286604,7.464565,4.184204,0.6744506243003449,0,0.6743056379677589,0.010351637154311701,0.6739442424188686,0.6581355754403792,0.6903475422952202
R2-I1,all,N3,inversions,6.1024,10.286604,6.2905679999999995,4.184204,0.9550289613030342,0,0.9550094743618692,0.006066188067852802,0.954674309919792,0.9453707260702625,0.9646488621944143
R2-I1,all,N4,inversions,6.1024,10.286604,6.2850850000000005,4.184204,0.9563393658626587,0,0.9563158213098016,0.004623442186632895,0.9562217583242216,0.9497742595948502,0.9629933631067167
R2-I1,all,N_distance,inversions,6.1024,10.286604,7.465701,4.184204,0.6741791270215315,0,0.6740791812812812,0.014532969106945301,0.6752023030848043,0.6526851052660674,0.6950047498102514
R2-I1,oracle1,N0,loss,0.11936659192825114,0.1600267656950673,0.1600267656950673,0.04066017376681616,0.0,0,0.0,0.0,0.0,0.0,0.0
R2-I1,oracle1,N1,loss,0.11936659192825114,0.1600267656950673,0.17278237107623315,0.04066017376681616,-0.313712515207597,0,-0.3142905988878596,0.03401923169117908,-0.31655193701966144,-0.36616693680604856,-0.2619310295828086
R2-I1,oracle1,N2,loss,0.11936659192825114,0.1600267656950673,0.13106950672645742,0.04066017376681616,0.7121774524299416,0,0.712072521739169,0.015004295829936346,0.7117535086266207,0.6883528235225416,0.7342746555013389
R2-I1,oracle1,N3,loss,0.11936659192825114,0.1600267656950673,0.12155451233183856,0.04066017376681616,0.9461900872304426,0,0.9461195968456235,0.014433836441988653,0.9465493319281362,0.9234889927841462,0.971482627919118
