phase,mode,stage_ON_minus_OFF_mean_us,paired_difference_std_us,difference_fraction_of_OFF
primary,NATIVE,0.28782395453269977,0.6658597404907135,0.0017676149825991009
primary,FULL,0.23261149312378393,0.8684455628185357,0.0012591829914580994
primary,BOUNDED,-0.16510402550018252,0.7677873288316717,-0.000976318244999203
primary,FULL_ALL16,0.055621496732287924,0.5444492078678369,0.0002979065736044374
primary,BOUNDED_ALL16,-0.8680238061825857,0.7385766491260007,-0.005036148283745623
diagnostic,NATIVE,-0.06690113668256004,0.31766967597815177,-0.0004108677906895678
diagnostic,BOUNDED_ALL16,-0.7412127220239759,1.3197297287371716,-0.004295503271396175
diagnostic,GAP_BOUNDED,-0.26974359488391997,0.7370902111623662,-0.0015875897359631337
