pq_m,ef,metric,mean,std,min,max,median,p90,p95,p99,positive_fraction,zero_fraction,negative_fraction
768,32,total_loss,0.018829999999999996,0.08573894224109406,-1.0,1.0,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2132,0.7543,0.0325
768,32,discovery_loss,-0.0001600000000000001,0.07676303574224795,-1.0,1.0,0.0,0.0,0.0,0.19999999999999996,0.036,0.9272,0.0368
768,32,ranking_loss,0.018989999999999996,0.040552982065878256,0.0,0.20000000000000007,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1846,0.8154,0.0
768,64,total_loss,0.025169999999999994,0.06517588426395883,-1.0,1.0,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2475,0.7392,0.0133
768,64,discovery_loss,0.00115,0.04864066294171103,-1.0,1.0,0.0,0.0,0.0,0.09999999999999998,0.0204,0.9635,0.0161
768,64,ranking_loss,0.024019999999999993,0.044846858575293844,0.0,0.20000000000000007,0.0,0.09999999999999998,0.09999999999999998,0.10000000000000009,0.2309,0.7691,0.0
768,128,total_loss,0.028029999999999996,0.05349397405807547,-0.6,0.8,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2742,0.7187,0.0071
768,128,discovery_loss,0.00014000000000000004,0.02541741537805231,-0.6,0.8,0.0,0.0,0.0,0.09999999999999998,0.0103,0.9807,0.009
768,128,ranking_loss,0.02788999999999999,0.04755390664712773,0.0,0.20000000000000007,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.2664,0.7336,0.0
384,32,total_loss,0.06320999999999999,0.13128297460806634,-1.0,1.0,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.4,0.5368,0.4183,0.0449
384,32,discovery_loss,-0.00068,0.11673431496363443,-1.0,1.0,0.0,0.0,0.09999999999999998,0.39999999999999997,0.0758,0.8544,0.0698
384,32,ranking_loss,0.06388999999999999,0.07205266864388764,0.0,0.4,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.5101,0.4899,0.0
384,64,total_loss,0.07701999999999998,0.10002459743487699,-1.0,1.0,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.6048,0.3756,0.0196
384,64,discovery_loss,0.0004299999999999999,0.07110077799900087,-1.0,1.0,0.0,0.0,0.0,0.20000000000000007,0.0456,0.9153,0.0391
384,64,ranking_loss,0.07658999999999999,0.07553504123415453,0.0,0.5,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.5941,0.4059,0.0
384,128,total_loss,0.08503999999999999,0.08698824688145836,-1.0,0.9,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.6451,0.346,0.0089
384,128,discovery_loss,0.0006499999999999999,0.04510854661921408,-1.0,0.9,0.0,0.0,0.0,0.09999999999999998,0.024,0.9554,0.0206
384,128,ranking_loss,0.08438999999999999,0.0774204578437074,0.0,0.5,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.6411,0.3589,0.0
