scope,condition,metric,mean,std,median,p05,p95,model_mean_min,model_mean_max,model_mean_std
all,observed,loss,0.10498199999999996,2.7895403077993544e-17,0.10498199999999999,0.10498199999999999,0.10498199999999999,0.09951000000000003,0.10763000000000006,0.003172714925737899
all,observed,recall,0.848168,0.0,0.848168,0.848168,0.848168,0.84552,0.8536400000000002,0.003172714925737942
all,observed,inversions,6.01094,0.0,6.01094,6.01094,6.01094,5.556199999999998,6.252799999999999,0.26506068739064353
all,observed,agreement,0.8740460000000003,1.1158161231197418e-16,0.8740460000000002,0.8740460000000002,0.8740460000000002,0.8712700000000001,0.87973,0.003289548601252145
all,observed,harmful_fraction,0.7225200000000003,3.3474483693592255e-16,0.7225199999999999,0.7225199999999999,0.7225199999999999,0.7001000000000002,0.7336999999999999,0.012981794945229944
all,N0,loss,0.14157036,0.0003322248696898002,0.14158199999999999,0.1409974,0.1420633,0.1369737,0.1430091,0.002583594485982657
all,N0,recall,0.8115796399999998,0.00033222486968979804,0.8115680000000001,0.8110867,0.8121526,0.8101408999999998,0.8161763000000001,0.002583594485982699
all,N0,inversions,10.1312582,0.03434917093907838,10.131969999999999,10.061979,10.183717,9.652975,10.286604,0.26901954377647064
all,N0,agreement,0.83529582,0.00034474995711282193,0.835238,0.8347515999999999,0.8358840999999999,0.8336880000000001,0.8406459,0.003003188843046635
all,N0,harmful_fraction,0.8319496000000001,0.0013811237702273053,0.83186,0.8296720000000001,0.8343619999999999,0.8185379999999999,0.836044,0.007533324252944435
all,N1,loss,0.14822120000000003,0.00030371557667520566,0.14821499999999999,0.1477199,0.1486867,0.13267009999999999,0.15252469999999999,0.008702608701130952
all,N1,recall,0.8049288,0.0003037155766752135,0.804935,0.8044633,0.8054300999999999,0.8006253,0.8204799000000002,0.008702608701131013
all,N1,inversions,10.258320000000001,0.02440198948670157,10.25821,10.218576999999998,10.298371,8.573886000000002,10.75897,0.9439247016237572
all,N1,agreement,0.82525482,0.0003198513663651599,0.8252790000000001,0.8247373,0.8258046000000001,0.8203699,0.8429072999999999,0.00987703980892048
all,N1,harmful_fraction,0.8391712000000001,0.0012433916470198714,0.8392000000000001,0.837357,0.841244,0.7998930000000003,0.8500230000000001,0.021973331135719816
all,N2,loss,0.11441474,0.00022696088836732389,0.114414,0.11403970000000001,0.1147281,0.10788170000000001,0.11683379999999997,0.0036802126790445055
all,N2,recall,0.83873526,0.00022696088836732177,0.8387360000000001,0.8384219,0.8391103,0.8363162000000002,0.8452683000000001,0.003680212679044544
all,N2,inversions,7.265544000000001,0.013795795582625092,7.26571,7.244459,7.288898,6.519551,7.5384340000000005,0.4207936893544153
all,N2,agreement,0.8630377800000001,0.00021883140413191118,0.8630310000000001,0.8626507,0.8633886,0.8604164999999999,0.8705535000000001,0.004223642316413709
all,N2,harmful_fraction,0.7514320000000001,0.0012902337115046306,0.7513799999999999,0.7494949999999999,0.7532479999999999,0.7277589999999999,0.7591650000000001,0.013308280279585402
all,N3,loss,0.10624014000000002,0.00020163157821465798,0.106207,0.10595779999999999,0.1066204,0.10136989999999997,0.1085289,0.0027994643153646504
all,N3,recall,0.8469098600000001,0.00020163157821465646,0.846943,0.8465295999999999,0.8471922,0.8446210999999998,0.8517801,0.0027994643153646816
all,N3,inversions,6.1902006,0.009597628686505887,6.18961,6.176938,6.208671,5.721265,6.414840000000001,0.26962781668218155
all,N3,agreement,0.8725614199999998,0.0002102503164220032,0.872597,0.8721791,0.8728946999999999,0.8700196999999997,0.8779549,0.003096414516339887
all,N3,harmful_fraction,0.7292030000000002,0.0012279189095721458,0.72923,0.7272749999999999,0.731307,0.7099540000000001,0.737366,0.011041060909169887
all,N4,loss,0.1060353,0.00015880446651734452,0.106038,0.10580659999999999,0.10627889999999998,0.10074600000000002,0.10886479999999998,0.003106605002249231
all,N4,recall,0.8471146999999999,0.00015880446651734154,0.8471120000000001,0.8468711,0.8473434000000001,0.8442852000000002,0.8524039999999999,0.003106605002249165
all,N4,inversions,6.179751799999999,0.008384174652645359,6.18,6.163864,6.193936,5.711709,6.417235,0.27137158309539333
all,N4,agreement,0.87282186,0.00016179579472878512,0.872803,0.8726075999999999,0.8730659,0.8699063000000001,0.8785654999999999,0.0033313401932254876
all,N4,harmful_fraction,0.7261944,0.0009442567704204456,0.7262500000000001,0.7244,0.727582,0.7051510000000001,0.7360890000000001,0.012324477384457294
all,N_distance,loss,0.11817579999999998,0.0003199100252296338,0.11818100000000001,0.11772089999999999,0.1186511,0.11310470000000002,0.11981649999999998,0.0028463918370456175
all,N_distance,recall,0.8349742000000002,0.0003199100252296321,0.834969,0.8344989,0.8354290999999999,0.8333335,0.8400452999999999,0.002846391837045588
all,N_distance,inversions,7.2976198,0.024790844105732783,7.29618,7.262342,7.340288999999999,6.7528559999999995,7.4693629999999995,0.30644698719631774
all,N_distance,agreement,0.8602048999999999,0.00032124799256535346,0.860225,0.8597401,0.8606463,0.8584125000000001,0.8658823999999998,0.0031839383560300486
all,N_distance,harmful_fraction,0.7713418,0.0016396060009599448,0.77143,0.768439,0.773926,0.7550380000000001,0.776773,0.009159436210815573
oracle1,observed,loss,0.1198766816143498,1.3947701538996772e-17,0.11987668161434979,0.11987668161434979,0.11987668161434979,0.1140835201793722,0.12270179372197312,0.0034718962387838477
