model,subset,fixed_candidate_recall,ranking_recall_loss,cross_boundary_inversion_count,global_mae,random_pair_inversion_rate,topk_agreement,initialization_seed,sampling_seed,training_ids_sha256,codebook_sha256
A1,A,0.8536400000000002,0.09951,5.5562,1309.7091247814656,0.0344392578125,0.8797300000000001,80500011,80400011,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c,7f2a016b129c0a530dda9fee3937b425f33acb53c17693c4a88ef4780fae161c
A2,A,0.8527300000000001,0.10042000000000001,5.5446,1318.9454297960872,0.03456015625,0.8792600000000003,80500029,80400011,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c,a86be7cfb9fd702c2b27e689f5e60f9cd4ffb03254dcb5719f34f5ed6cca9c6d
A3,A,0.8523400000000001,0.10081000000000001,5.6048,1309.0620972611136,0.0345095703125,0.8787200000000001,80500047,80400011,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c,9f7bc84acbbc9712b9b08f7498e6c62e06f72225a83493840aa9dea9bd10a7a4
B1,B,0.8525500000000001,0.10060000000000001,5.5427,1309.6489095609738,0.0343337890625,0.8789100000000002,80500063,80400037,66288f864fa893d7b910efafd427ff04e362f2e09ecd12522078224d4cfe1d2c,5fbcaf24255357511fe5a41ff4e3fa59dd406f71e58bd0481dced6146d61529f
B2,B,0.8531900000000001,0.09996000000000001,5.4616,1310.0042390902336,0.0344228515625,0.8802200000000001,80500081,80400037,66288f864fa893d7b910efafd427ff04e362f2e09ecd12522078224d4cfe1d2c,423ddc51b93139051a587737f6e36ed94e052e174454dc315cc57094876e78cc
B3,B,0.8529900000000001,0.10016000000000001,5.5113,1313.713506055931,0.0344212890625,0.8799000000000001,80500103,80400037,66288f864fa893d7b910efafd427ff04e362f2e09ecd12522078224d4cfe1d2c,5b3a897a213f29aaab473ea85b51411dfe511fc8f80805b1e272684780ba3c28
C1,C,0.8530300000000001,0.10012,5.5884,1314.9597694697518,0.03456484375,0.8794300000000003,80500121,80400059,d21682b14af02018ee5d9d889dd07044aac7a9787965be7d5c36b7c9e56133d3,81ffd74d8ca851ef547e9f491a57a2f56e772f2240b7edb80d22be9780b2374c
C2,C,0.8524500000000002,0.10070000000000001,5.5426,1314.6111613762534,0.034282421875,0.8790500000000002,80500139,80400059,d21682b14af02018ee5d9d889dd07044aac7a9787965be7d5c36b7c9e56133d3,212cb04b916f7f213d5d6ef010d07a1335925685efc5d28a7966d45990ccee8f
C3,C,0.8515400000000002,0.10161,5.5852,1313.6297331268318,0.0345080078125,0.87787,80500157,80400059,d21682b14af02018ee5d9d889dd07044aac7a9787965be7d5c36b7c9e56133d3,4f09a9dc1fa1e19607ce63a69db45ae363c2f446697bfc086a0ee8c7ab84395e
