model,scope,descriptor,target,bin,queries,descriptor_mean,target_mean
R0-I1,all,boundary_gap_r5,observed_loss,9,1000,10134.459,0.059899999999999995
R0-I1,all,boundary_gap_r5,null_mean_loss,0,1000,1580.625,0.21903
R0-I1,all,boundary_gap_r5,null_mean_loss,1,1000,2411.863,0.17733800000000002
R0-I1,all,boundary_gap_r5,null_mean_loss,2,999,2916.197197197197,0.1623983983983984
R0-I1,all,boundary_gap_r5,null_mean_loss,3,1001,3392.978021978022,0.14954045954045952
R0-I1,all,boundary_gap_r5,null_mean_loss,4,1000,3869.838,0.133026
R0-I1,all,boundary_gap_r5,null_mean_loss,5,998,4355.506012024048,0.1263386773547094
R0-I1,all,boundary_gap_r5,null_mean_loss,6,1000,4929.99,0.1166
R0-I1,all,boundary_gap_r5,null_mean_loss,7,1000,5620.247,0.105228
R0-I1,all,boundary_gap_r5,null_mean_loss,8,1002,6673.152694610779,0.09887624750499004
R0-I1,all,boundary_gap_r5,null_mean_loss,9,1000,10134.459,0.081994
R0-I1,all,boundary_gap_r5,excess_loss,0,1000,1580.625,-0.05992999999999999
R0-I1,all,boundary_gap_r5,excess_loss,1,1000,2411.863,-0.047037999999999996
R0-I1,all,boundary_gap_r5,excess_loss,2,999,2916.197197197197,-0.04688288288288287
R0-I1,all,boundary_gap_r5,excess_loss,3,1001,3392.978021978022,-0.04094905094905094
R0-I1,all,boundary_gap_r5,excess_loss,4,1000,3869.838,-0.03632599999999999
R0-I1,all,boundary_gap_r5,excess_loss,5,998,4355.506012024048,-0.035356713426853696
R0-I1,all,boundary_gap_r5,excess_loss,6,1000,4929.99,-0.028999999999999995
R0-I1,all,boundary_gap_r5,excess_loss,7,1000,5620.247,-0.029527999999999995
R0-I1,all,boundary_gap_r5,excess_loss,8,1002,6673.152694610779,-0.028117764471057877
R0-I1,all,boundary_gap_r5,excess_loss,9,1000,10134.459,-0.022094
R0-I1,all,relative_boundary_margin,observed_loss,0,1000,0.0003672422282549991,0.11320000000000002
R0-I1,all,relative_boundary_margin,observed_loss,1,1000,0.0014392132925435271,0.12060000000000001
R0-I1,all,relative_boundary_margin,observed_loss,2,1000,0.0026426771286504397,0.1135
R0-I1,all,relative_boundary_margin,observed_loss,3,1000,0.004038555311424545,0.1105
R0-I1,all,relative_boundary_margin,observed_loss,4,1000,0.0056685650856067625,0.10620000000000002
R0-I1,all,relative_boundary_margin,observed_loss,5,1000,0.007738833167126009,0.10550000000000001
R0-I1,all,relative_boundary_margin,observed_loss,6,1000,0.010243564800408158,0.09540000000000001
R0-I1,all,relative_boundary_margin,observed_loss,7,1000,0.013725590861628334,0.08920000000000002
R0-I1,all,relative_boundary_margin,observed_loss,8,1000,0.019234959674977438,0.08430000000000001
R0-I1,all,relative_boundary_margin,observed_loss,9,1000,0.03894001836783721,0.0567
R0-I1,all,relative_boundary_margin,null_mean_loss,0,1000,0.0003672422282549991,0.146716
R0-I1,all,relative_boundary_margin,null_mean_loss,1,1000,0.0014392132925435271,0.151944
R0-I1,all,relative_boundary_margin,null_mean_loss,2,1000,0.0026426771286504397,0.14740799999999998
R0-I1,all,relative_boundary_margin,null_mean_loss,3,1000,0.004038555311424545,0.147356
R0-I1,all,relative_boundary_margin,null_mean_loss,4,1000,0.0056685650856067625,0.14512
R0-I1,all,relative_boundary_margin,null_mean_loss,5,1000,0.007738833167126009,0.14231200000000002
R0-I1,all,relative_boundary_margin,null_mean_loss,6,1000,0.010243564800408158,0.13937
R0-I1,all,relative_boundary_margin,null_mean_loss,7,1000,0.013725590861628334,0.129382
R0-I1,all,relative_boundary_margin,null_mean_loss,8,1000,0.019234959674977438,0.123098
R0-I1,all,relative_boundary_margin,null_mean_loss,9,1000,0.03894001836783721,0.097596
R0-I1,all,relative_boundary_margin,excess_loss,0,1000,0.0003672422282549991,-0.03351599999999999
R0-I1,all,relative_boundary_margin,excess_loss,1,1000,0.0014392132925435271,-0.03134399999999999
R0-I1,all,relative_boundary_margin,excess_loss,2,1000,0.0026426771286504397,-0.033907999999999994
R0-I1,all,relative_boundary_margin,excess_loss,3,1000,0.004038555311424545,-0.03685599999999999
R0-I1,all,relative_boundary_margin,excess_loss,4,1000,0.0056685650856067625,-0.038919999999999996
R0-I1,all,relative_boundary_margin,excess_loss,5,1000,0.007738833167126009,-0.036812
R0-I1,all,relative_boundary_margin,excess_loss,6,1000,0.010243564800408158,-0.043969999999999995
R0-I1,all,relative_boundary_margin,excess_loss,7,1000,0.013725590861628334,-0.040181999999999995
R0-I1,all,relative_boundary_margin,excess_loss,8,1000,0.019234959674977438,-0.03879799999999999
R0-I1,all,relative_boundary_margin,excess_loss,9,1000,0.03894001836783721,-0.040896
R0-I1,all,relative_span_r2,observed_loss,0,1000,0.006490197893987037,0.1382
R0-I1,all,relative_span_r2,observed_loss,1,1000,0.011617975966132213,0.12530000000000002
R0-I1,all,relative_span_r2,observed_loss,2,1000,0.015451602346875398,0.11780000000000002
R0-I1,all,relative_span_r2,observed_loss,3,1000,0.019050433704612693,0.11210000000000002
R0-I1,all,relative_span_r2,observed_loss,4,1000,0.02281510677003914,0.10380000000000002
R0-I1,all,relative_span_r2,observed_loss,5,1000,0.027052800315362283,0.09770000000000002
