phase,mode,replicate,clock_level,component,mean_us
primary,FULL,0,1,t_search_including_retention,183.0562849424642
primary,FULL,0,1,t_candidate_finalize,3.153476775189447
primary,FULL,0,1,t_exact16,0.019634647768734213
primary,FULL,0,1,t_final_topk,0.22643179904574795
primary,FULL,1,1,t_search_including_retention,181.38098259893349
primary,FULL,1,1,t_candidate_finalize,3.1468975582374403
primary,FULL,1,1,t_exact16,0.019314552343530734
primary,FULL,1,1,t_final_topk,0.2242857142857143
primary,FULL,2,1,t_search_including_retention,182.0153429694078
primary,FULL,2,1,t_candidate_finalize,3.162519506034241
primary,FULL,2,1,t_exact16,0.020187271961829924
primary,FULL,2,1,t_final_topk,0.22975575357844516
primary,FULL,3,1,t_search_including_retention,181.17653178501263
primary,FULL,3,1,t_candidate_finalize,3.142620544484984
primary,FULL,3,1,t_exact16,0.019035012629806346
primary,FULL,3,1,t_final_topk,0.22134002245298906
primary,FULL,4,1,t_search_including_retention,181.04252953971374
primary,FULL,4,1,t_candidate_finalize,3.1552543502666293
primary,FULL,4,1,t_exact16,0.019261998316025826
primary,FULL,4,1,t_final_topk,0.22285903732809428
primary,FULL,5,1,t_search_including_retention,181.00096821498738
primary,FULL,5,1,t_candidate_finalize,3.144736317709795
primary,FULL,5,1,t_exact16,0.019424221161942187
primary,FULL,5,1,t_final_topk,0.22874866685377493
primary,FULL,6,1,t_search_including_retention,181.30444562166716
primary,FULL,6,1,t_candidate_finalize,3.155496842548414
primary,FULL,6,1,t_exact16,0.01960531855178221
primary,FULL,6,1,t_final_topk,0.22486893067639632
primary,NATIVE,0,1,t_search_including_retention,162.55975287678925
primary,NATIVE,0,1,t_candidate_finalize,0.015640331181588554
primary,NATIVE,0,1,t_exact16,0.018951164748807193
primary,NATIVE,0,1,t_final_topk,0.21114482177939936
primary,NATIVE,1,1,t_search_including_retention,163.0887553325849
primary,NATIVE,1,1,t_candidate_finalize,0.015742141453831047
primary,NATIVE,1,1,t_exact16,0.018497614369913
primary,NATIVE,1,1,t_final_topk,0.2102144962110581
primary,NATIVE,2,1,t_search_including_retention,162.805059500421
primary,NATIVE,2,1,t_candidate_finalize,0.015704883525119284
primary,NATIVE,2,1,t_exact16,0.020153873140611848
primary,NATIVE,2,1,t_final_topk,0.21256862194779683
primary,NATIVE,3,1,t_search_including_retention,162.57714559360087
primary,NATIVE,3,1,t_candidate_finalize,0.015780171204041543
primary,NATIVE,3,1,t_exact16,0.018588548975582382
primary,NATIVE,3,1,t_final_topk,0.21129799326410328
primary,NATIVE,4,1,t_search_including_retention,162.66838352511928
primary,NATIVE,4,1,t_candidate_finalize,0.01594709514454112
primary,NATIVE,4,1,t_exact16,0.019567148470390122
primary,NATIVE,4,1,t_final_topk,0.20798140611843952
primary,NATIVE,5,1,t_search_including_retention,163.9276524698288
primary,NATIVE,5,1,t_candidate_finalize,0.017112475442043223
primary,NATIVE,5,1,t_exact16,0.018851108616334555
primary,NATIVE,5,1,t_final_topk,0.21151978669660398
primary,NATIVE,6,1,t_search_including_retention,162.48858868930677
primary,NATIVE,6,1,t_candidate_finalize,0.015721302273365146
primary,NATIVE,6,1,t_exact16,0.01888591074936851
primary,NATIVE,6,1,t_final_topk,0.2122586303676677
diagnostic,BOUNDED_ALL16,0,1,t_search_including_retention,168.87790422396856
diagnostic,BOUNDED_ALL16,0,1,t_candidate_finalize,0.24857816446814482
diagnostic,BOUNDED_ALL16,0,1,t_exact16,2.1383538450743753
diagnostic,BOUNDED_ALL16,0,1,t_final_topk,0.3833002385630087
diagnostic,BOUNDED_ALL16,1,1,t_search_including_retention,169.25937931518385
diagnostic,BOUNDED_ALL16,1,1,t_candidate_finalize,0.2475625877069885
diagnostic,BOUNDED_ALL16,1,1,t_exact16,2.0561221582935727
diagnostic,BOUNDED_ALL16,1,1,t_final_topk,0.3797226354195903
diagnostic,BOUNDED_ALL16,2,1,t_search_including_retention,168.9780419590233
diagnostic,BOUNDED_ALL16,2,1,t_candidate_finalize,0.24663808588268313
diagnostic,BOUNDED_ALL16,2,1,t_exact16,2.0761879034521473
diagnostic,BOUNDED_ALL16,2,1,t_final_topk,0.38372116194218353
diagnostic,BOUNDED_ALL16,3,1,t_search_including_retention,169.8020127701375
diagnostic,BOUNDED_ALL16,3,1,t_candidate_finalize,0.2487460707269155
diagnostic,BOUNDED_ALL16,3,1,t_exact16,2.063780451866405
diagnostic,BOUNDED_ALL16,3,1,t_final_topk,0.384738773505473
diagnostic,BOUNDED_ALL16,4,1,t_search_including_retention,170.15476613808588
diagnostic,BOUNDED_ALL16,4,1,t_candidate_finalize,0.24605465899522874
diagnostic,BOUNDED_ALL16,4,1,t_exact16,2.098521611001965
diagnostic,BOUNDED_ALL16,4,1,t_final_topk,0.3901559781083357
diagnostic,BOUNDED_ALL16,5,1,t_search_including_retention,168.1666846056694
diagnostic,BOUNDED_ALL16,5,1,t_candidate_finalize,0.2446681167555431
diagnostic,BOUNDED_ALL16,5,1,t_exact16,2.1067039713724394
diagnostic,BOUNDED_ALL16,5,1,t_final_topk,0.37748758069042937
diagnostic,BOUNDED_ALL16,6,1,t_search_including_retention,168.4096930255403
diagnostic,BOUNDED_ALL16,6,1,t_candidate_finalize,0.24360363457760315
diagnostic,BOUNDED_ALL16,6,1,t_exact16,2.1044148189727756
diagnostic,BOUNDED_ALL16,6,1,t_final_topk,0.3824783188324446
diagnostic,GAP_BOUNDED,0,1,t_search_including_retention,168.700382542801
