ef,policy,qps,recall,pareto
32,0,959.6407959141973,0.8775799999999999,True
32,1,928.8783552941783,0.89655,True
64,0,740.0847125500958,0.91685,True
64,1,726.9152622616228,0.9408400000000001,True
128,0,520.0899877131917,0.9379900000000001,False
128,1,516.4185597691263,0.96585,True
