model,scope,descriptor,target,queries,spearman
R1-I1,all,local_distance_concentration,null_mean_loss,10000,-0.15292917991702065
R1-I1,all,local_distance_concentration,excess_loss,10000,0.04036757639868717
R1-I1,all,candidate_count,observed_loss,10000,-0.11496756258039108
R1-I1,all,candidate_count,null_mean_loss,10000,-0.1630667179202468
R1-I1,all,candidate_count,excess_loss,10000,0.017605718870084136
R1-I1,all,d1,observed_loss,10000,-0.10041575489710568
R1-I1,all,d1,null_mean_loss,10000,-0.160078578582179
R1-I1,all,d1,excess_loss,10000,0.031194985864900618
R1-I1,all,dk,observed_loss,10000,-0.16121284724595691
R1-I1,all,dk,null_mean_loss,10000,-0.2832335655983937
R1-I1,all,dk,excess_loss,10000,0.06221773091543991
R1-I1,all,dk_plus_1,observed_loss,10000,-0.16777995845970364
R1-I1,all,dk_plus_1,null_mean_loss,10000,-0.29324305914105975
R1-I1,all,dk_plus_1,excess_loss,10000,0.0628359136856623
R1-I1,all,d20,observed_loss,10000,-0.1788118463927427
R1-I1,all,d20,null_mean_loss,10000,-0.3149658210303349
R1-I1,all,d20,excess_loss,10000,0.06731978822517211
R1-I1,all,oracle_recall,observed_loss,10000,0.3059785452165357
R1-I1,all,oracle_recall,null_mean_loss,10000,0.4659634895231734
R1-I1,all,oracle_recall,excess_loss,10000,-0.05036538240929786
R1-I1,oracle1,boundary_gap_r1,observed_loss,7136,-0.3070097388652283
R1-I1,oracle1,boundary_gap_r1,null_mean_loss,7136,-0.498723607621747
R1-I1,oracle1,boundary_gap_r1,excess_loss,7136,0.028307043150628253
R1-I1,oracle1,boundary_gap_r2,observed_loss,7136,-0.43179559092039577
R1-I1,oracle1,boundary_gap_r2,null_mean_loss,7136,-0.7677536417190709
R1-I1,oracle1,boundary_gap_r2,excess_loss,7136,0.07988707354347334
R1-I1,oracle1,boundary_gap_r5,observed_loss,7136,-0.3999341183283984
R1-I1,oracle1,boundary_gap_r5,null_mean_loss,7136,-0.7776318772000183
R1-I1,oracle1,boundary_gap_r5,excess_loss,7136,0.12305195656961575
R1-I1,oracle1,relative_boundary_margin,observed_loss,7136,-0.28751078919376893
R1-I1,oracle1,relative_boundary_margin,null_mean_loss,7136,-0.4396697127617056
R1-I1,oracle1,relative_boundary_margin,excess_loss,7136,0.0021116686944163826
R1-I1,oracle1,relative_span_r2,observed_loss,7136,-0.4145059911014148
R1-I1,oracle1,relative_span_r2,null_mean_loss,7136,-0.6941392928455512
R1-I1,oracle1,relative_span_r2,excess_loss,7136,0.03824688863531528
R1-I1,oracle1,local_distance_concentration,observed_loss,7136,-0.2019864956017812
R1-I1,oracle1,local_distance_concentration,null_mean_loss,7136,-0.37657289954155965
R1-I1,oracle1,local_distance_concentration,excess_loss,7136,0.054204508730534534
R1-I1,oracle1,candidate_count,observed_loss,7136,0.006383692309822948
R1-I1,oracle1,candidate_count,null_mean_loss,7136,0.01687204544651395
R1-I1,oracle1,candidate_count,excess_loss,7136,0.004869819459746482
R1-I1,oracle1,d1,observed_loss,7136,0.03766916145987197
R1-I1,oracle1,d1,null_mean_loss,7136,0.04552822214374795
R1-I1,oracle1,d1,excess_loss,7136,0.014586439016008446
R1-I1,oracle1,dk,observed_loss,7136,-0.047736822844709266
R1-I1,oracle1,dk,null_mean_loss,7136,-0.12607512232619886
R1-I1,oracle1,dk,excess_loss,7136,0.046194295562936354
R1-I1,oracle1,dk_plus_1,observed_loss,7136,-0.057314327150005506
R1-I1,oracle1,dk_plus_1,null_mean_loss,7136,-0.140929371857614
R1-I1,oracle1,dk_plus_1,excess_loss,7136,0.04714287836764663
R1-I1,oracle1,d20,observed_loss,7136,-0.07925710876956059
R1-I1,oracle1,d20,null_mean_loss,7136,-0.18105293752713777
R1-I1,oracle1,d20,excess_loss,7136,0.05308393302440028
R1-I1,oracle1,oracle_recall,observed_loss,7136,
R1-I1,oracle1,oracle_recall,null_mean_loss,7136,
R1-I1,oracle1,oracle_recall,excess_loss,7136,
R2-I1,all,boundary_gap_r1,observed_loss,10000,-0.23144143237096618
R2-I1,all,boundary_gap_r1,null_mean_loss,10000,-0.353186553129421
R2-I1,all,boundary_gap_r1,excess_loss,10000,0.017406272339671083
R2-I1,all,boundary_gap_r2,observed_loss,10000,-0.3654316831948324
R2-I1,all,boundary_gap_r2,null_mean_loss,10000,-0.5968778273719434
R2-I1,all,boundary_gap_r2,excess_loss,10000,0.05740444141398155
