scope,metric,pairs,mean,median,p90,p95,p99,min,max,std
O_within,harmful_jaccard,10,0.6704985895386578,0.6711589585026294,0.67610282357887,0.6771270919605173,0.6779465066658352,0.6612750885478158,0.6781513603421647,0.005424880004797261
O_within,loss_spearman,10,0.41781419026927547,0.41848428584754715,0.4227480432017351,0.4250670863005369,0.4269223207795783,0.4016642884621606,0.4273861293993387,0.006853314386828834
O_within,inversion_spearman,10,0.44899199493305264,0.44752295975673817,0.45799950889025465,0.4587600954458754,0.4593685646903721,0.43882448586522216,0.45952068200149626,0.0070361700931898625
O_to_ABC,harmful_jaccard,45,0.6615665648382907,0.661493239271017,0.6659685414055021,0.6684818065202975,0.6705862133759453,0.6502178777529148,0.6718455743879472,0.0040735300199055005
O_to_ABC,loss_spearman,45,0.39367523034434065,0.3941782052048548,0.40034040201967847,0.4031853237621988,0.4081910876047098,0.3766560807365991,0.4084890981873856,0.0069168320299618676
O_to_ABC,inversion_spearman,45,0.4199677726911324,0.42064845997163125,0.4285658582847487,0.4309782398133296,0.4334977086796841,0.40639065114841155,0.43506381729873433,0.00650211266096508
ABC_within,harmful_jaccard,9,0.669597584022442,0.6683565196887526,0.677131995061484,0.6772910213176117,0.6774182423225138,0.6613931523022432,0.6774500475737393,0.005192816284113916
ABC_within,loss_spearman,9,0.41410613599539126,0.4128246561257608,0.42310611121048136,0.4260863864205997,0.4284706065886944,0.4036581006170208,0.42906666163071805,0.008539683510963422
ABC_within,inversion_spearman,9,0.44862348784446393,0.44763601522495283,0.4552998339326372,0.45827177045804046,0.4606493196783631,0.4413377921193602,0.46124370698344375,0.005833553798491534
ABC_between,harmful_jaccard,27,0.6607005801814874,0.6605989430416911,0.6664474370660333,0.6677672170731919,0.6690986807891649,0.6528857479387514,0.6694955209806694,0.004137117191627361
ABC_between,loss_spearman,27,0.3927024197723159,0.39312971022155235,0.40150508496585396,0.4027527036690582,0.4139243033665196,0.38048203275800246,0.41768682988302525,0.008530942328283045
ABC_between,inversion_spearman,27,0.417654964794642,0.4167374212359595,0.43121541894786736,0.43251122306365264,0.43314178606194936,0.40763507669495314,0.4333257647323671,0.007321867321880228
