phase,condition_id,shift_family,shift_severity,ef_search,replicate_count,mean_recall_exact_native_across_replicates_mean,mean_recall_exact_native_across_replicates_std,mean_recall_pq_native_across_replicates_mean,mean_recall_pq_native_across_replicates_std,mean_recall_pq_oracle_across_replicates_mean,mean_recall_pq_oracle_across_replicates_std,rerank_recovery_across_replicates_mean,rerank_recovery_across_replicates_std,mean_candidate_coverage_exact_across_replicates_mean,mean_candidate_coverage_exact_across_replicates_std,mean_candidate_coverage_pq_across_replicates_mean,mean_candidate_coverage_pq_across_replicates_std,mean_evaluated_set_jaccard_across_replicates_mean,mean_evaluated_set_jaccard_across_replicates_std,mean_exact_unique_distance_evaluations_across_replicates_mean,mean_exact_unique_distance_evaluations_across_replicates_std,mean_pq_unique_distance_evaluations_across_replicates_mean,mean_pq_unique_distance_evaluations_across_replicates_std,max_absolute_delta_exact_control_across_replicates_mean,max_absolute_delta_exact_control_across_replicates_std,mean_delta_total_across_replicates_mean,mean_delta_total_across_replicates_std,median_delta_total_across_replicates_mean,median_delta_total_across_replicates_std,p90_delta_total_across_replicates_mean,p90_delta_total_across_replicates_std,p95_delta_total_across_replicates_mean,p95_delta_total_across_replicates_std,p99_delta_total_across_replicates_mean,p99_delta_total_across_replicates_std,mean_delta_discovery_across_replicates_mean,mean_delta_discovery_across_replicates_std,median_delta_discovery_across_replicates_mean,median_delta_discovery_across_replicates_std,p90_delta_discovery_across_replicates_mean,p90_delta_discovery_across_replicates_std,p95_delta_discovery_across_replicates_mean,p95_delta_discovery_across_replicates_std,p99_delta_discovery_across_replicates_mean,p99_delta_discovery_across_replicates_std,mean_delta_ranking_across_replicates_mean,mean_delta_ranking_across_replicates_std,median_delta_ranking_across_replicates_mean,median_delta_ranking_across_replicates_std,p90_delta_ranking_across_replicates_mean,p90_delta_ranking_across_replicates_std,p95_delta_ranking_across_replicates_mean,p95_delta_ranking_across_replicates_std,p99_delta_ranking_across_replicates_mean,p99_delta_ranking_across_replicates_std,fraction_delta_discovery_positive_across_replicates_mean,fraction_delta_discovery_positive_across_replicates_std,fraction_delta_discovery_zero_across_replicates_mean,fraction_delta_discovery_zero_across_replicates_std,fraction_delta_discovery_negative_across_replicates_mean,fraction_delta_discovery_negative_across_replicates_std
fixed,iid,iid,0,256,4,0.96495,0.003732291521304279,0.8253,0.004935585071701208,0.96295,0.0046658332589152645,0.9860029584512975,0.01627218997444895,0.96495,0.003732291521304279,0.96295,0.0046658332589152645,0.8507542970081878,0.0011182640489480406,4241.7875,9.927791882723508,4242.271000000001,10.333004016257798,0.0,0.0,0.13964999999999997,0.004756399198273141,0.09999999999999998,0.0,0.275,0.04999999999999999,0.30000000000000004,0.0,0.4,0.0,0.0019999999999999996,0.002292015125022811,0.0,0.0,0.0,0.0,0.07499999999999998,0.04999999999999999,0.1,5.551115123125783e-17,0.13765,0.003242941051987637,0.09999999999999998,0.0,0.22750000000000065,0.048562674281111266,0.30000000000000004,0.0,0.3502499999999998,0.05744780239486998,0.063,0.01829389697868299,0.891,0.01700980109623078,0.046,0.004320493798938574
fixed,mean_alpha_0p25,mean,0.25,256,4,0.9608,0.002814249455894074,0.8230500000000001,0.0039136513215495446,0.95975,0.0022293496809607824,0.9925032962564752,0.008623610708662403,0.9608,0.002814249455894074,0.95975,0.0022293496809607824,0.8514194852268773,0.0012468356844027803,4240.739500000001,13.365585097555547,4240.833,12.867587134605655,0.0,0.0,0.13775,0.0049595026632381824,0.09999999999999998,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4,0.0,0.0010499999999999997,0.0012041594578792291,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.09999999999999998,0.0,0.1367,0.004371117324742811,0.09999999999999998,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.4,0.0,0.0565,0.004123105625617661,0.899,0.014651507317223953,0.0445,0.014177446878757825
fixed,mean_alpha_0p50,mean,0.5,256,4,0.9473,0.001270170592217165,0.8168500000000001,0.0025159491250817925,0.94635,0.0015779733838059311,0.9927554599577288,0.01338083418113275,0.9473,0.001270170592217165,0.94635,0.0015779733838059311,0.8513250687667198,0.0007269620449831932,4229.7405,15.525191689637884,4227.671,16.71153673364586,0.0,0.0,0.13045,0.001995828983989694,0.09999999999999998,0.0,0.2525000000000006,0.0549999999999994,0.30000000000000004,0.0,0.3752499999999998,0.04950000000000046,0.0009500000000000001,0.0017540429489230492,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.1,5.551115123125783e-17,0.1295,0.0022891046284519274,0.09999999999999998,0.0,0.25000000000000006,0.05773502691896256,0.30000000000000004,0.0,0.3502499999999998,0.05744780239486998,0.074,0.01451436070471816,0.861,0.01669331203406523,0.065,0.006
fixed,mean_alpha_0p75,mean,0.75,256,4,0.9298,0.002326657115548694,0.81445,0.0050156421988282705,0.92875,0.0013102162671355356,0.9911574015410483,0.017931614805404165,0.9298,0.002326657115548694,0.92875,0.0013102162671355356,0.852258283934787,0.0008423239202082571,4201.916,18.423456715104642,4199.8330000000005,19.732315930979997,0.0,0.0,0.11535,0.004416257842714043,0.09999999999999998,0.0,0.20000000000000007,0.0,0.30000000000000004,0.0,0.35000000000000003,0.05773502691896256,0.0010499999999999995,0.0020485767417079263,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.10000000000000006,5.551115123125783e-17,0.1143,0.003796489606641027,0.09999999999999998,0.0,0.20000000000000007,0.0,0.30000000000000004,0.0,0.3252499999999998,0.04983556293785942,0.0865,0.010630145812734651,0.8325,0.0030000000000000027,0.081,0.010132456102380439
fixed,mean_alpha_1p00,mean,1,256,4,0.907,0.009236160818579718,0.80515,0.00798895070289797,0.90725,0.00773110600108421,1.0022269837550395,0.025984882309542687,0.90705,0.00930859817588021,0.90725,0.00773110600108421,0.8537770154405075,0.0012670185138539,4166.9995,20.829071438736722,4164.227,22.103851941837437,0.025000000000000022,0.050000000000000044,0.10185,0.003987898360456712,0.09999999999999998,0.0,0.20000000000000007,0.0,0.30000000000000004,0.0,0.35000000000000003,0.05773502691896256,-0.0001999999999999999,0.0026178871888095814,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.12500000000000006,0.04999999999999993,0.1021,0.005377731863899503,0.09999999999999998,0.0,0.20000000000000007,0.0,0.2512499999999989,0.056328648720405196,0.3252499999999998,0.04983556293785942,0.0905,0.00640312423743285,0.817,0.0093094933625126,0.0925,0.014821156050277142
fixed,radial_sigma_1p25,radial,1.25,256,4,0.93135,0.003920459156782518,0.8165,0.0024953289696284203,0.9305,0.0037327380477785344,0.9927251895545942,0.008027960454652504,0.93135,0.003920459156782518,0.9305,0.0037327380477785344,0.855158679292544,0.0014734934623366492,4196.482,11.62198915848753,4194.4855,11.16473810709408,0.0,0.0,0.11485,0.003913651321549567,0.09999999999999998,0.0,0.22500000000000006,0.04999999999999999,0.30000000000000004,0.0,0.3257499999999993,0.04950000000000046,0.0008499999999999997,0.0009433981132056607,0.0,0.0,0.0025000000000005677,0.0050000000000011355,0.09999999999999998,0.0,0.10024999999999984,0.000499999999999568,0.11399999999999999,0.0034058772731852807,0.09999999999999998,0.0,0.20000000000000007,0.0,0.30000000000000004,0.0,0.32500000000000007,0.04999999999999999,0.086,0.010954451150103326,0.8335,0.01885912687975415,0.0805,0.010246950765959594
fixed,radial_sigma_1p50,radial,1.5,256,4,0.8972,0.005299056519796693,0.80185,0.004352393977265097,0.89655,0.0041420606787765275,0.9943119956788729,0.020787207033204483,0.8972,0.005299056519796693,0.89655,0.0041420606787765275,0.8563522309607999,0.0013080743732322032,4141.7305,10.904954516182027,4138.0885,12.612411070053156,0.0,0.0,0.09535,0.008180260794538688,0.09999999999999998,0.0,0.20000000000000007,0.0,0.22500000000000006,0.04999999999999999,0.30000000000000004,0.0,0.00065,0.002137755832643195,0.0,0.0,0.04999999999999999,0.05773502691896256,0.09999999999999998,0.0,0.10000000000000009,0.0,0.0947,0.006409368143584831,0.09999999999999998,0.0,0.20000000000000007,0.0,0.22500000000000006,0.04999999999999999,0.30000000000000004,0.0,0.105,0.02169485346036398,0.794,0.024711670657134206,0.101,0.0038297084310253485
fixed,radial_sigma_2p00,radial,2,256,4,0.8352999999999999,0.006249266623639424,0.76785,0.005667156841544661,0.8348500000000001,0.006743638978079055,0.9938662182404081,0.02793170392390638,0.83535,0.006295765772856173,0.8348500000000001,0.006743638978079055,0.8562038746744798,0.0007028526095230787,4036.8940000000002,14.28569270284071,4035.7135,13.551206625241912,0.024999999999999994,0.04999999999999999,0.06745000000000001,0.0036455452267116412,0.08749999999999998,0.024999999999999994,0.20000000000000004,5.551115123125783e-17,0.20000000000000007,0.0,0.30000000000000004,0.0,0.0004999999999999998,0.0018,0.0,0.0,0.09999999999999998,0.0,0.09999999999999998,0.0,0.17500000000000002,0.049999999999999954,0.067,0.003162277660168375,0.07499999999999998,0.04999999999999999,0.19999999999999998,5.551115123125783e-17,0.20000000000000007,0.0,0.30000000000000004,0.0,0.124,0.005416025603090639,0.7555000000000001,0.01644181660685138,0.1205,0.014364307617610154
