ef_search,feature,direction,threshold,query_fraction,count,mean_loss,harmful_fraction
64,candidate_mae,ge,955.3465203003806,0.9,9000,0.09733333333333333,0.6935555555555556
64,candidate_mae,ge,1084.7713283333173,0.8,8000,0.09620000000000002,0.687
64,candidate_mae,ge,1174.146712444803,0.7,7000,0.09544285714285715,0.6812857142857143
64,candidate_mae,ge,1248.9661525055672,0.6,6000,0.09613333333333332,0.6821666666666667
64,candidate_mae,ge,1321.786506370298,0.5,5000,0.0952,0.677
64,candidate_mae,ge,1391.9354091233424,0.4,4000,0.09515000000000001,0.681
64,candidate_mae,ge,1467.1784613242403,0.3,3000,0.0948,0.681
64,candidate_mae,ge,1552.46375095585,0.2,2000,0.0946,0.6805
64,candidate_mae,ge,1674.1306386903395,0.1,1000,0.0936,0.674
64,relative_boundary_margin,le,0.0008929271836246592,0.1,1000,0.1139,0.752
64,relative_boundary_margin,le,0.0020383617209052693,0.2,2000,0.11625000000000002,0.758
64,relative_boundary_margin,le,0.0032955729240701087,0.3,3000,0.11620000000000001,0.7606666666666667
64,relative_boundary_margin,le,0.004853187517515357,0.4,4000,0.11567500000000001,0.762
64,relative_boundary_margin,le,0.006827796750348967,0.5,5000,0.11404,0.7564
64,relative_boundary_margin,le,0.008994235737445505,0.6,6000,0.11158333333333334,0.7495
64,relative_boundary_margin,le,0.011790323799551255,0.7,7000,0.10937142857142859,0.7428571428571429
64,relative_boundary_margin,le,0.016068650737703985,0.8,8000,0.10726250000000001,0.737375
64,relative_boundary_margin,le,0.023586729830887467,0.9,9000,0.10461111111111113,0.7285555555555555
64,boundary_local_mae,ge,565.4828125,0.9,9000,0.0999,0.7024444444444444
64,boundary_local_mae,ge,686.7753551136364,0.8,8000,0.10078750000000002,0.705875
64,boundary_local_mae,ge,780.7844105113636,0.7,7000,0.10212857142857144,0.7085714285714285
64,boundary_local_mae,ge,869.404403409091,0.6,6000,0.10328333333333334,0.7111666666666666
64,boundary_local_mae,ge,953.9714133522727,0.5,5000,0.10505999999999999,0.7156
64,boundary_local_mae,ge,1043.816690340909,0.4,4000,0.10702500000000002,0.72325
64,boundary_local_mae,ge,1145.9433948863636,0.3,3000,0.10963333333333333,0.736
64,boundary_local_mae,ge,1274.1401988636364,0.2,2000,0.11165,0.7475
64,boundary_local_mae,ge,1462.7386896306818,0.1,1000,0.11900000000000001,0.774
64,error_scale_over_boundary_margin,ge,0.8189734142325366,0.8863,8863,0.10631840234683515,0.738801760126368
64,error_scale_over_boundary_margin,ge,1.223755644870428,0.7878,7878,0.11067529829906068,0.756029449098756
64,error_scale_over_boundary_margin,ge,1.6366598631950575,0.6893,6893,0.1136225155955317,0.7642535905991585
64,error_scale_over_boundary_margin,ge,2.156927904292039,0.5909,5909,0.11695718395667629,0.7737349805381621
64,error_scale_over_boundary_margin,ge,2.875256879081284,0.4924,4924,0.119821283509342,0.7804630381803412
64,error_scale_over_boundary_margin,ge,3.9019715245788738,0.3939,3939,0.12274689007362277,0.7852246763137852
64,error_scale_over_boundary_margin,ge,5.705430747183462,0.2955,2955,0.12514382402707275,0.7939086294416243
64,error_scale_over_boundary_margin,ge,9.204037403009249,0.197,1970,0.12720812182741117,0.799492385786802
64,error_scale_over_boundary_margin,ge,19.284311342592606,0.0985,985,0.12791878172588833,0.8060913705583757
64,cross_boundary_inversion_count,ge,0.0,1.0,10000,0.09954,0.7015
64,cross_boundary_inversion_count,ge,1.0,0.8067,8067,0.12339159538862034,0.8695921656129912
64,cross_boundary_inversion_count,ge,2.0,0.7114,7114,0.1286758504357605,0.8736294630306438
64,cross_boundary_inversion_count,ge,3.0,0.607,6070,0.13626029654036245,0.8784184514003295
64,cross_boundary_inversion_count,ge,4.0,0.5177,5177,0.14518060652887774,0.8841027622175005
64,cross_boundary_inversion_count,ge,5.0,0.441,4410,0.1527437641723356,0.8891156462585034
64,cross_boundary_inversion_count,ge,7.0,0.3145,3145,0.16731319554848967,0.8988871224165342
64,cross_boundary_inversion_count,ge,9.0,0.2264,2264,0.1811837455830389,0.9015017667844523
64,cross_boundary_inversion_count,ge,13.0,0.1162,1162,0.20421686746987952,0.9122203098106713
64,cross_boundary_inversion_fraction,ge,0.0,1.0,10000,0.09954,0.7015
